period_end,period_year,period_month,period_label,period_short,hoofdberoepsgroep,beroepsgroep,beroep,vacatures
2017-12-31,2017,12,januari 2017 - december 2017,Dec 2017,Bouwberoepen,Bouwvakkers,Stukadoor,249
2017-12-31,2017,12,januari 2017 - december 2017,Dec 2017,Bouwberoepen,Bouwvakkers,Technicus hernieuwbare energietechnieken,76
2017-12-31,2017,12,januari 2017 - december 2017,Dec 2017,Bouwberoepen,Bouwvakkers,Technicus installatietechnieken,99
2017-12-31,2017,12,januari 2017 - december 2017,Dec 2017,Bouwberoepen,Bouwvakkers,Vloerder-tegelzetter,277
2017-12-31,2017,12,januari 2017 - december 2017,Dec 2017,Bouwberoepen,Bouwvakkers,Voeger,52
2017-12-31,2017,12,januari 2017 - december 2017,Dec 2017,Bouwberoepen,Bouwvakkers,Wegenwerker,452
2017-12-31,2017,12,januari 2017 - december 2017,Dec 2017,Bouwberoepen,Machinisten en kraanmannen,Bediener grondverzetmachines,207
2017-12-31,2017,12,januari 2017 - december 2017,Dec 2017,Bouwberoepen,Machinisten en kraanmannen,Bediener machines horizontale boringen,9
2017-12-31,2017,12,januari 2017 - december 2017,Dec 2017,Bouwberoepen,Machinisten en kraanmannen,Bediener machines verticale boringen,5
2017-12-31,2017,12,januari 2017 - december 2017,Dec 2017,Bouwberoepen,Machinisten en kraanmannen,Bediener van betonnerings- en asfalteringsmachines,8
2017-12-31,2017,12,januari 2017 - december 2017,Dec 2017,Bouwberoepen,Machinisten en kraanmannen,Kraanbestuurder,181
2017-12-31,2017,12,januari 2017 - december 2017,Dec 2017,Bouwberoepen,Machinisten en kraanmannen,Torenkraanbediener,19
2017-12-31,2017,12,januari 2017 - december 2017,Dec 2017,Dienstverlenende beroepen,Adviesverleners,Arbeidsbemiddelaar-jobcoach,1
2017-12-31,2017,12,januari 2017 - december 2017,Dec 2017,Dienstverlenende beroepen,Experts vastgoed,Rentmeester,1
2017-12-31,2017,12,januari 2017 - december 2017,Dec 2017,Dienstverlenende beroepen,Experts vastgoed,Vastgoedbemiddelaar verkoop en verhuur,12
2017-12-31,2017,12,januari 2017 - december 2017,Dec 2017,Dienstverlenende beroepen,Experts vastgoed,Vastgoedpromotor,18
2017-12-31,2017,12,januari 2017 - december 2017,Dec 2017,Dienstverlenende beroepen,Juridische dienstverleners,Juridisch medewerker,2
2017-12-31,2017,12,januari 2017 - december 2017,Dec 2017,Dienstverlenende beroepen,Juridische dienstverleners,Jurist,2
2017-12-31,2017,12,januari 2017 - december 2017,Dec 2017,Dienstverlenende beroepen,Medewerkers in finance,Accountmanager in de financiële sector,2
2017-12-31,2017,12,januari 2017 - december 2017,Dec 2017,Dienstverlenende beroepen,Medewerkers in finance,Adviseur beleggingen,2
2017-12-31,2017,12,januari 2017 - december 2017,Dec 2017,Dienstverlenende beroepen,Medewerkers in finance,Back-office medewerker in de financiële sector,1
2017-12-31,2017,12,januari 2017 - december 2017,Dec 2017,Dienstverlenende beroepen,Medewerkers in finance,Beheerder verzekeringen,1
2017-12-31,2017,12,januari 2017 - december 2017,Dec 2017,Dienstverlenende beroepen,Medewerkers in finance,Belastingadviseur,1
2017-12-31,2017,12,januari 2017 - december 2017,Dec 2017,Dienstverlenende beroepen,Medewerkers in finance,Financieel analist,1
2017-12-31,2017,12,januari 2017 - december 2017,Dec 2017,Dienstverlenende beroepen,Ordehandhavers en reddingswerkers,Bewakingsagent,1
2017-12-31,2017,12,januari 2017 - december 2017,Dec 2017,Dienstverlenende beroepen,Persoonlijke dienstverleners,Animator,4
2017-12-31,2017,12,januari 2017 - december 2017,Dec 2017,Dienstverlenende beroepen,Persoonlijke dienstverleners,Conciërge,2
2017-12-31,2017,12,januari 2017 - december 2017,Dec 2017,Dienstverlenende beroepen,Persoonlijke dienstverleners,Schoonheidsspecialist,1
2017-12-31,2017,12,januari 2017 - december 2017,Dec 2017,Dienstverlenende beroepen,Schoonmaak- en onderhoudspersoneel,Carwashmedewerker,3
2017-12-31,2017,12,januari 2017 - december 2017,Dec 2017,Dienstverlenende beroepen,Schoonmaak- en onderhoudspersoneel,Huishoudhulp-poetshulp,12
2017-12-31,2017,12,januari 2017 - december 2017,Dec 2017,Dienstverlenende beroepen,Schoonmaak- en onderhoudspersoneel,Industrieel reiniger,25
2017-12-31,2017,12,januari 2017 - december 2017,Dec 2017,Dienstverlenende beroepen,Schoonmaak- en onderhoudspersoneel,Leidinggevende schoonmaak,0
2017-12-31,2017,12,januari 2017 - december 2017,Dec 2017,Dienstverlenende beroepen,Schoonmaak- en onderhoudspersoneel,Onderhoudsmedewerker affichering en straatmeubilair,1
2017-12-31,2017,12,januari 2017 - december 2017,Dec 2017,Dienstverlenende beroepen,Schoonmaak- en onderhoudspersoneel,Ruitenwasser,20
2017-12-31,2017,12,januari 2017 - december 2017,Dec 2017,Dienstverlenende beroepen,Schoonmaak- en onderhoudspersoneel,Schoonmaker van ruimten en lokalen,73
2017-12-31,2017,12,januari 2017 - december 2017,Dec 2017,Handels- en verkoopberoepen,Verkooppersoneel,Assistent winkelmanager,7
2017-12-31,2017,12,januari 2017 - december 2017,Dec 2017,Handels- en verkoopberoepen,Verkooppersoneel,Technisch adviseur klantenondersteuning,6
2017-12-31,2017,12,januari 2017 - december 2017,Dec 2017,Handels- en verkoopberoepen,Verkooppersoneel,"Verhuurder van gereedschappen, transportmiddelen of vrijetijdsmaterieel",2
2017-12-31,2017,12,januari 2017 - december 2017,Dec 2017,Handels- en verkoopberoepen,Verkooppersoneel,Winkelmanager,1
2017-12-31,2017,12,januari 2017 - december 2017,Dec 2017,Handels- en verkoopberoepen,Verkooppersoneel,Winkelmedewerker,4
2017-12-31,2017,12,januari 2017 - december 2017,Dec 2017,Handels- en verkoopberoepen,Verkooppersoneel,Winkelverkoper,152
2017-12-31,2017,12,januari 2017 - december 2017,Dec 2017,Handels- en verkoopberoepen,Vertegenwoordigers,Vertegenwoordiger B2B,312
2017-12-31,2017,12,januari 2017 - december 2017,Dec 2017,Handels- en verkoopberoepen,Vertegenwoordigers,Vertegenwoordiger B2C,5
2017-12-31,2017,12,januari 2017 - december 2017,Dec 2017,Horecaberoepen,Horecapersoneel,Hulpkok,2
2017-12-31,2017,12,januari 2017 - december 2017,Dec 2017,Horecaberoepen,Horecapersoneel,Hulpkok grootkeuken,2
2017-12-31,2017,12,januari 2017 - december 2017,Dec 2017,Horecaberoepen,Horecapersoneel,Kamerjongen-Kamermeisje,3
2017-12-31,2017,12,januari 2017 - december 2017,Dec 2017,Horecaberoepen,Horecapersoneel,Kelner,1
2017-12-31,2017,12,januari 2017 - december 2017,Dec 2017,Horecaberoepen,Horecapersoneel,Kok,2
2017-12-31,2017,12,januari 2017 - december 2017,Dec 2017,Horecaberoepen,Horecapersoneel,Maître d'hôtel,2
2017-12-31,2017,12,januari 2017 - december 2017,Dec 2017,Horecaberoepen,Horecapersoneel,Medewerker fastfood,3
2017-12-31,2017,12,januari 2017 - december 2017,Dec 2017,Horecaberoepen,Horecapersoneel,Polyvalent hotelmedewerker,1
2017-12-31,2017,12,januari 2017 - december 2017,Dec 2017,Industriële beroepen en ambachten,Beoefenaars van ambachten,Ambachtelijk glasbewerker,2
2017-12-31,2017,12,januari 2017 - december 2017,Dec 2017,Industriële beroepen en ambachten,Beoefenaars van ambachten,Ambachtelijk metaalbewerker,1
2017-12-31,2017,12,januari 2017 - december 2017,Dec 2017,Industriële beroepen en ambachten,Beoefenaars van ambachten,Decorateur van kunst- en artisanale objecten,1
2017-12-31,2017,12,januari 2017 - december 2017,Dec 2017,Industriële beroepen en ambachten,Bewerkers van voeding,Productieoperator voedingsindustrie,12
2017-12-31,2017,12,januari 2017 - december 2017,Dec 2017,Industriële beroepen en ambachten,Bewerkers van voeding,Slager,3
2017-12-31,2017,12,januari 2017 - december 2017,Dec 2017,Industriële beroepen en ambachten,Diverse productiemedewerkers en operatoren,Industrieel schilder,81
2017-12-31,2017,12,januari 2017 - december 2017,Dec 2017,Industriële beroepen en ambachten,Diverse productiemedewerkers en operatoren,Ontginner gassen en vloeistoffen,3
2017-12-31,2017,12,januari 2017 - december 2017,Dec 2017,Industriële beroepen en ambachten,Diverse productiemedewerkers en operatoren,Productiemedewerker,51
2017-12-31,2017,12,januari 2017 - december 2017,Dec 2017,Industriële beroepen en ambachten,Diverse productiemedewerkers en operatoren,Productiemedewerker prefabbeton,11
2017-12-31,2017,12,januari 2017 - december 2017,Dec 2017,Industriële beroepen en ambachten,Diverse productiemedewerkers en operatoren,Productieoperator bouw- en prefabmaterialen,3
2017-12-31,2017,12,januari 2017 - december 2017,Dec 2017,Industriële beroepen en ambachten,Diverse productiemedewerkers en operatoren,Productieoperator elektrische en elektronische componenten,99
2017-12-31,2017,12,januari 2017 - december 2017,Dec 2017,Industriële beroepen en ambachten,Diverse productiemedewerkers en operatoren,"Productieoperator van stortbeton, cement, asfalt en granulaten",19
2017-12-31,2017,12,januari 2017 - december 2017,Dec 2017,Industriële beroepen en ambachten,Diverse productiemedewerkers en operatoren,Regelaar-afsteller van productie-installaties,1
2017-12-31,2017,12,januari 2017 - december 2017,Dec 2017,Industriële beroepen en ambachten,Diverse productiemedewerkers en operatoren,Sorteerder recyclage,1
2017-12-31,2017,12,januari 2017 - december 2017,Dec 2017,Industriële beroepen en ambachten,Diverse productiemedewerkers en operatoren,Uitvoerder van werken op hoogte,35
2017-12-31,2017,12,januari 2017 - december 2017,Dec 2017,Industriële beroepen en ambachten,Diverse productiemedewerkers en operatoren,Verpakker,1
2017-12-31,2017,12,januari 2017 - december 2017,Dec 2017,Industriële beroepen en ambachten,Diverse productiemedewerkers en operatoren,Verpakkingsoperator,1
2017-12-31,2017,12,januari 2017 - december 2017,Dec 2017,Industriële beroepen en ambachten,Drukkers,Digitaal drukker,4
2017-12-31,2017,12,januari 2017 - december 2017,Dec 2017,Industriële beroepen en ambachten,Drukkers,Operator print & sign,1
2017-12-31,2017,12,januari 2017 - december 2017,Dec 2017,Industriële beroepen en ambachten,Industriële technici,Expert productieproces en -methodes,16
2017-12-31,2017,12,januari 2017 - december 2017,Dec 2017,Industriële beroepen en ambachten,Industriële technici,Industrieel elektromecanicien,842
2017-12-31,2017,12,januari 2017 - december 2017,Dec 2017,Industriële beroepen en ambachten,Industriële technici,Industrieel laborant,5
2017-12-31,2017,12,januari 2017 - december 2017,Dec 2017,Industriële beroepen en ambachten,Industriële technici,Industrieel onderhoudstechnicus,314
2017-12-31,2017,12,januari 2017 - december 2017,Dec 2017,Industriële beroepen en ambachten,Industriële technici,Koeltechnicus,83
2017-12-31,2017,12,januari 2017 - december 2017,Dec 2017,Industriële beroepen en ambachten,Industriële technici,Lifttechnicus,32
2017-12-31,2017,12,januari 2017 - december 2017,Dec 2017,Industriële beroepen en ambachten,Industriële technici,Medewerker kwaliteitscontrole,10
2017-12-31,2017,12,januari 2017 - december 2017,Dec 2017,Industriële beroepen en ambachten,Industriële technici,Onderhoudstechnicus industriële automatisering,38
2017-12-31,2017,12,januari 2017 - december 2017,Dec 2017,Industriële beroepen en ambachten,Industriële technici,Onderhoudstechnicus waterdistributie en sanering,5
2017-12-31,2017,12,januari 2017 - december 2017,Dec 2017,Industriële beroepen en ambachten,Industriële technici,Ontwerper industriële automatisering,11
2017-12-31,2017,12,januari 2017 - december 2017,Dec 2017,Industriële beroepen en ambachten,Industriële technici,Productieplanner,88
2017-12-31,2017,12,januari 2017 - december 2017,Dec 2017,Industriële beroepen en ambachten,Industriële technici,Regeltechnicus klimatisatie,184
2017-12-31,2017,12,januari 2017 - december 2017,Dec 2017,Industriële beroepen en ambachten,Industriële technici,Technicus elektro en elektronica,48
2017-12-31,2017,12,januari 2017 - december 2017,Dec 2017,Industriële beroepen en ambachten,Industriële technici,Technicus elektronische installaties,77
2017-12-31,2017,12,januari 2017 - december 2017,Dec 2017,Industriële beroepen en ambachten,Industriële technici,Werkvoorbereider,55
2017-12-31,2017,12,januari 2017 - december 2017,Dec 2017,Industriële beroepen en ambachten,Medewerkers houtindustrie,Machinaal houtbewerker,6
2017-12-31,2017,12,januari 2017 - december 2017,Dec 2017,Industriële beroepen en ambachten,Medewerkers houtindustrie,Meubelmaker,68
2017-12-31,2017,12,januari 2017 - december 2017,Dec 2017,Industriële beroepen en ambachten,Medewerkers houtindustrie,Meubelstoffeerder,0
2017-12-31,2017,12,januari 2017 - december 2017,Dec 2017,Industriële beroepen en ambachten,Medewerkers houtindustrie,Operator CNC-gestuurde houtbewerkingsmachines,3
2017-12-31,2017,12,januari 2017 - december 2017,Dec 2017,Industriële beroepen en ambachten,Medewerkers houtindustrie,Productieoperator hout,4
2017-12-31,2017,12,januari 2017 - december 2017,Dec 2017,Industriële beroepen en ambachten,Medewerkers houtindustrie,Werkplaatsschrijnwerker,166
2017-12-31,2017,12,januari 2017 - december 2017,Dec 2017,Industriële beroepen en ambachten,Monteurs en installateurs elektrotechniek,Bordenbouwer - Elektromonteur machinebouw,71
2017-12-31,2017,12,januari 2017 - december 2017,Dec 2017,Industriële beroepen en ambachten,Monteurs en installateurs elektrotechniek,Elektrotechnicus,1146
2017-12-31,2017,12,januari 2017 - december 2017,Dec 2017,Industriële beroepen en ambachten,Professionals in de metaalindustrie,Bankwerker,7
2017-12-31,2017,12,januari 2017 - december 2017,Dec 2017,Industriële beroepen en ambachten,Professionals in de metaalindustrie,Insteller-omsteller plaatbewerking,15
2017-12-31,2017,12,januari 2017 - december 2017,Dec 2017,Industriële beroepen en ambachten,Professionals in de metaalindustrie,Insteller-omsteller verspaning,91
2017-12-31,2017,12,januari 2017 - december 2017,Dec 2017,Industriële beroepen en ambachten,Professionals in de metaalindustrie,Machinebouwer,19
2017-12-31,2017,12,januari 2017 - december 2017,Dec 2017,Industriële beroepen en ambachten,Professionals in de metaalindustrie,Manueel lasser,188
2017-12-31,2017,12,januari 2017 - december 2017,Dec 2017,Industriële beroepen en ambachten,Professionals in de metaalindustrie,Monteur staalconstructies,195
2017-12-31,2017,12,januari 2017 - december 2017,Dec 2017,Industriële beroepen en ambachten,Professionals in de metaalindustrie,Operator montage en assemblage,44
2017-12-31,2017,12,januari 2017 - december 2017,Dec 2017,Industriële beroepen en ambachten,Professionals in de metaalindustrie,Pijpfitter,29
2017-12-31,2017,12,januari 2017 - december 2017,Dec 2017,Industriële beroepen en ambachten,Professionals in de metaalindustrie,Productieoperator metaal,25
