period_end,period_year,period_month,period_label,period_short,hoofdberoepsgroep,beroepsgroep,vacatures
2021-12-31,2021,12,januari 2021 - december 2021,Dec 2021,Vrijetijds- en artistieke beroepen,Podium- en audiovisuele technici,1
2021-12-31,2021,12,januari 2021 - december 2021,Dec 2021,Dienstverlenende beroepen,Adviesverleners,0
2021-12-31,2021,12,januari 2021 - december 2021,Dec 2021,"Medische, paramedische en verzorgende beroepen",Paramedici,0
2022-12-31,2022,12,januari 2022 - december 2022,Dec 2022,Bouwberoepen,Bouwvakkers,10458
2022-12-31,2022,12,januari 2022 - december 2022,Dec 2022,Industriële beroepen en ambachten,Industriële technici,2788
2022-12-31,2022,12,januari 2022 - december 2022,Dec 2022,Bouwberoepen,Bouwtechnici,2028
2022-12-31,2022,12,januari 2022 - december 2022,Dec 2022,Industriële beroepen en ambachten,Monteurs en installateurs elektrotechniek,1830
2022-12-31,2022,12,januari 2022 - december 2022,Dec 2022,Organisatieondersteunende en kennisberoepen,Administratief medewerkers,1164
2022-12-31,2022,12,januari 2022 - december 2022,Dec 2022,Industriële beroepen en ambachten,Professionals in de metaalindustrie,962
2022-12-31,2022,12,januari 2022 - december 2022,Dec 2022,Industriële beroepen en ambachten,Diverse productiemedewerkers en operatoren,833
2022-12-31,2022,12,januari 2022 - december 2022,Dec 2022,Bouwberoepen,Machinisten en kraanmannen,742
2022-12-31,2022,12,januari 2022 - december 2022,Dec 2022,Transport- en logistieke beroepen,Transport- en logistiek personeel,540
2022-12-31,2022,12,januari 2022 - december 2022,Dec 2022,Transport- en logistieke beroepen,Bestuurders in het wegtransport,495
2022-12-31,2022,12,januari 2022 - december 2022,Dec 2022,Organisatieondersteunende en kennisberoepen,"Medewerkers commerciële strategie, marketing en verkoop",383
2022-12-31,2022,12,januari 2022 - december 2022,Dec 2022,Industriële beroepen en ambachten,Technisch leidinggevenden,297
2022-12-31,2022,12,januari 2022 - december 2022,Dec 2022,Industriële beroepen en ambachten,Medewerkers houtindustrie,279
2022-12-31,2022,12,januari 2022 - december 2022,Dec 2022,Handels- en verkoopberoepen,Vertegenwoordigers,278
2022-12-31,2022,12,januari 2022 - december 2022,Dec 2022,Organisatieondersteunende en kennisberoepen,Accountants,266
2022-12-31,2022,12,januari 2022 - december 2022,Dec 2022,Industriële beroepen en ambachten,Voer- en werktuigherstellers,249
2022-12-31,2022,12,januari 2022 - december 2022,Dec 2022,Organisatieondersteunende en kennisberoepen,HR-experts,205
2022-12-31,2022,12,januari 2022 - december 2022,Dec 2022,Dienstverlenende beroepen,Schoonmaak- en onderhoudspersoneel,168
2022-12-31,2022,12,januari 2022 - december 2022,Dec 2022,Organisatieondersteunende en kennisberoepen,Leidinggevenden,164
2022-12-31,2022,12,januari 2022 - december 2022,Dec 2022,Organisatieondersteunende en kennisberoepen,Informatici en ICT-medewerkers,149
2022-12-31,2022,12,januari 2022 - december 2022,Dec 2022,Handels- en verkoopberoepen,Verkooppersoneel,136
2022-12-31,2022,12,januari 2022 - december 2022,Dec 2022,Organisatieondersteunende en kennisberoepen,Bedrijfsadviseurs,101
2022-12-31,2022,12,januari 2022 - december 2022,Dec 2022,Industriële beroepen en ambachten,Tekenaars en vormgevers,84
2022-12-31,2022,12,januari 2022 - december 2022,Dec 2022,"Land-, tuin- en bosbouw- en visserijberoepen","Land-, tuin- en bosbouwers en vissers",80
2022-12-31,2022,12,januari 2022 - december 2022,Dec 2022,Organisatieondersteunende en kennisberoepen,Onderzoeksmedewerkers en beleidsexperten,62
2022-12-31,2022,12,januari 2022 - december 2022,Dec 2022,Dienstverlenende beroepen,Adviesverleners,46
2022-12-31,2022,12,januari 2022 - december 2022,Dec 2022,Transport- en logistieke beroepen,"Werknemers spoor-, water-, luchttransport",28
2022-12-31,2022,12,januari 2022 - december 2022,Dec 2022,Horecaberoepen,Horecapersoneel,26
2022-12-31,2022,12,januari 2022 - december 2022,Dec 2022,Dienstverlenende beroepen,Juridische dienstverleners,24
2022-12-31,2022,12,januari 2022 - december 2022,Dec 2022,Vrijetijds- en artistieke beroepen,"Medewerkers bij toerisme, vrije tijd en sport",24
2022-12-31,2022,12,januari 2022 - december 2022,Dec 2022,Pedagogische beroepen,Opvoedkundig personeel,23
2022-12-31,2022,12,januari 2022 - december 2022,Dec 2022,Organisatieondersteunende en kennisberoepen,Controleurs en inspecteurs,19
2022-12-31,2022,12,januari 2022 - december 2022,Dec 2022,Organisatieondersteunende en kennisberoepen,Specialisten kennisbeheer en communicatie,18
2022-12-31,2022,12,januari 2022 - december 2022,Dec 2022,Dienstverlenende beroepen,Experts vastgoed,17
2022-12-31,2022,12,januari 2022 - december 2022,Dec 2022,"Medische, paramedische en verzorgende beroepen","Verpleegkundigen, vroedvrouwen en zorgpersoneel",13
2022-12-31,2022,12,januari 2022 - december 2022,Dec 2022,Dienstverlenende beroepen,Medewerkers in finance,10
2022-12-31,2022,12,januari 2022 - december 2022,Dec 2022,Dienstverlenende beroepen,Publieke dienstverleners,8
2022-12-31,2022,12,januari 2022 - december 2022,Dec 2022,Industriële beroepen en ambachten,Bewerkers van voeding,7
2022-12-31,2022,12,januari 2022 - december 2022,Dec 2022,Dienstverlenende beroepen,Persoonlijke dienstverleners,5
2022-12-31,2022,12,januari 2022 - december 2022,Dec 2022,Pedagogische beroepen,Onderwijzend en leidinggevend personeel in onderwijs,4
2022-12-31,2022,12,januari 2022 - december 2022,Dec 2022,Industriële beroepen en ambachten,Beoefenaars van ambachten,2
2022-12-31,2022,12,januari 2022 - december 2022,Dec 2022,"Medische, paramedische en verzorgende beroepen",Medisch personeel,2
2022-12-31,2022,12,januari 2022 - december 2022,Dec 2022,Dienstverlenende beroepen,Ordehandhavers en reddingswerkers,1
2022-12-31,2022,12,januari 2022 - december 2022,Dec 2022,Industriële beroepen en ambachten,Confectie- en lederwerkers,1
2022-12-31,2022,12,januari 2022 - december 2022,Dec 2022,Industriële beroepen en ambachten,Drukkers,1
2022-12-31,2022,12,januari 2022 - december 2022,Dec 2022,Industriële beroepen en ambachten,Precisietechniekers,1
2022-12-31,2022,12,januari 2022 - december 2022,Dec 2022,"Medische, paramedische en verzorgende beroepen",Overige zorgmedewerkers,1
2022-12-31,2022,12,januari 2022 - december 2022,Dec 2022,"Medische, paramedische en verzorgende beroepen",Paramedici,1
2022-12-31,2022,12,januari 2022 - december 2022,Dec 2022,Vrijetijds- en artistieke beroepen,"Artiesten, kunstenaars en andere culturele beroepen",1
2022-12-31,2022,12,januari 2022 - december 2022,Dec 2022,Vrijetijds- en artistieke beroepen,Podium- en audiovisuele technici,1
2023-12-31,2023,12,januari 2023 - december 2023,Dec 2023,Bouwberoepen,Bouwvakkers,8752
2023-12-31,2023,12,januari 2023 - december 2023,Dec 2023,Bouwberoepen,Bouwtechnici,2144
2023-12-31,2023,12,januari 2023 - december 2023,Dec 2023,Industriële beroepen en ambachten,Industriële technici,1766
2023-12-31,2023,12,januari 2023 - december 2023,Dec 2023,Industriële beroepen en ambachten,Monteurs en installateurs elektrotechniek,1293
2023-12-31,2023,12,januari 2023 - december 2023,Dec 2023,Organisatieondersteunende en kennisberoepen,Administratief medewerkers,1094
2023-12-31,2023,12,januari 2023 - december 2023,Dec 2023,Industriële beroepen en ambachten,Diverse productiemedewerkers en operatoren,862
2023-12-31,2023,12,januari 2023 - december 2023,Dec 2023,Industriële beroepen en ambachten,Professionals in de metaalindustrie,675
2023-12-31,2023,12,januari 2023 - december 2023,Dec 2023,Bouwberoepen,Machinisten en kraanmannen,621
2023-12-31,2023,12,januari 2023 - december 2023,Dec 2023,Transport- en logistieke beroepen,Bestuurders in het wegtransport,532
2023-12-31,2023,12,januari 2023 - december 2023,Dec 2023,Transport- en logistieke beroepen,Transport- en logistiek personeel,456
2023-12-31,2023,12,januari 2023 - december 2023,Dec 2023,Industriële beroepen en ambachten,Technisch leidinggevenden,381
2023-12-31,2023,12,januari 2023 - december 2023,Dec 2023,Organisatieondersteunende en kennisberoepen,"Medewerkers commerciële strategie, marketing en verkoop",344
2023-12-31,2023,12,januari 2023 - december 2023,Dec 2023,Handels- en verkoopberoepen,Vertegenwoordigers,340
2023-12-31,2023,12,januari 2023 - december 2023,Dec 2023,Industriële beroepen en ambachten,Medewerkers houtindustrie,249
2023-12-31,2023,12,januari 2023 - december 2023,Dec 2023,Organisatieondersteunende en kennisberoepen,Accountants,198
2023-12-31,2023,12,januari 2023 - december 2023,Dec 2023,Industriële beroepen en ambachten,Voer- en werktuigherstellers,180
2023-12-31,2023,12,januari 2023 - december 2023,Dec 2023,Organisatieondersteunende en kennisberoepen,Leidinggevenden,153
2023-12-31,2023,12,januari 2023 - december 2023,Dec 2023,Industriële beroepen en ambachten,Tekenaars en vormgevers,117
2023-12-31,2023,12,januari 2023 - december 2023,Dec 2023,Organisatieondersteunende en kennisberoepen,Bedrijfsadviseurs,109
2023-12-31,2023,12,januari 2023 - december 2023,Dec 2023,Organisatieondersteunende en kennisberoepen,Informatici en ICT-medewerkers,108
2023-12-31,2023,12,januari 2023 - december 2023,Dec 2023,Organisatieondersteunende en kennisberoepen,HR-experts,106
2023-12-31,2023,12,januari 2023 - december 2023,Dec 2023,Dienstverlenende beroepen,Schoonmaak- en onderhoudspersoneel,98
2023-12-31,2023,12,januari 2023 - december 2023,Dec 2023,Handels- en verkoopberoepen,Verkooppersoneel,89
2023-12-31,2023,12,januari 2023 - december 2023,Dec 2023,Vrijetijds- en artistieke beroepen,"Medewerkers bij toerisme, vrije tijd en sport",69
2023-12-31,2023,12,januari 2023 - december 2023,Dec 2023,Organisatieondersteunende en kennisberoepen,Onderzoeksmedewerkers en beleidsexperten,68
2023-12-31,2023,12,januari 2023 - december 2023,Dec 2023,Transport- en logistieke beroepen,"Werknemers spoor-, water-, luchttransport",65
2023-12-31,2023,12,januari 2023 - december 2023,Dec 2023,"Land-, tuin- en bosbouw- en visserijberoepen","Land-, tuin- en bosbouwers en vissers",58
2023-12-31,2023,12,januari 2023 - december 2023,Dec 2023,Industriële beroepen en ambachten,Bewerkers van voeding,53
2023-12-31,2023,12,januari 2023 - december 2023,Dec 2023,Horecaberoepen,Horecapersoneel,25
2023-12-31,2023,12,januari 2023 - december 2023,Dec 2023,Dienstverlenende beroepen,Juridische dienstverleners,24
2023-12-31,2023,12,januari 2023 - december 2023,Dec 2023,Dienstverlenende beroepen,Adviesverleners,20
2023-12-31,2023,12,januari 2023 - december 2023,Dec 2023,Dienstverlenende beroepen,Persoonlijke dienstverleners,20
2023-12-31,2023,12,januari 2023 - december 2023,Dec 2023,"Medische, paramedische en verzorgende beroepen","Verpleegkundigen, vroedvrouwen en zorgpersoneel",20
2023-12-31,2023,12,januari 2023 - december 2023,Dec 2023,Organisatieondersteunende en kennisberoepen,Specialisten kennisbeheer en communicatie,18
2023-12-31,2023,12,januari 2023 - december 2023,Dec 2023,Dienstverlenende beroepen,Experts vastgoed,15
2023-12-31,2023,12,januari 2023 - december 2023,Dec 2023,Pedagogische beroepen,Onderwijzend en leidinggevend personeel in onderwijs,15
2023-12-31,2023,12,januari 2023 - december 2023,Dec 2023,Pedagogische beroepen,Opvoedkundig personeel,13
2023-12-31,2023,12,januari 2023 - december 2023,Dec 2023,Dienstverlenende beroepen,Publieke dienstverleners,12
2023-12-31,2023,12,januari 2023 - december 2023,Dec 2023,Dienstverlenende beroepen,Medewerkers in finance,10
2023-12-31,2023,12,januari 2023 - december 2023,Dec 2023,Industriële beroepen en ambachten,Confectie- en lederwerkers,8
2023-12-31,2023,12,januari 2023 - december 2023,Dec 2023,Organisatieondersteunende en kennisberoepen,Controleurs en inspecteurs,6
2023-12-31,2023,12,januari 2023 - december 2023,Dec 2023,Vrijetijds- en artistieke beroepen,Podium- en audiovisuele technici,5
2023-12-31,2023,12,januari 2023 - december 2023,Dec 2023,Industriële beroepen en ambachten,Specialisten chemie en kunststoffen,3
2023-12-31,2023,12,januari 2023 - december 2023,Dec 2023,"Medische, paramedische en verzorgende beroepen",Overige zorgmedewerkers,2
2023-12-31,2023,12,januari 2023 - december 2023,Dec 2023,Dienstverlenende beroepen,Ordehandhavers en reddingswerkers,1
2023-12-31,2023,12,januari 2023 - december 2023,Dec 2023,Industriële beroepen en ambachten,Beoefenaars van ambachten,1
2023-12-31,2023,12,januari 2023 - december 2023,Dec 2023,Industriële beroepen en ambachten,Precisietechniekers,1
2023-12-31,2023,12,januari 2023 - december 2023,Dec 2023,"Medische, paramedische en verzorgende beroepen",Paramedici,1
2023-12-31,2023,12,januari 2023 - december 2023,Dec 2023,Pedagogische beroepen,Onderwijsassistenten,1
2023-12-31,2023,12,januari 2023 - december 2023,Dec 2023,Industriële beroepen en ambachten,Drukkers,0
2024-12-31,2024,12,januari 2024 - december 2024,Dec 2024,Bouwberoepen,Bouwvakkers,7468
2024-12-31,2024,12,januari 2024 - december 2024,Dec 2024,Bouwberoepen,Bouwtechnici,2295
2024-12-31,2024,12,januari 2024 - december 2024,Dec 2024,Industriële beroepen en ambachten,Industriële technici,1445
2024-12-31,2024,12,januari 2024 - december 2024,Dec 2024,Industriële beroepen en ambachten,Monteurs en installateurs elektrotechniek,962
2024-12-31,2024,12,januari 2024 - december 2024,Dec 2024,Organisatieondersteunende en kennisberoepen,Administratief medewerkers,936
2024-12-31,2024,12,januari 2024 - december 2024,Dec 2024,Bouwberoepen,Machinisten en kraanmannen,617
2024-12-31,2024,12,januari 2024 - december 2024,Dec 2024,Transport- en logistieke beroepen,Bestuurders in het wegtransport,501
2024-12-31,2024,12,januari 2024 - december 2024,Dec 2024,Industriële beroepen en ambachten,Professionals in de metaalindustrie,468
2024-12-31,2024,12,januari 2024 - december 2024,Dec 2024,Organisatieondersteunende en kennisberoepen,"Medewerkers commerciële strategie, marketing en verkoop",437
2024-12-31,2024,12,januari 2024 - december 2024,Dec 2024,Industriële beroepen en ambachten,Diverse productiemedewerkers en operatoren,374
2024-12-31,2024,12,januari 2024 - december 2024,Dec 2024,Industriële beroepen en ambachten,Technisch leidinggevenden,356
2024-12-31,2024,12,januari 2024 - december 2024,Dec 2024,Transport- en logistieke beroepen,Transport- en logistiek personeel,356
2024-12-31,2024,12,januari 2024 - december 2024,Dec 2024,Industriële beroepen en ambachten,Medewerkers houtindustrie,218
2024-12-31,2024,12,januari 2024 - december 2024,Dec 2024,Organisatieondersteunende en kennisberoepen,Accountants,198
2024-12-31,2024,12,januari 2024 - december 2024,Dec 2024,Handels- en verkoopberoepen,Vertegenwoordigers,169
2024-12-31,2024,12,januari 2024 - december 2024,Dec 2024,Dienstverlenende beroepen,Schoonmaak- en onderhoudspersoneel,159
2024-12-31,2024,12,januari 2024 - december 2024,Dec 2024,Transport- en logistieke beroepen,"Werknemers spoor-, water-, luchttransport",151
2024-12-31,2024,12,januari 2024 - december 2024,Dec 2024,Organisatieondersteunende en kennisberoepen,Informatici en ICT-medewerkers,128
2024-12-31,2024,12,januari 2024 - december 2024,Dec 2024,Industriële beroepen en ambachten,Voer- en werktuigherstellers,126
2024-12-31,2024,12,januari 2024 - december 2024,Dec 2024,Organisatieondersteunende en kennisberoepen,Leidinggevenden,116
2024-12-31,2024,12,januari 2024 - december 2024,Dec 2024,Organisatieondersteunende en kennisberoepen,Bedrijfsadviseurs,114
2024-12-31,2024,12,januari 2024 - december 2024,Dec 2024,Organisatieondersteunende en kennisberoepen,HR-experts,109
2024-12-31,2024,12,januari 2024 - december 2024,Dec 2024,Industriële beroepen en ambachten,Tekenaars en vormgevers,94
2024-12-31,2024,12,januari 2024 - december 2024,Dec 2024,"Land-, tuin- en bosbouw- en visserijberoepen","Land-, tuin- en bosbouwers en vissers",78
2024-12-31,2024,12,januari 2024 - december 2024,Dec 2024,Handels- en verkoopberoepen,Verkooppersoneel,69
2024-12-31,2024,12,januari 2024 - december 2024,Dec 2024,Organisatieondersteunende en kennisberoepen,Onderzoeksmedewerkers en beleidsexperten,38
2024-12-31,2024,12,januari 2024 - december 2024,Dec 2024,Dienstverlenende beroepen,Persoonlijke dienstverleners,20
2024-12-31,2024,12,januari 2024 - december 2024,Dec 2024,Dienstverlenende beroepen,Experts vastgoed,19
2024-12-31,2024,12,januari 2024 - december 2024,Dec 2024,Organisatieondersteunende en kennisberoepen,Controleurs en inspecteurs,18
2024-12-31,2024,12,januari 2024 - december 2024,Dec 2024,Dienstverlenende beroepen,Juridische dienstverleners,17
2024-12-31,2024,12,januari 2024 - december 2024,Dec 2024,Organisatieondersteunende en kennisberoepen,Specialisten kennisbeheer en communicatie,16
2024-12-31,2024,12,januari 2024 - december 2024,Dec 2024,"Medische, paramedische en verzorgende beroepen","Verpleegkundigen, vroedvrouwen en zorgpersoneel",15
2024-12-31,2024,12,januari 2024 - december 2024,Dec 2024,Horecaberoepen,Horecapersoneel,14
2024-12-31,2024,12,januari 2024 - december 2024,Dec 2024,Dienstverlenende beroepen,Adviesverleners,12
2024-12-31,2024,12,januari 2024 - december 2024,Dec 2024,Pedagogische beroepen,Opvoedkundig personeel,10
2024-12-31,2024,12,januari 2024 - december 2024,Dec 2024,Industriële beroepen en ambachten,Specialisten chemie en kunststoffen,8
2024-12-31,2024,12,januari 2024 - december 2024,Dec 2024,Pedagogische beroepen,Onderwijzend en leidinggevend personeel in onderwijs,7
2024-12-31,2024,12,januari 2024 - december 2024,Dec 2024,Vrijetijds- en artistieke beroepen,"Medewerkers bij toerisme, vrije tijd en sport",6
2024-12-31,2024,12,januari 2024 - december 2024,Dec 2024,Dienstverlenende beroepen,Medewerkers in finance,5
2024-12-31,2024,12,januari 2024 - december 2024,Dec 2024,"Medische, paramedische en verzorgende beroepen",Overige zorgmedewerkers,4
2024-12-31,2024,12,januari 2024 - december 2024,Dec 2024,Vrijetijds- en artistieke beroepen,"Artiesten, kunstenaars en andere culturele beroepen",4
2024-12-31,2024,12,januari 2024 - december 2024,Dec 2024,Vrijetijds- en artistieke beroepen,Podium- en audiovisuele technici,4
2024-12-31,2024,12,januari 2024 - december 2024,Dec 2024,Industriële beroepen en ambachten,Bewerkers van voeding,3
2024-12-31,2024,12,januari 2024 - december 2024,Dec 2024,Dienstverlenende beroepen,Publieke dienstverleners,2
2024-12-31,2024,12,januari 2024 - december 2024,Dec 2024,Industriële beroepen en ambachten,Beoefenaars van ambachten,1
2024-12-31,2024,12,januari 2024 - december 2024,Dec 2024,"Medische, paramedische en verzorgende beroepen",Paramedici,1
2024-12-31,2024,12,januari 2024 - december 2024,Dec 2024,Pedagogische beroepen,Onderwijsassistenten,1
2024-12-31,2024,12,januari 2024 - december 2024,Dec 2024,Industriële beroepen en ambachten,Confectie- en lederwerkers,0
2024-12-31,2024,12,januari 2024 - december 2024,Dec 2024,"Medische, paramedische en verzorgende beroepen",Medisch personeel,0
2025-12-31,2025,12,januari 2025 - december 2025,Dec 2025,Bouwberoepen,Bouwvakkers,7357
2025-12-31,2025,12,januari 2025 - december 2025,Dec 2025,Bouwberoepen,Bouwtechnici,2426
2025-12-31,2025,12,januari 2025 - december 2025,Dec 2025,Industriële beroepen en ambachten,Industriële technici,1514
2025-12-31,2025,12,januari 2025 - december 2025,Dec 2025,Organisatieondersteunende en kennisberoepen,Administratief medewerkers,1006
2025-12-31,2025,12,januari 2025 - december 2025,Dec 2025,Industriële beroepen en ambachten,Monteurs en installateurs elektrotechniek,915
2025-12-31,2025,12,januari 2025 - december 2025,Dec 2025,Bouwberoepen,Machinisten en kraanmannen,562
2025-12-31,2025,12,januari 2025 - december 2025,Dec 2025,Organisatieondersteunende en kennisberoepen,"Medewerkers commerciële strategie, marketing en verkoop",488
2025-12-31,2025,12,januari 2025 - december 2025,Dec 2025,Industriële beroepen en ambachten,Professionals in de metaalindustrie,483
2025-12-31,2025,12,januari 2025 - december 2025,Dec 2025,Transport- en logistieke beroepen,Bestuurders in het wegtransport,468
2025-12-31,2025,12,januari 2025 - december 2025,Dec 2025,Transport- en logistieke beroepen,Transport- en logistiek personeel,389
2025-12-31,2025,12,januari 2025 - december 2025,Dec 2025,Industriële beroepen en ambachten,Technisch leidinggevenden,295
2025-12-31,2025,12,januari 2025 - december 2025,Dec 2025,Industriële beroepen en ambachten,Diverse productiemedewerkers en operatoren,280
2025-12-31,2025,12,januari 2025 - december 2025,Dec 2025,Industriële beroepen en ambachten,Medewerkers houtindustrie,261
2025-12-31,2025,12,januari 2025 - december 2025,Dec 2025,Handels- en verkoopberoepen,Vertegenwoordigers,239
2025-12-31,2025,12,januari 2025 - december 2025,Dec 2025,Organisatieondersteunende en kennisberoepen,Accountants,213
2025-12-31,2025,12,januari 2025 - december 2025,Dec 2025,Industriële beroepen en ambachten,Voer- en werktuigherstellers,161
2025-12-31,2025,12,januari 2025 - december 2025,Dec 2025,Dienstverlenende beroepen,Schoonmaak- en onderhoudspersoneel,142
2025-12-31,2025,12,januari 2025 - december 2025,Dec 2025,Organisatieondersteunende en kennisberoepen,Bedrijfsadviseurs,142
2025-12-31,2025,12,januari 2025 - december 2025,Dec 2025,Organisatieondersteunende en kennisberoepen,Leidinggevenden,129
2025-12-31,2025,12,januari 2025 - december 2025,Dec 2025,Organisatieondersteunende en kennisberoepen,HR-experts,127
2025-12-31,2025,12,januari 2025 - december 2025,Dec 2025,Organisatieondersteunende en kennisberoepen,Informatici en ICT-medewerkers,116
2025-12-31,2025,12,januari 2025 - december 2025,Dec 2025,Handels- en verkoopberoepen,Verkooppersoneel,112
2025-12-31,2025,12,januari 2025 - december 2025,Dec 2025,Industriële beroepen en ambachten,Tekenaars en vormgevers,103
2025-12-31,2025,12,januari 2025 - december 2025,Dec 2025,Organisatieondersteunende en kennisberoepen,Onderzoeksmedewerkers en beleidsexperten,81
2025-12-31,2025,12,januari 2025 - december 2025,Dec 2025,Horecaberoepen,Horecapersoneel,63
2025-12-31,2025,12,januari 2025 - december 2025,Dec 2025,"Land-, tuin- en bosbouw- en visserijberoepen","Land-, tuin- en bosbouwers en vissers",56
2025-12-31,2025,12,januari 2025 - december 2025,Dec 2025,Industriële beroepen en ambachten,Bewerkers van voeding,50
2025-12-31,2025,12,januari 2025 - december 2025,Dec 2025,Transport- en logistieke beroepen,"Werknemers spoor-, water-, luchttransport",45
2025-12-31,2025,12,januari 2025 - december 2025,Dec 2025,Dienstverlenende beroepen,Juridische dienstverleners,33
2025-12-31,2025,12,januari 2025 - december 2025,Dec 2025,Dienstverlenende beroepen,Experts vastgoed,21
2025-12-31,2025,12,januari 2025 - december 2025,Dec 2025,Organisatieondersteunende en kennisberoepen,Specialisten kennisbeheer en communicatie,19
2025-12-31,2025,12,januari 2025 - december 2025,Dec 2025,Dienstverlenende beroepen,Persoonlijke dienstverleners,18
2025-12-31,2025,12,januari 2025 - december 2025,Dec 2025,Dienstverlenende beroepen,Medewerkers in finance,10
2025-12-31,2025,12,januari 2025 - december 2025,Dec 2025,Industriële beroepen en ambachten,Specialisten chemie en kunststoffen,9
2025-12-31,2025,12,januari 2025 - december 2025,Dec 2025,Industriële beroepen en ambachten,Drukkers,8
2025-12-31,2025,12,januari 2025 - december 2025,Dec 2025,Industriële beroepen en ambachten,Beoefenaars van ambachten,5
2025-12-31,2025,12,januari 2025 - december 2025,Dec 2025,Dienstverlenende beroepen,Ordehandhavers en reddingswerkers,3
2025-12-31,2025,12,januari 2025 - december 2025,Dec 2025,Onbekend,Onbekend,3
2025-12-31,2025,12,januari 2025 - december 2025,Dec 2025,Dienstverlenende beroepen,Adviesverleners,2
2025-12-31,2025,12,januari 2025 - december 2025,Dec 2025,Organisatieondersteunende en kennisberoepen,Controleurs en inspecteurs,2
2025-12-31,2025,12,januari 2025 - december 2025,Dec 2025,Pedagogische beroepen,Onderwijzend en leidinggevend personeel in onderwijs,2
2025-12-31,2025,12,januari 2025 - december 2025,Dec 2025,Dienstverlenende beroepen,Publieke dienstverleners,1
2025-12-31,2025,12,januari 2025 - december 2025,Dec 2025,"Medische, paramedische en verzorgende beroepen",Paramedici,1
2025-12-31,2025,12,januari 2025 - december 2025,Dec 2025,Pedagogische beroepen,Opvoedkundig personeel,1
2025-12-31,2025,12,januari 2025 - december 2025,Dec 2025,Vrijetijds- en artistieke beroepen,"Medewerkers bij toerisme, vrije tijd en sport",1
2025-12-31,2025,12,januari 2025 - december 2025,Dec 2025,Vrijetijds- en artistieke beroepen,Podium- en audiovisuele technici,1
2026-04-30,2026,4,mei 2025 - april 2026,Apr 2026,Bouwberoepen,Bouwvakkers,7128
2026-04-30,2026,4,mei 2025 - april 2026,Apr 2026,Bouwberoepen,Bouwtechnici,2578
2026-04-30,2026,4,mei 2025 - april 2026,Apr 2026,Industriële beroepen en ambachten,Industriële technici,1497
2026-04-30,2026,4,mei 2025 - april 2026,Apr 2026,Organisatieondersteunende en kennisberoepen,Administratief medewerkers,890
2026-04-30,2026,4,mei 2025 - april 2026,Apr 2026,Industriële beroepen en ambachten,Monteurs en installateurs elektrotechniek,814
2026-04-30,2026,4,mei 2025 - april 2026,Apr 2026,Bouwberoepen,Machinisten en kraanmannen,525
2026-04-30,2026,4,mei 2025 - april 2026,Apr 2026,Industriële beroepen en ambachten,Professionals in de metaalindustrie,509
2026-04-30,2026,4,mei 2025 - april 2026,Apr 2026,Organisatieondersteunende en kennisberoepen,"Medewerkers commerciële strategie, marketing en verkoop",457
2026-04-30,2026,4,mei 2025 - april 2026,Apr 2026,Transport- en logistieke beroepen,Transport- en logistiek personeel,398
2026-04-30,2026,4,mei 2025 - april 2026,Apr 2026,Transport- en logistieke beroepen,Bestuurders in het wegtransport,392
2026-04-30,2026,4,mei 2025 - april 2026,Apr 2026,Industriële beroepen en ambachten,Diverse productiemedewerkers en operatoren,302
2026-04-30,2026,4,mei 2025 - april 2026,Apr 2026,Industriële beroepen en ambachten,Technisch leidinggevenden,292
2026-04-30,2026,4,mei 2025 - april 2026,Apr 2026,Industriële beroepen en ambachten,Medewerkers houtindustrie,253
2026-04-30,2026,4,mei 2025 - april 2026,Apr 2026,Organisatieondersteunende en kennisberoepen,Accountants,219
2026-04-30,2026,4,mei 2025 - april 2026,Apr 2026,Handels- en verkoopberoepen,Vertegenwoordigers,186
2026-04-30,2026,4,mei 2025 - april 2026,Apr 2026,Industriële beroepen en ambachten,Voer- en werktuigherstellers,156
2026-04-30,2026,4,mei 2025 - april 2026,Apr 2026,Organisatieondersteunende en kennisberoepen,Bedrijfsadviseurs,143
2026-04-30,2026,4,mei 2025 - april 2026,Apr 2026,Organisatieondersteunende en kennisberoepen,Leidinggevenden,125
2026-04-30,2026,4,mei 2025 - april 2026,Apr 2026,Organisatieondersteunende en kennisberoepen,HR-experts,123
2026-04-30,2026,4,mei 2025 - april 2026,Apr 2026,Organisatieondersteunende en kennisberoepen,Informatici en ICT-medewerkers,120
2026-04-30,2026,4,mei 2025 - april 2026,Apr 2026,Handels- en verkoopberoepen,Verkooppersoneel,117
2026-04-30,2026,4,mei 2025 - april 2026,Apr 2026,Industriële beroepen en ambachten,Tekenaars en vormgevers,110
2026-04-30,2026,4,mei 2025 - april 2026,Apr 2026,Dienstverlenende beroepen,Schoonmaak- en onderhoudspersoneel,97
2026-04-30,2026,4,mei 2025 - april 2026,Apr 2026,Organisatieondersteunende en kennisberoepen,Onderzoeksmedewerkers en beleidsexperten,89
2026-04-30,2026,4,mei 2025 - april 2026,Apr 2026,"Land-, tuin- en bosbouw- en visserijberoepen","Land-, tuin- en bosbouwers en vissers",59
2026-04-30,2026,4,mei 2025 - april 2026,Apr 2026,Horecaberoepen,Horecapersoneel,44
2026-04-30,2026,4,mei 2025 - april 2026,Apr 2026,Industriële beroepen en ambachten,Bewerkers van voeding,42
2026-04-30,2026,4,mei 2025 - april 2026,Apr 2026,Transport- en logistieke beroepen,"Werknemers spoor-, water-, luchttransport",36
