period_end,period_year,period_month,period_label,period_short,hoofdberoepsgroep,beroepsgroep,vacatures
2018-12-31,2018,12,januari 2018 - december 2018,Dec 2018,Bouwberoepen,Machinisten en kraanmannen,543
2018-12-31,2018,12,januari 2018 - december 2018,Dec 2018,Transport- en logistieke beroepen,Transport- en logistiek personeel,484
2018-12-31,2018,12,januari 2018 - december 2018,Dec 2018,Transport- en logistieke beroepen,Bestuurders in het wegtransport,431
2018-12-31,2018,12,januari 2018 - december 2018,Dec 2018,Industriële beroepen en ambachten,Diverse productiemedewerkers en operatoren,392
2018-12-31,2018,12,januari 2018 - december 2018,Dec 2018,Handels- en verkoopberoepen,Vertegenwoordigers,337
2018-12-31,2018,12,januari 2018 - december 2018,Dec 2018,Industriële beroepen en ambachten,Medewerkers houtindustrie,273
2018-12-31,2018,12,januari 2018 - december 2018,Dec 2018,Industriële beroepen en ambachten,Technisch leidinggevenden,185
2018-12-31,2018,12,januari 2018 - december 2018,Dec 2018,Organisatieondersteunende en kennisberoepen,Accountants,185
2018-12-31,2018,12,januari 2018 - december 2018,Dec 2018,Industriële beroepen en ambachten,Voer- en werktuigherstellers,156
2018-12-31,2018,12,januari 2018 - december 2018,Dec 2018,Handels- en verkoopberoepen,Verkooppersoneel,149
2018-12-31,2018,12,januari 2018 - december 2018,Dec 2018,Dienstverlenende beroepen,Schoonmaak- en onderhoudspersoneel,139
2018-12-31,2018,12,januari 2018 - december 2018,Dec 2018,Organisatieondersteunende en kennisberoepen,Leidinggevenden,119
2018-12-31,2018,12,januari 2018 - december 2018,Dec 2018,Organisatieondersteunende en kennisberoepen,HR-experts,110
2018-12-31,2018,12,januari 2018 - december 2018,Dec 2018,"Land-, tuin- en bosbouw- en visserijberoepen","Land-, tuin- en bosbouwers en vissers",101
2018-12-31,2018,12,januari 2018 - december 2018,Dec 2018,Organisatieondersteunende en kennisberoepen,Bedrijfsadviseurs,77
2018-12-31,2018,12,januari 2018 - december 2018,Dec 2018,Organisatieondersteunende en kennisberoepen,Informatici en ICT-medewerkers,73
2018-12-31,2018,12,januari 2018 - december 2018,Dec 2018,Transport- en logistieke beroepen,"Werknemers spoor-, water-, luchttransport",57
2018-12-31,2018,12,januari 2018 - december 2018,Dec 2018,Industriële beroepen en ambachten,Tekenaars en vormgevers,55
2018-12-31,2018,12,januari 2018 - december 2018,Dec 2018,Horecaberoepen,Horecapersoneel,25
2018-12-31,2018,12,januari 2018 - december 2018,Dec 2018,Dienstverlenende beroepen,Experts vastgoed,23
2018-12-31,2018,12,januari 2018 - december 2018,Dec 2018,Dienstverlenende beroepen,Juridische dienstverleners,23
2018-12-31,2018,12,januari 2018 - december 2018,Dec 2018,Dienstverlenende beroepen,Medewerkers in finance,17
2018-12-31,2018,12,januari 2018 - december 2018,Dec 2018,Industriële beroepen en ambachten,Bewerkers van voeding,15
2018-12-31,2018,12,januari 2018 - december 2018,Dec 2018,Industriële beroepen en ambachten,Beoefenaars van ambachten,8
2018-12-31,2018,12,januari 2018 - december 2018,Dec 2018,Industriële beroepen en ambachten,Specialisten chemie en kunststoffen,8
2018-12-31,2018,12,januari 2018 - december 2018,Dec 2018,Organisatieondersteunende en kennisberoepen,Controleurs en inspecteurs,8
2018-12-31,2018,12,januari 2018 - december 2018,Dec 2018,Organisatieondersteunende en kennisberoepen,Specialisten kennisbeheer en communicatie,7
2018-12-31,2018,12,januari 2018 - december 2018,Dec 2018,Vrijetijds- en artistieke beroepen,"Medewerkers bij toerisme, vrije tijd en sport",7
2018-12-31,2018,12,januari 2018 - december 2018,Dec 2018,Organisatieondersteunende en kennisberoepen,Onderzoeksmedewerkers en beleidsexperten,4
2018-12-31,2018,12,januari 2018 - december 2018,Dec 2018,Industriële beroepen en ambachten,Precisietechniekers,3
2018-12-31,2018,12,januari 2018 - december 2018,Dec 2018,Dienstverlenende beroepen,Persoonlijke dienstverleners,2
