period_end,period_year,period_month,period_label,period_short,beroep,vacatures
2022-12-31,2022,12,januari 2022 - december 2022,Dec 2022,Enquêteur,15
2023-12-31,2023,12,januari 2023 - december 2023,Dec 2023,Enquêteur,14
2018-12-31,2018,12,januari 2018 - december 2018,Dec 2018,Erfgoedkundige,1
2020-12-31,2020,12,januari 2020 - december 2020,Dec 2020,Erfgoedkundige,2
2021-12-31,2021,12,januari 2021 - december 2021,Dec 2021,Erfgoedkundige,3
2022-12-31,2022,12,januari 2022 - december 2022,Dec 2022,Erfgoedkundige,3
2023-12-31,2023,12,januari 2023 - december 2023,Dec 2023,Erfgoedkundige,4
2024-12-31,2024,12,januari 2024 - december 2024,Dec 2024,Erfgoedkundige,4
2025-12-31,2025,12,januari 2025 - december 2025,Dec 2025,Erfgoedkundige,10
2026-04-30,2026,4,mei 2025 - april 2026,Apr 2026,Erfgoedkundige,9
2019-12-31,2019,12,januari 2019 - december 2019,Dec 2019,Ergotherapeut,1
2022-12-31,2022,12,januari 2022 - december 2022,Dec 2022,Ergotherapeut,1
2023-12-31,2023,12,januari 2023 - december 2023,Dec 2023,Ergotherapeut,1
2024-12-31,2024,12,januari 2024 - december 2024,Dec 2024,Ergotherapeut,1
2025-12-31,2025,12,januari 2025 - december 2025,Dec 2025,Ergotherapeut,1
2017-12-31,2017,12,januari 2017 - december 2017,Dec 2017,Eventmanager,1
2018-12-31,2018,12,januari 2018 - december 2018,Dec 2018,Eventmanager,2
2021-12-31,2021,12,januari 2021 - december 2021,Dec 2021,Eventmanager,1
2022-12-31,2022,12,januari 2022 - december 2022,Dec 2022,Eventmanager,4
2023-12-31,2023,12,januari 2023 - december 2023,Dec 2023,Eventmanager,4
2024-12-31,2024,12,januari 2024 - december 2024,Dec 2024,Eventmanager,1
2025-12-31,2025,12,januari 2025 - december 2025,Dec 2025,Eventmanager,1
2026-04-30,2026,4,mei 2025 - april 2026,Apr 2026,Eventmanager,1
2022-12-31,2022,12,januari 2022 - december 2022,Dec 2022,Expediteur,10
2024-12-31,2024,12,januari 2024 - december 2024,Dec 2024,Expediteur,2
2020-12-31,2020,12,januari 2020 - december 2020,Dec 2020,Expert lokale ontwikkeling,2
2021-12-31,2021,12,januari 2021 - december 2021,Dec 2021,Expert lokale ontwikkeling,2
2022-12-31,2022,12,januari 2022 - december 2022,Dec 2022,Expert lokale ontwikkeling,4
2023-12-31,2023,12,januari 2023 - december 2023,Dec 2023,Expert lokale ontwikkeling,7
2024-12-31,2024,12,januari 2024 - december 2024,Dec 2024,Expert lokale ontwikkeling,4
2025-12-31,2025,12,januari 2025 - december 2025,Dec 2025,Expert lokale ontwikkeling,35
2026-04-30,2026,4,mei 2025 - april 2026,Apr 2026,Expert lokale ontwikkeling,53
2017-12-31,2017,12,januari 2017 - december 2017,Dec 2017,Expert productieproces en -methodes,16
2018-12-31,2018,12,januari 2018 - december 2018,Dec 2018,Expert productieproces en -methodes,24
2019-12-31,2019,12,januari 2019 - december 2019,Dec 2019,Expert productieproces en -methodes,33
2020-12-31,2020,12,januari 2020 - december 2020,Dec 2020,Expert productieproces en -methodes,21
2021-12-31,2021,12,januari 2021 - december 2021,Dec 2021,Expert productieproces en -methodes,28
2022-12-31,2022,12,januari 2022 - december 2022,Dec 2022,Expert productieproces en -methodes,45
2023-12-31,2023,12,januari 2023 - december 2023,Dec 2023,Expert productieproces en -methodes,19
2024-12-31,2024,12,januari 2024 - december 2024,Dec 2024,Expert productieproces en -methodes,23
2025-12-31,2025,12,januari 2025 - december 2025,Dec 2025,Expert productieproces en -methodes,38
2026-04-30,2026,4,mei 2025 - april 2026,Apr 2026,Expert productieproces en -methodes,30
2019-12-31,2019,12,januari 2019 - december 2019,Dec 2019,Expert technische controle en keuring bouw,1
2025-12-31,2025,12,januari 2025 - december 2025,Dec 2025,Expert technische controle en keuring bouw,7
2026-04-30,2026,4,mei 2025 - april 2026,Apr 2026,Expert technische controle en keuring bouw,6
2017-12-31,2017,12,januari 2017 - december 2017,Dec 2017,Facility manager,2
2018-12-31,2018,12,januari 2018 - december 2018,Dec 2018,Facility manager,5
2019-12-31,2019,12,januari 2019 - december 2019,Dec 2019,Facility manager,11
2020-12-31,2020,12,januari 2020 - december 2020,Dec 2020,Facility manager,15
2021-12-31,2021,12,januari 2021 - december 2021,Dec 2021,Facility manager,15
2022-12-31,2022,12,januari 2022 - december 2022,Dec 2022,Facility manager,21
2023-12-31,2023,12,januari 2023 - december 2023,Dec 2023,Facility manager,22
2024-12-31,2024,12,januari 2024 - december 2024,Dec 2024,Facility manager,6
2025-12-31,2025,12,januari 2025 - december 2025,Dec 2025,Facility manager,13
2026-04-30,2026,4,mei 2025 - april 2026,Apr 2026,Facility manager,17
2023-12-31,2023,12,januari 2023 - december 2023,Dec 2023,Familiaal bemiddelaar,6
2017-12-31,2017,12,januari 2017 - december 2017,Dec 2017,Financieel analist,1
2019-12-31,2019,12,januari 2019 - december 2019,Dec 2019,Financieel analist,1
2021-12-31,2021,12,januari 2021 - december 2021,Dec 2021,Financieel analist,4
2022-12-31,2022,12,januari 2022 - december 2022,Dec 2022,Financieel analist,2
2023-12-31,2023,12,januari 2023 - december 2023,Dec 2023,Financieel analist,2
2024-12-31,2024,12,januari 2024 - december 2024,Dec 2024,Financieel analist,0
2025-12-31,2025,12,januari 2025 - december 2025,Dec 2025,Financieel analist,4
2026-04-30,2026,4,mei 2025 - april 2026,Apr 2026,Financieel analist,4
2017-12-31,2017,12,januari 2017 - december 2017,Dec 2017,Fitnessbegeleider,2
2021-12-31,2021,12,januari 2021 - december 2021,Dec 2021,Fitnessbegeleider,11
2022-12-31,2022,12,januari 2022 - december 2022,Dec 2022,Fitnessbegeleider,4
2023-12-31,2023,12,januari 2023 - december 2023,Dec 2023,Fitnessbegeleider,57
2024-12-31,2024,12,januari 2024 - december 2024,Dec 2024,Fitnessbegeleider,1
2019-12-31,2019,12,januari 2019 - december 2019,Dec 2019,GIS-medewerker,1
2020-12-31,2020,12,januari 2020 - december 2020,Dec 2020,GIS-medewerker,3
2022-12-31,2022,12,januari 2022 - december 2022,Dec 2022,GIS-medewerker,2
2025-12-31,2025,12,januari 2025 - december 2025,Dec 2025,Game-ontwikkelaar,4
2026-04-30,2026,4,mei 2025 - april 2026,Apr 2026,Game-ontwikkelaar,4
2022-12-31,2022,12,januari 2022 - december 2022,Dec 2022,Gemeenschapswacht,1
2017-12-31,2017,12,januari 2017 - december 2017,Dec 2017,Gevelreiniger,16
2018-12-31,2018,12,januari 2018 - december 2018,Dec 2018,Gevelreiniger,15
2019-12-31,2019,12,januari 2019 - december 2019,Dec 2019,Gevelreiniger,21
2020-12-31,2020,12,januari 2020 - december 2020,Dec 2020,Gevelreiniger,12
2021-12-31,2021,12,januari 2021 - december 2021,Dec 2021,Gevelreiniger,12
2022-12-31,2022,12,januari 2022 - december 2022,Dec 2022,Gevelreiniger,10
2023-12-31,2023,12,januari 2023 - december 2023,Dec 2023,Gevelreiniger,13
2024-12-31,2024,12,januari 2024 - december 2024,Dec 2024,Gevelreiniger,14
2025-12-31,2025,12,januari 2025 - december 2025,Dec 2025,Gevelreiniger,11
2026-04-30,2026,4,mei 2025 - april 2026,Apr 2026,Gevelreiniger,9
2017-12-31,2017,12,januari 2017 - december 2017,Dec 2017,Gevelrenoveerder-betonhersteller,50
2018-12-31,2018,12,januari 2018 - december 2018,Dec 2018,Gevelrenoveerder-betonhersteller,102
2019-12-31,2019,12,januari 2019 - december 2019,Dec 2019,Gevelrenoveerder-betonhersteller,59
2020-12-31,2020,12,januari 2020 - december 2020,Dec 2020,Gevelrenoveerder-betonhersteller,92
2021-12-31,2021,12,januari 2021 - december 2021,Dec 2021,Gevelrenoveerder-betonhersteller,48
2022-12-31,2022,12,januari 2022 - december 2022,Dec 2022,Gevelrenoveerder-betonhersteller,81
2023-12-31,2023,12,januari 2023 - december 2023,Dec 2023,Gevelrenoveerder-betonhersteller,69
2024-12-31,2024,12,januari 2024 - december 2024,Dec 2024,Gevelrenoveerder-betonhersteller,61
2025-12-31,2025,12,januari 2025 - december 2025,Dec 2025,Gevelrenoveerder-betonhersteller,42
2026-04-30,2026,4,mei 2025 - april 2026,Apr 2026,Gevelrenoveerder-betonhersteller,36
2024-12-31,2024,12,januari 2024 - december 2024,Dec 2024,Gezagvoerder zeevaart,2
2026-04-30,2026,4,mei 2025 - april 2026,Apr 2026,Gezagvoerder zeevaart,1
2017-12-31,2017,12,januari 2017 - december 2017,Dec 2017,Glaswerker,31
2018-12-31,2018,12,januari 2018 - december 2018,Dec 2018,Glaswerker,31
2019-12-31,2019,12,januari 2019 - december 2019,Dec 2019,Glaswerker,47
2020-12-31,2020,12,januari 2020 - december 2020,Dec 2020,Glaswerker,47
2021-12-31,2021,12,januari 2021 - december 2021,Dec 2021,Glaswerker,69
2022-12-31,2022,12,januari 2022 - december 2022,Dec 2022,Glaswerker,50
2023-12-31,2023,12,januari 2023 - december 2023,Dec 2023,Glaswerker,32
2024-12-31,2024,12,januari 2024 - december 2024,Dec 2024,Glaswerker,29
2025-12-31,2025,12,januari 2025 - december 2025,Dec 2025,Glaswerker,17
2026-04-30,2026,4,mei 2025 - april 2026,Apr 2026,Glaswerker,25
2017-12-31,2017,12,januari 2017 - december 2017,Dec 2017,Grafisch vormgever,3
2018-12-31,2018,12,januari 2018 - december 2018,Dec 2018,Grafisch vormgever,2
2019-12-31,2019,12,januari 2019 - december 2019,Dec 2019,Grafisch vormgever,7
2020-12-31,2020,12,januari 2020 - december 2020,Dec 2020,Grafisch vormgever,2
2021-12-31,2021,12,januari 2021 - december 2021,Dec 2021,Grafisch vormgever,5
2022-12-31,2022,12,januari 2022 - december 2022,Dec 2022,Grafisch vormgever,3
2023-12-31,2023,12,januari 2023 - december 2023,Dec 2023,Grafisch vormgever,4
2024-12-31,2024,12,januari 2024 - december 2024,Dec 2024,Grafisch vormgever,2
2025-12-31,2025,12,januari 2025 - december 2025,Dec 2025,Grafisch vormgever,4
2026-04-30,2026,4,mei 2025 - april 2026,Apr 2026,Grafisch vormgever,2
2020-12-31,2020,12,januari 2020 - december 2020,Dec 2020,Graveerder,1
2023-12-31,2023,12,januari 2023 - december 2023,Dec 2023,Graveerder,1
2017-12-31,2017,12,januari 2017 - december 2017,Dec 2017,HR-manager,12
2018-12-31,2018,12,januari 2018 - december 2018,Dec 2018,HR-manager,3
2019-12-31,2019,12,januari 2019 - december 2019,Dec 2019,HR-manager,15
2020-12-31,2020,12,januari 2020 - december 2020,Dec 2020,HR-manager,23
2021-12-31,2021,12,januari 2021 - december 2021,Dec 2021,HR-manager,30
2022-12-31,2022,12,januari 2022 - december 2022,Dec 2022,HR-manager,27
2023-12-31,2023,12,januari 2023 - december 2023,Dec 2023,HR-manager,26
2024-12-31,2024,12,januari 2024 - december 2024,Dec 2024,HR-manager,24
2025-12-31,2025,12,januari 2025 - december 2025,Dec 2025,HR-manager,32
2026-04-30,2026,4,mei 2025 - april 2026,Apr 2026,HR-manager,25
2025-12-31,2025,12,januari 2025 - december 2025,Dec 2025,Havenarbeider,1
2026-04-30,2026,4,mei 2025 - april 2026,Apr 2026,Havenarbeider,2
2017-12-31,2017,12,januari 2017 - december 2017,Dec 2017,Heftruckchauffeur,56
2018-12-31,2018,12,januari 2018 - december 2018,Dec 2018,Heftruckchauffeur,1
2019-12-31,2019,12,januari 2019 - december 2019,Dec 2019,Heftruckchauffeur,1
2020-12-31,2020,12,januari 2020 - december 2020,Dec 2020,Heftruckchauffeur,2
2021-12-31,2021,12,januari 2021 - december 2021,Dec 2021,Heftruckchauffeur,5
2022-12-31,2022,12,januari 2022 - december 2022,Dec 2022,Heftruckchauffeur,2
2023-12-31,2023,12,januari 2023 - december 2023,Dec 2023,Heftruckchauffeur,7
2024-12-31,2024,12,januari 2024 - december 2024,Dec 2024,Heftruckchauffeur,2
2025-12-31,2025,12,januari 2025 - december 2025,Dec 2025,Heftruckchauffeur,1
2026-04-30,2026,4,mei 2025 - april 2026,Apr 2026,Heftruckchauffeur,0
2018-12-31,2018,12,januari 2018 - december 2018,Dec 2018,Horecamanager,3
2019-12-31,2019,12,januari 2019 - december 2019,Dec 2019,Horecamanager,3
2020-12-31,2020,12,januari 2020 - december 2020,Dec 2020,Horecamanager,1
2022-12-31,2022,12,januari 2022 - december 2022,Dec 2022,Horecamanager,5
2018-12-31,2018,12,januari 2018 - december 2018,Dec 2018,Hotelreceptionist,3
2019-12-31,2019,12,januari 2019 - december 2019,Dec 2019,Hotelreceptionist,1
2021-12-31,2021,12,januari 2021 - december 2021,Dec 2021,Hotelreceptionist,1
2022-12-31,2022,12,januari 2022 - december 2022,Dec 2022,Hotelreceptionist,2
2017-12-31,2017,12,januari 2017 - december 2017,Dec 2017,Huishoudhulp-poetshulp,12
2018-12-31,2018,12,januari 2018 - december 2018,Dec 2018,Huishoudhulp-poetshulp,19
2019-12-31,2019,12,januari 2019 - december 2019,Dec 2019,Huishoudhulp-poetshulp,24
2020-12-31,2020,12,januari 2020 - december 2020,Dec 2020,Huishoudhulp-poetshulp,11
2021-12-31,2021,12,januari 2021 - december 2021,Dec 2021,Huishoudhulp-poetshulp,25
2022-12-31,2022,12,januari 2022 - december 2022,Dec 2022,Huishoudhulp-poetshulp,56
2023-12-31,2023,12,januari 2023 - december 2023,Dec 2023,Huishoudhulp-poetshulp,5
2024-12-31,2024,12,januari 2024 - december 2024,Dec 2024,Huishoudhulp-poetshulp,15
2025-12-31,2025,12,januari 2025 - december 2025,Dec 2025,Huishoudhulp-poetshulp,16
2026-04-30,2026,4,mei 2025 - april 2026,Apr 2026,Huishoudhulp-poetshulp,14
2018-12-31,2018,12,januari 2018 - december 2018,Dec 2018,Hulpkelner,1
2017-12-31,2017,12,januari 2017 - december 2017,Dec 2017,Hulpkok,2
2018-12-31,2018,12,januari 2018 - december 2018,Dec 2018,Hulpkok,0
2019-12-31,2019,12,januari 2019 - december 2019,Dec 2019,Hulpkok,6
2020-12-31,2020,12,januari 2020 - december 2020,Dec 2020,Hulpkok,2
2021-12-31,2021,12,januari 2021 - december 2021,Dec 2021,Hulpkok,2
2022-12-31,2022,12,januari 2022 - december 2022,Dec 2022,Hulpkok,4
2023-12-31,2023,12,januari 2023 - december 2023,Dec 2023,Hulpkok,2
2025-12-31,2025,12,januari 2025 - december 2025,Dec 2025,Hulpkok,19
2026-04-30,2026,4,mei 2025 - april 2026,Apr 2026,Hulpkok,12
2017-12-31,2017,12,januari 2017 - december 2017,Dec 2017,Hulpkok grootkeuken,2
2022-12-31,2022,12,januari 2022 - december 2022,Dec 2022,Hulpkok grootkeuken,1
2023-12-31,2023,12,januari 2023 - december 2023,Dec 2023,Hulpkok grootkeuken,1
2024-12-31,2024,12,januari 2024 - december 2024,Dec 2024,Hulpkok grootkeuken,2
2017-12-31,2017,12,januari 2017 - december 2017,Dec 2017,ICT architect,1
2018-12-31,2018,12,januari 2018 - december 2018,Dec 2018,ICT architect,1
2019-12-31,2019,12,januari 2019 - december 2019,Dec 2019,ICT architect,2
2020-12-31,2020,12,januari 2020 - december 2020,Dec 2020,ICT architect,5
2021-12-31,2021,12,januari 2021 - december 2021,Dec 2021,ICT architect,2
2023-12-31,2023,12,januari 2023 - december 2023,Dec 2023,ICT architect,1
2024-12-31,2024,12,januari 2024 - december 2024,Dec 2024,ICT architect,1
2025-12-31,2025,12,januari 2025 - december 2025,Dec 2025,ICT architect,0
2017-12-31,2017,12,januari 2017 - december 2017,Dec 2017,Industrieel elektromecanicien,842
2018-12-31,2018,12,januari 2018 - december 2018,Dec 2018,Industrieel elektromecanicien,1100
2019-12-31,2019,12,januari 2019 - december 2019,Dec 2019,Industrieel elektromecanicien,723
2020-12-31,2020,12,januari 2020 - december 2020,Dec 2020,Industrieel elektromecanicien,371
2021-12-31,2021,12,januari 2021 - december 2021,Dec 2021,Industrieel elektromecanicien,400
2022-12-31,2022,12,januari 2022 - december 2022,Dec 2022,Industrieel elektromecanicien,856
2023-12-31,2023,12,januari 2023 - december 2023,Dec 2023,Industrieel elektromecanicien,351
2024-12-31,2024,12,januari 2024 - december 2024,Dec 2024,Industrieel elektromecanicien,246
2025-12-31,2025,12,januari 2025 - december 2025,Dec 2025,Industrieel elektromecanicien,349
2026-04-30,2026,4,mei 2025 - april 2026,Apr 2026,Industrieel elektromecanicien,297
2017-12-31,2017,12,januari 2017 - december 2017,Dec 2017,Industrieel isolatiewerker,76
2018-12-31,2018,12,januari 2018 - december 2018,Dec 2018,Industrieel isolatiewerker,64
2019-12-31,2019,12,januari 2019 - december 2019,Dec 2019,Industrieel isolatiewerker,72
2020-12-31,2020,12,januari 2020 - december 2020,Dec 2020,Industrieel isolatiewerker,74
2021-12-31,2021,12,januari 2021 - december 2021,Dec 2021,Industrieel isolatiewerker,86
2022-12-31,2022,12,januari 2022 - december 2022,Dec 2022,Industrieel isolatiewerker,78
2023-12-31,2023,12,januari 2023 - december 2023,Dec 2023,Industrieel isolatiewerker,59
2024-12-31,2024,12,januari 2024 - december 2024,Dec 2024,Industrieel isolatiewerker,99
2025-12-31,2025,12,januari 2025 - december 2025,Dec 2025,Industrieel isolatiewerker,80
2026-04-30,2026,4,mei 2025 - april 2026,Apr 2026,Industrieel isolatiewerker,77
2017-12-31,2017,12,januari 2017 - december 2017,Dec 2017,Industrieel laborant,5
2018-12-31,2018,12,januari 2018 - december 2018,Dec 2018,Industrieel laborant,13
2019-12-31,2019,12,januari 2019 - december 2019,Dec 2019,Industrieel laborant,3
2020-12-31,2020,12,januari 2020 - december 2020,Dec 2020,Industrieel laborant,2
2021-12-31,2021,12,januari 2021 - december 2021,Dec 2021,Industrieel laborant,6
2022-12-31,2022,12,januari 2022 - december 2022,Dec 2022,Industrieel laborant,4
2023-12-31,2023,12,januari 2023 - december 2023,Dec 2023,Industrieel laborant,12
2024-12-31,2024,12,januari 2024 - december 2024,Dec 2024,Industrieel laborant,6
2025-12-31,2025,12,januari 2025 - december 2025,Dec 2025,Industrieel laborant,13
2026-04-30,2026,4,mei 2025 - april 2026,Apr 2026,Industrieel laborant,10
2017-12-31,2017,12,januari 2017 - december 2017,Dec 2017,Industrieel onderhoudstechnicus,314
2018-12-31,2018,12,januari 2018 - december 2018,Dec 2018,Industrieel onderhoudstechnicus,308
2019-12-31,2019,12,januari 2019 - december 2019,Dec 2019,Industrieel onderhoudstechnicus,163
2020-12-31,2020,12,januari 2020 - december 2020,Dec 2020,Industrieel onderhoudstechnicus,143
2021-12-31,2021,12,januari 2021 - december 2021,Dec 2021,Industrieel onderhoudstechnicus,164
2022-12-31,2022,12,januari 2022 - december 2022,Dec 2022,Industrieel onderhoudstechnicus,635
2023-12-31,2023,12,januari 2023 - december 2023,Dec 2023,Industrieel onderhoudstechnicus,287
2024-12-31,2024,12,januari 2024 - december 2024,Dec 2024,Industrieel onderhoudstechnicus,181
2025-12-31,2025,12,januari 2025 - december 2025,Dec 2025,Industrieel onderhoudstechnicus,222
2026-04-30,2026,4,mei 2025 - april 2026,Apr 2026,Industrieel onderhoudstechnicus,249
2017-12-31,2017,12,januari 2017 - december 2017,Dec 2017,Industrieel reiniger,25
2018-12-31,2018,12,januari 2018 - december 2018,Dec 2018,Industrieel reiniger,23
2019-12-31,2019,12,januari 2019 - december 2019,Dec 2019,Industrieel reiniger,64
2020-12-31,2020,12,januari 2020 - december 2020,Dec 2020,Industrieel reiniger,9
2021-12-31,2021,12,januari 2021 - december 2021,Dec 2021,Industrieel reiniger,13
2022-12-31,2022,12,januari 2022 - december 2022,Dec 2022,Industrieel reiniger,20
2023-12-31,2023,12,januari 2023 - december 2023,Dec 2023,Industrieel reiniger,3
2024-12-31,2024,12,januari 2024 - december 2024,Dec 2024,Industrieel reiniger,23
2025-12-31,2025,12,januari 2025 - december 2025,Dec 2025,Industrieel reiniger,16
2026-04-30,2026,4,mei 2025 - april 2026,Apr 2026,Industrieel reiniger,6
2017-12-31,2017,12,januari 2017 - december 2017,Dec 2017,Industrieel schilder,81
2018-12-31,2018,12,januari 2018 - december 2018,Dec 2018,Industrieel schilder,53
2019-12-31,2019,12,januari 2019 - december 2019,Dec 2019,Industrieel schilder,97
2020-12-31,2020,12,januari 2020 - december 2020,Dec 2020,Industrieel schilder,44
2021-12-31,2021,12,januari 2021 - december 2021,Dec 2021,Industrieel schilder,73
2022-12-31,2022,12,januari 2022 - december 2022,Dec 2022,Industrieel schilder,83
2023-12-31,2023,12,januari 2023 - december 2023,Dec 2023,Industrieel schilder,79
2024-12-31,2024,12,januari 2024 - december 2024,Dec 2024,Industrieel schilder,66
2025-12-31,2025,12,januari 2025 - december 2025,Dec 2025,Industrieel schilder,41
2026-04-30,2026,4,mei 2025 - april 2026,Apr 2026,Industrieel schilder,30
2017-12-31,2017,12,januari 2017 - december 2017,Dec 2017,Ingenieur studie en advies bouw,154
2018-12-31,2018,12,januari 2018 - december 2018,Dec 2018,Ingenieur studie en advies bouw,152
2019-12-31,2019,12,januari 2019 - december 2019,Dec 2019,Ingenieur studie en advies bouw,184
2020-12-31,2020,12,januari 2020 - december 2020,Dec 2020,Ingenieur studie en advies bouw,152
2021-12-31,2021,12,januari 2021 - december 2021,Dec 2021,Ingenieur studie en advies bouw,190
2022-12-31,2022,12,januari 2022 - december 2022,Dec 2022,Ingenieur studie en advies bouw,164
2023-12-31,2023,12,januari 2023 - december 2023,Dec 2023,Ingenieur studie en advies bouw,186
2024-12-31,2024,12,januari 2024 - december 2024,Dec 2024,Ingenieur studie en advies bouw,255
2025-12-31,2025,12,januari 2025 - december 2025,Dec 2025,Ingenieur studie en advies bouw,229
2026-04-30,2026,4,mei 2025 - april 2026,Apr 2026,Ingenieur studie en advies bouw,177
2017-12-31,2017,12,januari 2017 - december 2017,Dec 2017,Installateur elektrotechnische basiscomponenten,11
2018-12-31,2018,12,januari 2018 - december 2018,Dec 2018,Installateur elektrotechnische basiscomponenten,60
2019-12-31,2019,12,januari 2019 - december 2019,Dec 2019,Installateur elektrotechnische basiscomponenten,22
2020-12-31,2020,12,januari 2020 - december 2020,Dec 2020,Installateur elektrotechnische basiscomponenten,19
2021-12-31,2021,12,januari 2021 - december 2021,Dec 2021,Installateur elektrotechnische basiscomponenten,8
2022-12-31,2022,12,januari 2022 - december 2022,Dec 2022,Installateur elektrotechnische basiscomponenten,15
2023-12-31,2023,12,januari 2023 - december 2023,Dec 2023,Installateur elektrotechnische basiscomponenten,2
2024-12-31,2024,12,januari 2024 - december 2024,Dec 2024,Installateur elektrotechnische basiscomponenten,7
2025-12-31,2025,12,januari 2025 - december 2025,Dec 2025,Installateur elektrotechnische basiscomponenten,2
2026-04-30,2026,4,mei 2025 - april 2026,Apr 2026,Installateur elektrotechnische basiscomponenten,7
2017-12-31,2017,12,januari 2017 - december 2017,Dec 2017,Installateur energiemanagementsystemen,2
2018-12-31,2018,12,januari 2018 - december 2018,Dec 2018,Installateur energiemanagementsystemen,2
2019-12-31,2019,12,januari 2019 - december 2019,Dec 2019,Installateur energiemanagementsystemen,13
2020-12-31,2020,12,januari 2020 - december 2020,Dec 2020,Installateur energiemanagementsystemen,13
2021-12-31,2021,12,januari 2021 - december 2021,Dec 2021,Installateur energiemanagementsystemen,123
2022-12-31,2022,12,januari 2022 - december 2022,Dec 2022,Installateur energiemanagementsystemen,218
2023-12-31,2023,12,januari 2023 - december 2023,Dec 2023,Installateur energiemanagementsystemen,316
2024-12-31,2024,12,januari 2024 - december 2024,Dec 2024,Installateur energiemanagementsystemen,209
2025-12-31,2025,12,januari 2025 - december 2025,Dec 2025,Installateur energiemanagementsystemen,135
2026-04-30,2026,4,mei 2025 - april 2026,Apr 2026,Installateur energiemanagementsystemen,102
2017-12-31,2017,12,januari 2017 - december 2017,Dec 2017,Installateur gebouwenautomatisering,3
2018-12-31,2018,12,januari 2018 - december 2018,Dec 2018,Installateur gebouwenautomatisering,1
2019-12-31,2019,12,januari 2019 - december 2019,Dec 2019,Installateur gebouwenautomatisering,0
2020-12-31,2020,12,januari 2020 - december 2020,Dec 2020,Installateur gebouwenautomatisering,5
2023-12-31,2023,12,januari 2023 - december 2023,Dec 2023,Installateur gebouwenautomatisering,1
2024-12-31,2024,12,januari 2024 - december 2024,Dec 2024,Installateur gebouwenautomatisering,0
2025-12-31,2025,12,januari 2025 - december 2025,Dec 2025,Installateur gebouwenautomatisering,0
2026-04-30,2026,4,mei 2025 - april 2026,Apr 2026,Installateur gebouwenautomatisering,3
2017-12-31,2017,12,januari 2017 - december 2017,Dec 2017,Installateur nutsvoorzieningen,51
2018-12-31,2018,12,januari 2018 - december 2018,Dec 2018,Installateur nutsvoorzieningen,101
2019-12-31,2019,12,januari 2019 - december 2019,Dec 2019,Installateur nutsvoorzieningen,69
2020-12-31,2020,12,januari 2020 - december 2020,Dec 2020,Installateur nutsvoorzieningen,61
2021-12-31,2021,12,januari 2021 - december 2021,Dec 2021,Installateur nutsvoorzieningen,37
2022-12-31,2022,12,januari 2022 - december 2022,Dec 2022,Installateur nutsvoorzieningen,59
2023-12-31,2023,12,januari 2023 - december 2023,Dec 2023,Installateur nutsvoorzieningen,67
2024-12-31,2024,12,januari 2024 - december 2024,Dec 2024,Installateur nutsvoorzieningen,72
2025-12-31,2025,12,januari 2025 - december 2025,Dec 2025,Installateur nutsvoorzieningen,63
2026-04-30,2026,4,mei 2025 - april 2026,Apr 2026,Installateur nutsvoorzieningen,76
2017-12-31,2017,12,januari 2017 - december 2017,Dec 2017,Insteller-omsteller plaatbewerking,15
2018-12-31,2018,12,januari 2018 - december 2018,Dec 2018,Insteller-omsteller plaatbewerking,15
2019-12-31,2019,12,januari 2019 - december 2019,Dec 2019,Insteller-omsteller plaatbewerking,10
2020-12-31,2020,12,januari 2020 - december 2020,Dec 2020,Insteller-omsteller plaatbewerking,11
2021-12-31,2021,12,januari 2021 - december 2021,Dec 2021,Insteller-omsteller plaatbewerking,9
2022-12-31,2022,12,januari 2022 - december 2022,Dec 2022,Insteller-omsteller plaatbewerking,10
2023-12-31,2023,12,januari 2023 - december 2023,Dec 2023,Insteller-omsteller plaatbewerking,11
2024-12-31,2024,12,januari 2024 - december 2024,Dec 2024,Insteller-omsteller plaatbewerking,2
2025-12-31,2025,12,januari 2025 - december 2025,Dec 2025,Insteller-omsteller plaatbewerking,8
2026-04-30,2026,4,mei 2025 - april 2026,Apr 2026,Insteller-omsteller plaatbewerking,10
2017-12-31,2017,12,januari 2017 - december 2017,Dec 2017,Insteller-omsteller verspaning,91
2018-12-31,2018,12,januari 2018 - december 2018,Dec 2018,Insteller-omsteller verspaning,138
2019-12-31,2019,12,januari 2019 - december 2019,Dec 2019,Insteller-omsteller verspaning,56
2020-12-31,2020,12,januari 2020 - december 2020,Dec 2020,Insteller-omsteller verspaning,47
2021-12-31,2021,12,januari 2021 - december 2021,Dec 2021,Insteller-omsteller verspaning,90
2022-12-31,2022,12,januari 2022 - december 2022,Dec 2022,Insteller-omsteller verspaning,150
2023-12-31,2023,12,januari 2023 - december 2023,Dec 2023,Insteller-omsteller verspaning,46
2024-12-31,2024,12,januari 2024 - december 2024,Dec 2024,Insteller-omsteller verspaning,64
2025-12-31,2025,12,januari 2025 - december 2025,Dec 2025,Insteller-omsteller verspaning,52
2026-04-30,2026,4,mei 2025 - april 2026,Apr 2026,Insteller-omsteller verspaning,31
2017-12-31,2017,12,januari 2017 - december 2017,Dec 2017,Integratie expert ICT,6
2018-12-31,2018,12,januari 2018 - december 2018,Dec 2018,Integratie expert ICT,7
2019-12-31,2019,12,januari 2019 - december 2019,Dec 2019,Integratie expert ICT,10
2020-12-31,2020,12,januari 2020 - december 2020,Dec 2020,Integratie expert ICT,12
2021-12-31,2021,12,januari 2021 - december 2021,Dec 2021,Integratie expert ICT,23
