period_end,period_year,period_month,period_label,period_short,beroep,vacatures
2018-12-31,2018,12,januari 2018 - december 2018,Dec 2018,Afdelingsverantwoordelijke productie,3
2019-12-31,2019,12,januari 2019 - december 2019,Dec 2019,Afdelingsverantwoordelijke productie,5
2020-12-31,2020,12,januari 2020 - december 2020,Dec 2020,Afdelingsverantwoordelijke productie,1
2021-12-31,2021,12,januari 2021 - december 2021,Dec 2021,Afdelingsverantwoordelijke productie,10
2022-12-31,2022,12,januari 2022 - december 2022,Dec 2022,Afdelingsverantwoordelijke productie,0
2023-12-31,2023,12,januari 2023 - december 2023,Dec 2023,Afdelingsverantwoordelijke productie,9
2024-12-31,2024,12,januari 2024 - december 2024,Dec 2024,Afdelingsverantwoordelijke productie,7
2025-12-31,2025,12,januari 2025 - december 2025,Dec 2025,Afdelingsverantwoordelijke productie,21
2026-04-30,2026,4,mei 2025 - april 2026,Apr 2026,Afdelingsverantwoordelijke productie,41
2018-12-31,2018,12,januari 2018 - december 2018,Dec 2018,Afwasser,1
2023-12-31,2023,12,januari 2023 - december 2023,Dec 2023,Afwasser,2
2024-12-31,2024,12,januari 2024 - december 2024,Dec 2024,Afwasser,1
2017-12-31,2017,12,januari 2017 - december 2017,Dec 2017,Algemeen directeur,18
2018-12-31,2018,12,januari 2018 - december 2018,Dec 2018,Algemeen directeur,14
2019-12-31,2019,12,januari 2019 - december 2019,Dec 2019,Algemeen directeur,19
2020-12-31,2020,12,januari 2020 - december 2020,Dec 2020,Algemeen directeur,15
2021-12-31,2021,12,januari 2021 - december 2021,Dec 2021,Algemeen directeur,8
2022-12-31,2022,12,januari 2022 - december 2022,Dec 2022,Algemeen directeur,15
2023-12-31,2023,12,januari 2023 - december 2023,Dec 2023,Algemeen directeur,21
2024-12-31,2024,12,januari 2024 - december 2024,Dec 2024,Algemeen directeur,25
2025-12-31,2025,12,januari 2025 - december 2025,Dec 2025,Algemeen directeur,16
2026-04-30,2026,4,mei 2025 - april 2026,Apr 2026,Algemeen directeur,19
2017-12-31,2017,12,januari 2017 - december 2017,Dec 2017,Ambachtelijk glasbewerker,2
2020-12-31,2020,12,januari 2020 - december 2020,Dec 2020,Ambachtelijk glasbewerker,1
2021-12-31,2021,12,januari 2021 - december 2021,Dec 2021,Ambachtelijk glasbewerker,1
2022-12-31,2022,12,januari 2022 - december 2022,Dec 2022,Ambachtelijk glasbewerker,1
2023-12-31,2023,12,januari 2023 - december 2023,Dec 2023,Ambachtelijk glasbewerker,1
2024-12-31,2024,12,januari 2024 - december 2024,Dec 2024,Ambachtelijk glasbewerker,1
2025-12-31,2025,12,januari 2025 - december 2025,Dec 2025,Ambachtelijk glasbewerker,1
2026-04-30,2026,4,mei 2025 - april 2026,Apr 2026,Ambachtelijk glasbewerker,0
2017-12-31,2017,12,januari 2017 - december 2017,Dec 2017,Ambachtelijk metaalbewerker,1
2018-12-31,2018,12,januari 2018 - december 2018,Dec 2018,Ambachtelijk metaalbewerker,6
2019-12-31,2019,12,januari 2019 - december 2019,Dec 2019,Ambachtelijk metaalbewerker,4
2020-12-31,2020,12,januari 2020 - december 2020,Dec 2020,Ambachtelijk metaalbewerker,5
2021-12-31,2021,12,januari 2021 - december 2021,Dec 2021,Ambachtelijk metaalbewerker,0
2022-12-31,2022,12,januari 2022 - december 2022,Dec 2022,Ambachtelijk metaalbewerker,1
2023-12-31,2023,12,januari 2023 - december 2023,Dec 2023,Ambachtelijk metaalbewerker,0
2025-12-31,2025,12,januari 2025 - december 2025,Dec 2025,Ambachtelijk metaalbewerker,1
2026-04-30,2026,4,mei 2025 - april 2026,Apr 2026,Ambachtelijk metaalbewerker,2
2019-12-31,2019,12,januari 2019 - december 2019,Dec 2019,Analist communicatie- en informatiesystemen defensie-veiligheid,1
2017-12-31,2017,12,januari 2017 - december 2017,Dec 2017,Animator,4
2021-12-31,2021,12,januari 2021 - december 2021,Dec 2021,Animator,1
2023-12-31,2023,12,januari 2023 - december 2023,Dec 2023,Animator,3
2024-12-31,2024,12,januari 2024 - december 2024,Dec 2024,Animator,2
2017-12-31,2017,12,januari 2017 - december 2017,Dec 2017,Arbeidsbemiddelaar-jobcoach,1
2018-12-31,2018,12,januari 2018 - december 2018,Dec 2018,Arbeidsbemiddelaar-jobcoach,0
2019-12-31,2019,12,januari 2019 - december 2019,Dec 2019,Arbeidsbemiddelaar-jobcoach,2
2021-12-31,2021,12,januari 2021 - december 2021,Dec 2021,Arbeidsbemiddelaar-jobcoach,0
2022-12-31,2022,12,januari 2022 - december 2022,Dec 2022,Arbeidsbemiddelaar-jobcoach,37
2023-12-31,2023,12,januari 2023 - december 2023,Dec 2023,Arbeidsbemiddelaar-jobcoach,2
2024-12-31,2024,12,januari 2024 - december 2024,Dec 2024,Arbeidsbemiddelaar-jobcoach,0
2025-12-31,2025,12,januari 2025 - december 2025,Dec 2025,Arbeidsbemiddelaar-jobcoach,1
2021-12-31,2021,12,januari 2021 - december 2021,Dec 2021,Archiefmedewerker,1
2022-12-31,2022,12,januari 2022 - december 2022,Dec 2022,Archiefmedewerker,1
2017-12-31,2017,12,januari 2017 - december 2017,Dec 2017,Architect,7
2018-12-31,2018,12,januari 2018 - december 2018,Dec 2018,Architect,3
2019-12-31,2019,12,januari 2019 - december 2019,Dec 2019,Architect,4
2020-12-31,2020,12,januari 2020 - december 2020,Dec 2020,Architect,10
2021-12-31,2021,12,januari 2021 - december 2021,Dec 2021,Architect,16
2022-12-31,2022,12,januari 2022 - december 2022,Dec 2022,Architect,23
2023-12-31,2023,12,januari 2023 - december 2023,Dec 2023,Architect,26
2024-12-31,2024,12,januari 2024 - december 2024,Dec 2024,Architect,24
2025-12-31,2025,12,januari 2025 - december 2025,Dec 2025,Architect,17
2026-04-30,2026,4,mei 2025 - april 2026,Apr 2026,Architect,19
2017-12-31,2017,12,januari 2017 - december 2017,Dec 2017,Asbestverwijderaar,67
2018-12-31,2018,12,januari 2018 - december 2018,Dec 2018,Asbestverwijderaar,25
2019-12-31,2019,12,januari 2019 - december 2019,Dec 2019,Asbestverwijderaar,44
2020-12-31,2020,12,januari 2020 - december 2020,Dec 2020,Asbestverwijderaar,29
2021-12-31,2021,12,januari 2021 - december 2021,Dec 2021,Asbestverwijderaar,42
2022-12-31,2022,12,januari 2022 - december 2022,Dec 2022,Asbestverwijderaar,43
2023-12-31,2023,12,januari 2023 - december 2023,Dec 2023,Asbestverwijderaar,40
2024-12-31,2024,12,januari 2024 - december 2024,Dec 2024,Asbestverwijderaar,79
2025-12-31,2025,12,januari 2025 - december 2025,Dec 2025,Asbestverwijderaar,68
2026-04-30,2026,4,mei 2025 - april 2026,Apr 2026,Asbestverwijderaar,33
2017-12-31,2017,12,januari 2017 - december 2017,Dec 2017,Assistent accountancy,55
2018-12-31,2018,12,januari 2018 - december 2018,Dec 2018,Assistent accountancy,85
2019-12-31,2019,12,januari 2019 - december 2019,Dec 2019,Assistent accountancy,64
2020-12-31,2020,12,januari 2020 - december 2020,Dec 2020,Assistent accountancy,63
2021-12-31,2021,12,januari 2021 - december 2021,Dec 2021,Assistent accountancy,82
2022-12-31,2022,12,januari 2022 - december 2022,Dec 2022,Assistent accountancy,173
2023-12-31,2023,12,januari 2023 - december 2023,Dec 2023,Assistent accountancy,106
2024-12-31,2024,12,januari 2024 - december 2024,Dec 2024,Assistent accountancy,102
2025-12-31,2025,12,januari 2025 - december 2025,Dec 2025,Assistent accountancy,119
2026-04-30,2026,4,mei 2025 - april 2026,Apr 2026,Assistent accountancy,94
2017-12-31,2017,12,januari 2017 - december 2017,Dec 2017,Assistent winkelmanager,7
2018-12-31,2018,12,januari 2018 - december 2018,Dec 2018,Assistent winkelmanager,9
2021-12-31,2021,12,januari 2021 - december 2021,Dec 2021,Assistent winkelmanager,1
2023-12-31,2023,12,januari 2023 - december 2023,Dec 2023,Assistent winkelmanager,2
2025-12-31,2025,12,januari 2025 - december 2025,Dec 2025,Assistent winkelmanager,2
2026-04-30,2026,4,mei 2025 - april 2026,Apr 2026,Assistent winkelmanager,2
2021-12-31,2021,12,januari 2021 - december 2021,Dec 2021,Attractiebediener,2
2022-12-31,2022,12,januari 2022 - december 2022,Dec 2022,Autobuschauffeur,1
2023-12-31,2023,12,januari 2023 - december 2023,Dec 2023,Autobuschauffeur,4
2017-12-31,2017,12,januari 2017 - december 2017,Dec 2017,BIM-expert (Building Information Modeling),18
2018-12-31,2018,12,januari 2018 - december 2018,Dec 2018,BIM-expert (Building Information Modeling),14
2019-12-31,2019,12,januari 2019 - december 2019,Dec 2019,BIM-expert (Building Information Modeling),11
2020-12-31,2020,12,januari 2020 - december 2020,Dec 2020,BIM-expert (Building Information Modeling),8
2021-12-31,2021,12,januari 2021 - december 2021,Dec 2021,BIM-expert (Building Information Modeling),4
2022-12-31,2022,12,januari 2022 - december 2022,Dec 2022,BIM-expert (Building Information Modeling),13
2023-12-31,2023,12,januari 2023 - december 2023,Dec 2023,BIM-expert (Building Information Modeling),11
2024-12-31,2024,12,januari 2024 - december 2024,Dec 2024,BIM-expert (Building Information Modeling),12
2025-12-31,2025,12,januari 2025 - december 2025,Dec 2025,BIM-expert (Building Information Modeling),5
