period_end,period_year,period_month,period_label,period_short,hoofdberoepsgroep,vacatures
2022-12-31,2022,12,januari 2022 - december 2022,Dec 2022,Vrijetijds- en artistieke beroepen,26
2022-12-31,2022,12,januari 2022 - december 2022,Dec 2022,"Medische, paramedische en verzorgende beroepen",17
2023-12-31,2023,12,januari 2023 - december 2023,Dec 2023,Bouwberoepen,11517
2023-12-31,2023,12,januari 2023 - december 2023,Dec 2023,Industriële beroepen en ambachten,5589
2023-12-31,2023,12,januari 2023 - december 2023,Dec 2023,Organisatieondersteunende en kennisberoepen,2204
2023-12-31,2023,12,januari 2023 - december 2023,Dec 2023,Transport- en logistieke beroepen,1053
2023-12-31,2023,12,januari 2023 - december 2023,Dec 2023,Handels- en verkoopberoepen,429
2023-12-31,2023,12,januari 2023 - december 2023,Dec 2023,Dienstverlenende beroepen,200
2023-12-31,2023,12,januari 2023 - december 2023,Dec 2023,Vrijetijds- en artistieke beroepen,74
2023-12-31,2023,12,januari 2023 - december 2023,Dec 2023,"Land-, tuin- en bosbouw- en visserijberoepen",58
2023-12-31,2023,12,januari 2023 - december 2023,Dec 2023,Pedagogische beroepen,29
2023-12-31,2023,12,januari 2023 - december 2023,Dec 2023,Horecaberoepen,25
2023-12-31,2023,12,januari 2023 - december 2023,Dec 2023,"Medische, paramedische en verzorgende beroepen",23
2024-12-31,2024,12,januari 2024 - december 2024,Dec 2024,Bouwberoepen,10380
2024-12-31,2024,12,januari 2024 - december 2024,Dec 2024,Industriële beroepen en ambachten,4055
2024-12-31,2024,12,januari 2024 - december 2024,Dec 2024,Organisatieondersteunende en kennisberoepen,2110
2024-12-31,2024,12,januari 2024 - december 2024,Dec 2024,Transport- en logistieke beroepen,1008
2024-12-31,2024,12,januari 2024 - december 2024,Dec 2024,Handels- en verkoopberoepen,238
2024-12-31,2024,12,januari 2024 - december 2024,Dec 2024,Dienstverlenende beroepen,234
2024-12-31,2024,12,januari 2024 - december 2024,Dec 2024,"Land-, tuin- en bosbouw- en visserijberoepen",78
2024-12-31,2024,12,januari 2024 - december 2024,Dec 2024,"Medische, paramedische en verzorgende beroepen",20
2024-12-31,2024,12,januari 2024 - december 2024,Dec 2024,Pedagogische beroepen,18
2024-12-31,2024,12,januari 2024 - december 2024,Dec 2024,Horecaberoepen,14
2024-12-31,2024,12,januari 2024 - december 2024,Dec 2024,Vrijetijds- en artistieke beroepen,14
2025-12-31,2025,12,januari 2025 - december 2025,Dec 2025,Bouwberoepen,10345
2025-12-31,2025,12,januari 2025 - december 2025,Dec 2025,Industriële beroepen en ambachten,4084
2025-12-31,2025,12,januari 2025 - december 2025,Dec 2025,Organisatieondersteunende en kennisberoepen,2323
2025-12-31,2025,12,januari 2025 - december 2025,Dec 2025,Transport- en logistieke beroepen,902
2025-12-31,2025,12,januari 2025 - december 2025,Dec 2025,Handels- en verkoopberoepen,351
2025-12-31,2025,12,januari 2025 - december 2025,Dec 2025,Dienstverlenende beroepen,230
2025-12-31,2025,12,januari 2025 - december 2025,Dec 2025,Horecaberoepen,63
