rank,period_end,period_year,period_month,period_label,period_short,hoofdberoepsgroep,beroepsgroep,beroep,vacatures,source_file,share_pct
145,2026-04-30,2026,4,mei 2025 - april 2026,Apr 2026,Industriële beroepen en ambachten,Industriële technici,Industrieel laborant,10,vacatures_202604_all.xlsx,0.1
146,2026-04-30,2026,4,mei 2025 - april 2026,Apr 2026,Industriële beroepen en ambachten,Professionals in de metaalindustrie,Insteller-omsteller plaatbewerking,10,vacatures_202604_all.xlsx,0.1
147,2026-04-30,2026,4,mei 2025 - april 2026,Apr 2026,Organisatieondersteunende en kennisberoepen,Specialisten kennisbeheer en communicatie,Erfgoedkundige,9,vacatures_202604_all.xlsx,0.1
148,2026-04-30,2026,4,mei 2025 - april 2026,Apr 2026,Industriële beroepen en ambachten,Technisch leidinggevenden,Productiemanager,9,vacatures_202604_all.xlsx,0.1
149,2026-04-30,2026,4,mei 2025 - april 2026,Apr 2026,Bouwberoepen,Bouwvakkers,Gevelreiniger,9,vacatures_202604_all.xlsx,0.1
150,2026-04-30,2026,4,mei 2025 - april 2026,Apr 2026,Industriële beroepen en ambachten,Specialisten chemie en kunststoffen,Procesoperator chemische industrie,9,vacatures_202604_all.xlsx,0.1
151,2026-04-30,2026,4,mei 2025 - april 2026,Apr 2026,Industriële beroepen en ambachten,Industriële technici,Onderhoudstechnicus industriële automatisering,9,vacatures_202604_all.xlsx,0.1
152,2026-04-30,2026,4,mei 2025 - april 2026,Apr 2026,Industriële beroepen en ambachten,Industriële technici,Medewerker kwaliteitscontrole,9,vacatures_202604_all.xlsx,0.1
153,2026-04-30,2026,4,mei 2025 - april 2026,Apr 2026,Bouwberoepen,Bouwtechnici,Bodemonderzoeker,9,vacatures_202604_all.xlsx,0.1
154,2026-04-30,2026,4,mei 2025 - april 2026,Apr 2026,Dienstverlenende beroepen,Ordehandhavers en reddingswerkers,Bewakingsagent,9,vacatures_202604_all.xlsx,0.1
155,2026-04-30,2026,4,mei 2025 - april 2026,Apr 2026,Industriële beroepen en ambachten,Technisch leidinggevenden,Verantwoordelijke beheer en onderhoud van voertuigen,8,vacatures_202604_all.xlsx,0.0
156,2026-04-30,2026,4,mei 2025 - april 2026,Apr 2026,Organisatieondersteunende en kennisberoepen,Informatici en ICT-medewerkers,Software analist,8,vacatures_202604_all.xlsx,0.0
157,2026-04-30,2026,4,mei 2025 - april 2026,Apr 2026,Bouwberoepen,Bouwvakkers,Dekvloerlegger,8,vacatures_202604_all.xlsx,0.0
158,2026-04-30,2026,4,mei 2025 - april 2026,Apr 2026,Horecaberoepen,Horecapersoneel,Keukenmedewerker,8,vacatures_202604_all.xlsx,0.0
159,2026-04-30,2026,4,mei 2025 - april 2026,Apr 2026,Organisatieondersteunende en kennisberoepen,Informatici en ICT-medewerkers,Netwerkbeheerder,8,vacatures_202604_all.xlsx,0.0
160,2026-04-30,2026,4,mei 2025 - april 2026,Apr 2026,Bouwberoepen,Machinisten en kraanmannen,Bediener machines verticale boringen,8,vacatures_202604_all.xlsx,0.0
161,2026-04-30,2026,4,mei 2025 - april 2026,Apr 2026,Horecaberoepen,Horecapersoneel,Kok,8,vacatures_202604_all.xlsx,0.0
162,2026-04-30,2026,4,mei 2025 - april 2026,Apr 2026,Dienstverlenende beroepen,Medewerkers in finance,Accountmanager in de financiële sector,8,vacatures_202604_all.xlsx,0.0
163,2026-04-30,2026,4,mei 2025 - april 2026,Apr 2026,Bouwberoepen,Bouwvakkers,Technicus hernieuwbare energietechnieken,7,vacatures_202604_all.xlsx,0.0
164,2026-04-30,2026,4,mei 2025 - april 2026,Apr 2026,Organisatieondersteunende en kennisberoepen,Leidinggevenden,Sales manager,7,vacatures_202604_all.xlsx,0.0
165,2026-04-30,2026,4,mei 2025 - april 2026,Apr 2026,Dienstverlenende beroepen,Ordehandhavers en reddingswerkers,Politieagent,7,vacatures_202604_all.xlsx,0.0
166,2026-04-30,2026,4,mei 2025 - april 2026,Apr 2026,Dienstverlenende beroepen,Persoonlijke dienstverleners,Kapper,7,vacatures_202604_all.xlsx,0.0
167,2026-04-30,2026,4,mei 2025 - april 2026,Apr 2026,Dienstverlenende beroepen,Experts vastgoed,Vastgoedpromotor,7,vacatures_202604_all.xlsx,0.0
168,2026-04-30,2026,4,mei 2025 - april 2026,Apr 2026,Organisatieondersteunende en kennisberoepen,"Medewerkers commerciële strategie, marketing en verkoop",Accountmanager sales,7,vacatures_202604_all.xlsx,0.0
169,2026-04-30,2026,4,mei 2025 - april 2026,Apr 2026,Organisatieondersteunende en kennisberoepen,"Medewerkers commerciële strategie, marketing en verkoop",Business developer,7,vacatures_202604_all.xlsx,0.0
170,2026-04-30,2026,4,mei 2025 - april 2026,Apr 2026,Bouwberoepen,Bouwvakkers,Installateur elektrotechnische basiscomponenten,7,vacatures_202604_all.xlsx,0.0
171,2026-04-30,2026,4,mei 2025 - april 2026,Apr 2026,Industriële beroepen en ambachten,Tekenaars en vormgevers,Productontwikkelaar,7,vacatures_202604_all.xlsx,0.0
172,2026-04-30,2026,4,mei 2025 - april 2026,Apr 2026,Organisatieondersteunende en kennisberoepen,"Medewerkers commerciële strategie, marketing en verkoop",Digital marketeer,6,vacatures_202604_all.xlsx,0.0
173,2026-04-30,2026,4,mei 2025 - april 2026,Apr 2026,Dienstverlenende beroepen,Schoonmaak- en onderhoudspersoneel,Industrieel reiniger,6,vacatures_202604_all.xlsx,0.0
174,2026-04-30,2026,4,mei 2025 - april 2026,Apr 2026,Organisatieondersteunende en kennisberoepen,Informatici en ICT-medewerkers,Systeembeheerder,6,vacatures_202604_all.xlsx,0.0
175,2026-04-30,2026,4,mei 2025 - april 2026,Apr 2026,Bouwberoepen,Bouwtechnici,Expert technische controle en keuring bouw,6,vacatures_202604_all.xlsx,0.0
176,2026-04-30,2026,4,mei 2025 - april 2026,Apr 2026,Organisatieondersteunende en kennisberoepen,Specialisten kennisbeheer en communicatie,Medewerker communicatie,6,vacatures_202604_all.xlsx,0.0
177,2026-04-30,2026,4,mei 2025 - april 2026,Apr 2026,Horecaberoepen,Horecapersoneel,Kelner,6,vacatures_202604_all.xlsx,0.0
178,2026-04-30,2026,4,mei 2025 - april 2026,Apr 2026,Transport- en logistieke beroepen,Transport- en logistiek personeel,Verhuizer,6,vacatures_202604_all.xlsx,0.0
179,2026-04-30,2026,4,mei 2025 - april 2026,Apr 2026,Bouwberoepen,Bouwtechnici,BIM-expert (Building Information Modeling),6,vacatures_202604_all.xlsx,0.0
180,2026-04-30,2026,4,mei 2025 - april 2026,Apr 2026,Industriële beroepen en ambachten,Voer- en werktuigherstellers,Werktuigkundige scheepvaart,5,vacatures_202604_all.xlsx,0.0
181,2026-04-30,2026,4,mei 2025 - april 2026,Apr 2026,Organisatieondersteunende en kennisberoepen,Leidinggevenden,Verantwoordelijke ICT,5,vacatures_202604_all.xlsx,0.0
182,2026-04-30,2026,4,mei 2025 - april 2026,Apr 2026,Dienstverlenende beroepen,Experts vastgoed,Vastgoedbemiddelaar verkoop en verhuur,5,vacatures_202604_all.xlsx,0.0
183,2026-04-30,2026,4,mei 2025 - april 2026,Apr 2026,Industriële beroepen en ambachten,Diverse productiemedewerkers en operatoren,Productieoperator bouw- en prefabmaterialen,5,vacatures_202604_all.xlsx,0.0
184,2026-04-30,2026,4,mei 2025 - april 2026,Apr 2026,Organisatieondersteunende en kennisberoepen,Onderzoeksmedewerkers en beleidsexperten,Wetenschappelijk onderzoeker,5,vacatures_202604_all.xlsx,0.0
185,2026-04-30,2026,4,mei 2025 - april 2026,Apr 2026,Industriële beroepen en ambachten,Industriële technici,Onderhoudstechnicus waterdistributie en sanering,5,vacatures_202604_all.xlsx,0.0
186,2026-04-30,2026,4,mei 2025 - april 2026,Apr 2026,Transport- en logistieke beroepen,Transport- en logistiek personeel,Dispatcher personenvervoer,5,vacatures_202604_all.xlsx,0.0
187,2026-04-30,2026,4,mei 2025 - april 2026,Apr 2026,Onbekend,Onbekend,Onbekend,4,vacatures_202604_all.xlsx,0.0
188,2026-04-30,2026,4,mei 2025 - april 2026,Apr 2026,Organisatieondersteunende en kennisberoepen,Informatici en ICT-medewerkers,Game-ontwikkelaar,4,vacatures_202604_all.xlsx,0.0
189,2026-04-30,2026,4,mei 2025 - april 2026,Apr 2026,Horecaberoepen,Horecapersoneel,Polyvalent hotelmedewerker,4,vacatures_202604_all.xlsx,0.0
190,2026-04-30,2026,4,mei 2025 - april 2026,Apr 2026,Bouwberoepen,Bouwtechnici,Energiedeskundige gebouwen,4,vacatures_202604_all.xlsx,0.0
191,2026-04-30,2026,4,mei 2025 - april 2026,Apr 2026,Industriële beroepen en ambachten,Medewerkers houtindustrie,Productieoperator hout,4,vacatures_202604_all.xlsx,0.0
192,2026-04-30,2026,4,mei 2025 - april 2026,Apr 2026,Organisatieondersteunende en kennisberoepen,"Medewerkers commerciële strategie, marketing en verkoop",Marketing assistent,4,vacatures_202604_all.xlsx,0.0
193,2026-04-30,2026,4,mei 2025 - april 2026,Apr 2026,Organisatieondersteunende en kennisberoepen,Accountants,Dossierbeheerder accountancy,4,vacatures_202604_all.xlsx,0.0
194,2026-04-30,2026,4,mei 2025 - april 2026,Apr 2026,Dienstverlenende beroepen,Medewerkers in finance,Financieel analist,4,vacatures_202604_all.xlsx,0.0
195,2026-04-30,2026,4,mei 2025 - april 2026,Apr 2026,Industriële beroepen en ambachten,Voer- en werktuigherstellers,Spuiter carrosserie,4,vacatures_202604_all.xlsx,0.0
196,2026-04-30,2026,4,mei 2025 - april 2026,Apr 2026,Bouwberoepen,Bouwtechnici,Landschapsarchitect,4,vacatures_202604_all.xlsx,0.0
197,2026-04-30,2026,4,mei 2025 - april 2026,Apr 2026,Bouwberoepen,Bouwvakkers,Onderhoudsmedewerker wegennet,4,vacatures_202604_all.xlsx,0.0
198,2026-04-30,2026,4,mei 2025 - april 2026,Apr 2026,Industriële beroepen en ambachten,Technisch leidinggevenden,Verantwoordelijke onderzoek en ontwikkeling,4,vacatures_202604_all.xlsx,0.0
199,2026-04-30,2026,4,mei 2025 - april 2026,Apr 2026,Horecaberoepen,Horecapersoneel,Medewerker fastfood,3,vacatures_202604_all.xlsx,0.0
200,2026-04-30,2026,4,mei 2025 - april 2026,Apr 2026,Industriële beroepen en ambachten,Bewerkers van voeding,Productieoperator voedingsindustrie,3,vacatures_202604_all.xlsx,0.0
201,2026-04-30,2026,4,mei 2025 - april 2026,Apr 2026,Industriële beroepen en ambachten,Drukkers,Productiemedewerker drukafwerking,3,vacatures_202604_all.xlsx,0.0
202,2026-04-30,2026,4,mei 2025 - april 2026,Apr 2026,Transport- en logistieke beroepen,"Werknemers spoor-, water-, luchttransport",Schipper-stuurman binnenscheepvaart,3,vacatures_202604_all.xlsx,0.0
203,2026-04-30,2026,4,mei 2025 - april 2026,Apr 2026,Industriële beroepen en ambachten,Voer- en werktuigherstellers,OAD-technicus van personenwagens en lichte bedrijfsvoertuigen,3,vacatures_202604_all.xlsx,0.0
204,2026-04-30,2026,4,mei 2025 - april 2026,Apr 2026,Organisatieondersteunende en kennisberoepen,Informatici en ICT-medewerkers,Data manager,3,vacatures_202604_all.xlsx,0.0
205,2026-04-30,2026,4,mei 2025 - april 2026,Apr 2026,Industriële beroepen en ambachten,Bewerkers van voeding,Charcutier,3,vacatures_202604_all.xlsx,0.0
206,2026-04-30,2026,4,mei 2025 - april 2026,Apr 2026,Bouwberoepen,Bouwvakkers,Installateur gebouwenautomatisering,3,vacatures_202604_all.xlsx,0.0
207,2026-04-30,2026,4,mei 2025 - april 2026,Apr 2026,Industriële beroepen en ambachten,Technisch leidinggevenden,Verantwoordelijke productieproces en -methodes,3,vacatures_202604_all.xlsx,0.0
208,2026-04-30,2026,4,mei 2025 - april 2026,Apr 2026,Pedagogische beroepen,Onderwijzend en leidinggevend personeel in onderwijs,Pedagogisch coördinator,3,vacatures_202604_all.xlsx,0.0
209,2026-04-30,2026,4,mei 2025 - april 2026,Apr 2026,Industriële beroepen en ambachten,Medewerkers houtindustrie,Machinaal houtbewerker,3,vacatures_202604_all.xlsx,0.0
210,2026-04-30,2026,4,mei 2025 - april 2026,Apr 2026,Handels- en verkoopberoepen,Verkooppersoneel,Winkelmedewerker,3,vacatures_202604_all.xlsx,0.0
211,2026-04-30,2026,4,mei 2025 - april 2026,Apr 2026,Organisatieondersteunende en kennisberoepen,Onderzoeksmedewerkers en beleidsexperten,Marktonderzoeker,3,vacatures_202604_all.xlsx,0.0
212,2026-04-30,2026,4,mei 2025 - april 2026,Apr 2026,Dienstverlenende beroepen,Medewerkers in finance,Adviseur kredieten,3,vacatures_202604_all.xlsx,0.0
213,2026-04-30,2026,4,mei 2025 - april 2026,Apr 2026,Transport- en logistieke beroepen,Transport- en logistiek personeel,Koerier besteller,3,vacatures_202604_all.xlsx,0.0
214,2026-04-30,2026,4,mei 2025 - april 2026,Apr 2026,Organisatieondersteunende en kennisberoepen,Leidinggevenden,Verantwoordelijke aankoop,3,vacatures_202604_all.xlsx,0.0
215,2026-04-30,2026,4,mei 2025 - april 2026,Apr 2026,Horecaberoepen,Horecapersoneel,Keukenverantwoordelijke,3,vacatures_202604_all.xlsx,0.0
216,2026-04-30,2026,4,mei 2025 - april 2026,Apr 2026,Bouwberoepen,Bouwvakkers,Onderwaterwerker,2,vacatures_202604_all.xlsx,0.0
217,2026-04-30,2026,4,mei 2025 - april 2026,Apr 2026,Transport- en logistieke beroepen,Transport- en logistiek personeel,Medewerker internationaal goederenverkeer,2,vacatures_202604_all.xlsx,0.0
218,2026-04-30,2026,4,mei 2025 - april 2026,Apr 2026,Transport- en logistieke beroepen,"Werknemers spoor-, water-, luchttransport",Behandelaar luchtvracht en bagage,2,vacatures_202604_all.xlsx,0.0
219,2026-04-30,2026,4,mei 2025 - april 2026,Apr 2026,Transport- en logistieke beroepen,"Werknemers spoor-, water-, luchttransport",Havenarbeider,2,vacatures_202604_all.xlsx,0.0
220,2026-04-30,2026,4,mei 2025 - april 2026,Apr 2026,Pedagogische beroepen,Onderwijzend en leidinggevend personeel in onderwijs,Opleider volwassenen,2,vacatures_202604_all.xlsx,0.0
221,2026-04-30,2026,4,mei 2025 - april 2026,Apr 2026,Dienstverlenende beroepen,Medewerkers in finance,Back-office medewerker in de financiële sector,2,vacatures_202604_all.xlsx,0.0
222,2026-04-30,2026,4,mei 2025 - april 2026,Apr 2026,Organisatieondersteunende en kennisberoepen,Informatici en ICT-medewerkers,Netwerk engineer telecom,2,vacatures_202604_all.xlsx,0.0
223,2026-04-30,2026,4,mei 2025 - april 2026,Apr 2026,Dienstverlenende beroepen,Schoonmaak- en onderhoudspersoneel,Recyclageparkwachter,2,vacatures_202604_all.xlsx,0.0
224,2026-04-30,2026,4,mei 2025 - april 2026,Apr 2026,Handels- en verkoopberoepen,Verkooppersoneel,Assistent winkelmanager,2,vacatures_202604_all.xlsx,0.0
225,2026-04-30,2026,4,mei 2025 - april 2026,Apr 2026,"Land-, tuin- en bosbouw- en visserijberoepen","Land-, tuin- en bosbouwers en vissers",Boomverzorger,2,vacatures_202604_all.xlsx,0.0
226,2026-04-30,2026,4,mei 2025 - april 2026,Apr 2026,Handels- en verkoopberoepen,Verkooppersoneel,"Verhuurder van gereedschappen, transportmiddelen of vrijetijdsmaterieel",2,vacatures_202604_all.xlsx,0.0
227,2026-04-30,2026,4,mei 2025 - april 2026,Apr 2026,Handels- en verkoopberoepen,Verkooppersoneel,Winkelmanager,2,vacatures_202604_all.xlsx,0.0
228,2026-04-30,2026,4,mei 2025 - april 2026,Apr 2026,Industriële beroepen en ambachten,Medewerkers houtindustrie,Medewerker assemblage houten verpakkingen en palletten,2,vacatures_202604_all.xlsx,0.0
229,2026-04-30,2026,4,mei 2025 - april 2026,Apr 2026,Industriële beroepen en ambachten,Beoefenaars van ambachten,Ambachtelijk metaalbewerker,2,vacatures_202604_all.xlsx,0.0
230,2026-04-30,2026,4,mei 2025 - april 2026,Apr 2026,Industriële beroepen en ambachten,Diverse productiemedewerkers en operatoren,Operator glasbewerking,2,vacatures_202604_all.xlsx,0.0
231,2026-04-30,2026,4,mei 2025 - april 2026,Apr 2026,Dienstverlenende beroepen,Juridische dienstverleners,Juridisch medewerker,2,vacatures_202604_all.xlsx,0.0
232,2026-04-30,2026,4,mei 2025 - april 2026,Apr 2026,Industriële beroepen en ambachten,Tekenaars en vormgevers,Grafisch vormgever,2,vacatures_202604_all.xlsx,0.0
233,2026-04-30,2026,4,mei 2025 - april 2026,Apr 2026,Industriële beroepen en ambachten,Beoefenaars van ambachten,Decorateur van kunst- en artisanale objecten,2,vacatures_202604_all.xlsx,0.0
234,2026-04-30,2026,4,mei 2025 - april 2026,Apr 2026,Organisatieondersteunende en kennisberoepen,Controleurs en inspecteurs,Technisch inspecteur industrie,2,vacatures_202604_all.xlsx,0.0
235,2026-04-30,2026,4,mei 2025 - april 2026,Apr 2026,Industriële beroepen en ambachten,Drukkers,Productiemedewerker drukken,2,vacatures_202604_all.xlsx,0.0
236,2026-04-30,2026,4,mei 2025 - april 2026,Apr 2026,Industriële beroepen en ambachten,Bewerkers van voeding,Uitsnijder-uitbener,2,vacatures_202604_all.xlsx,0.0
237,2026-04-30,2026,4,mei 2025 - april 2026,Apr 2026,Dienstverlenende beroepen,Experts vastgoed,Rentmeester,2,vacatures_202604_all.xlsx,0.0
238,2026-04-30,2026,4,mei 2025 - april 2026,Apr 2026,Dienstverlenende beroepen,Persoonlijke dienstverleners,Schoonheidsspecialist,1,vacatures_202604_all.xlsx,0.0
239,2026-04-30,2026,4,mei 2025 - april 2026,Apr 2026,Organisatieondersteunende en kennisberoepen,Specialisten kennisbeheer en communicatie,Social media manager,1,vacatures_202604_all.xlsx,0.0
240,2026-04-30,2026,4,mei 2025 - april 2026,Apr 2026,Transport- en logistieke beroepen,Bestuurders in het wegtransport,Bestuurder van sleepvoertuigen,1,vacatures_202604_all.xlsx,0.0
241,2026-04-30,2026,4,mei 2025 - april 2026,Apr 2026,Industriële beroepen en ambachten,Specialisten chemie en kunststoffen,Productiemedewerker kunststofverwerking,1,vacatures_202604_all.xlsx,0.0
242,2026-04-30,2026,4,mei 2025 - april 2026,Apr 2026,Transport- en logistieke beroepen,Bestuurders in het wegtransport,Taxichauffeur en chauffeur privévervoer,1,vacatures_202604_all.xlsx,0.0
243,2026-04-30,2026,4,mei 2025 - april 2026,Apr 2026,Bouwberoepen,Machinisten en kraanmannen,Bediener of medewerker diepfunderingsmachines,1,vacatures_202604_all.xlsx,0.0
244,2026-04-30,2026,4,mei 2025 - april 2026,Apr 2026,Dienstverlenende beroepen,Schoonmaak- en onderhoudspersoneel,Ruitenwasser,1,vacatures_202604_all.xlsx,0.0
245,2026-04-30,2026,4,mei 2025 - april 2026,Apr 2026,Organisatieondersteunende en kennisberoepen,Specialisten kennisbeheer en communicatie,Journalist-redacteur,1,vacatures_202604_all.xlsx,0.0
246,2026-04-30,2026,4,mei 2025 - april 2026,Apr 2026,Transport- en logistieke beroepen,"Werknemers spoor-, water-, luchttransport",Bemanning zeevaart,1,vacatures_202604_all.xlsx,0.0
247,2026-04-30,2026,4,mei 2025 - april 2026,Apr 2026,Transport- en logistieke beroepen,"Werknemers spoor-, water-, luchttransport",Gezagvoerder zeevaart,1,vacatures_202604_all.xlsx,0.0
248,2026-04-30,2026,4,mei 2025 - april 2026,Apr 2026,Transport- en logistieke beroepen,"Werknemers spoor-, water-, luchttransport",Planner goederenbehandeling in de haven,1,vacatures_202604_all.xlsx,0.0
249,2026-04-30,2026,4,mei 2025 - april 2026,Apr 2026,Vrijetijds- en artistieke beroepen,"Artiesten, kunstenaars en andere culturele beroepen",Decorbouwer-rekwisiteur,1,vacatures_202604_all.xlsx,0.0
250,2026-04-30,2026,4,mei 2025 - april 2026,Apr 2026,Industriële beroepen en ambachten,Industriële technici,"Technicus veiligheid, hygiëne en leefmilieu",1,vacatures_202604_all.xlsx,0.0
251,2026-04-30,2026,4,mei 2025 - april 2026,Apr 2026,Industriële beroepen en ambachten,Specialisten chemie en kunststoffen,Productieoperator-machineregelaar kunststoffen,1,vacatures_202604_all.xlsx,0.0
252,2026-04-30,2026,4,mei 2025 - april 2026,Apr 2026,Dienstverlenende beroepen,Persoonlijke dienstverleners,Dierenverzorger,1,vacatures_202604_all.xlsx,0.0
253,2026-04-30,2026,4,mei 2025 - april 2026,Apr 2026,Dienstverlenende beroepen,Persoonlijke dienstverleners,Dierentrimmer,1,vacatures_202604_all.xlsx,0.0
254,2026-04-30,2026,4,mei 2025 - april 2026,Apr 2026,Organisatieondersteunende en kennisberoepen,Leidinggevenden,E-commerce manager,1,vacatures_202604_all.xlsx,0.0
255,2026-04-30,2026,4,mei 2025 - april 2026,Apr 2026,Organisatieondersteunende en kennisberoepen,Bedrijfsadviseurs,Mediabuyer,1,vacatures_202604_all.xlsx,0.0
256,2026-04-30,2026,4,mei 2025 - april 2026,Apr 2026,Organisatieondersteunende en kennisberoepen,Bedrijfsadviseurs,Compliance officer,1,vacatures_202604_all.xlsx,0.0
257,2026-04-30,2026,4,mei 2025 - april 2026,Apr 2026,Organisatieondersteunende en kennisberoepen,Leidinggevenden,Verantwoordelijke klantendienst,1,vacatures_202604_all.xlsx,0.0
258,2026-04-30,2026,4,mei 2025 - april 2026,Apr 2026,Dienstverlenende beroepen,Medewerkers in finance,Beheerder verzekeringen,1,vacatures_202604_all.xlsx,0.0
259,2026-04-30,2026,4,mei 2025 - april 2026,Apr 2026,"Medische, paramedische en verzorgende beroepen","Verpleegkundigen, vroedvrouwen en zorgpersoneel",Persoonlijk assistent,1,vacatures_202604_all.xlsx,0.0
260,2026-04-30,2026,4,mei 2025 - april 2026,Apr 2026,Vrijetijds- en artistieke beroepen,"Medewerkers bij toerisme, vrije tijd en sport",Eventmanager,1,vacatures_202604_all.xlsx,0.0
261,2026-04-30,2026,4,mei 2025 - april 2026,Apr 2026,Organisatieondersteunende en kennisberoepen,"Medewerkers commerciële strategie, marketing en verkoop",Productmanager,1,vacatures_202604_all.xlsx,0.0
262,2026-04-30,2026,4,mei 2025 - april 2026,Apr 2026,Dienstverlenende beroepen,Persoonlijke dienstverleners,Conciërge,1,vacatures_202604_all.xlsx,0.0
263,2026-04-30,2026,4,mei 2025 - april 2026,Apr 2026,Industriële beroepen en ambachten,Voer- en werktuigherstellers,Technicus van bromfietsen en motorfietsen,1,vacatures_202604_all.xlsx,0.0
264,2026-04-30,2026,4,mei 2025 - april 2026,Apr 2026,Industriële beroepen en ambachten,Voer- en werktuigherstellers,OD-technicus van zware bedrijfsvoertuigen,1,vacatures_202604_all.xlsx,0.0
265,2026-04-30,2026,4,mei 2025 - april 2026,Apr 2026,Transport- en logistieke beroepen,Transport- en logistiek personeel,Heftruckchauffeur,0,vacatures_202604_all.xlsx,0.0
266,2026-04-30,2026,4,mei 2025 - april 2026,Apr 2026,Dienstverlenende beroepen,Experts vastgoed,Syndicus,0,vacatures_202604_all.xlsx,0.0
267,2026-04-30,2026,4,mei 2025 - april 2026,Apr 2026,Dienstverlenende beroepen,Experts vastgoed,Vastgoedbemiddelaar overdracht,0,vacatures_202604_all.xlsx,0.0
268,2026-04-30,2026,4,mei 2025 - april 2026,Apr 2026,Organisatieondersteunende en kennisberoepen,Leidinggevenden,Leidinggevende milieuzorg en sanering,0,vacatures_202604_all.xlsx,0.0
269,2026-04-30,2026,4,mei 2025 - april 2026,Apr 2026,Dienstverlenende beroepen,Schoonmaak- en onderhoudspersoneel,Leidinggevende schoonmaak,0,vacatures_202604_all.xlsx,0.0
270,2026-04-30,2026,4,mei 2025 - april 2026,Apr 2026,Dienstverlenende beroepen,Schoonmaak- en onderhoudspersoneel,Milieuwerker,0,vacatures_202604_all.xlsx,0.0
271,2026-04-30,2026,4,mei 2025 - april 2026,Apr 2026,"Land-, tuin- en bosbouw- en visserijberoepen","Land-, tuin- en bosbouwers en vissers",Bestuurder van bosexploitatiemachines,0,vacatures_202604_all.xlsx,0.0
272,2026-04-30,2026,4,mei 2025 - april 2026,Apr 2026,Industriële beroepen en ambachten,Beoefenaars van ambachten,Ambachtelijk glasbewerker,0,vacatures_202604_all.xlsx,0.0
273,2026-04-30,2026,4,mei 2025 - april 2026,Apr 2026,Industriële beroepen en ambachten,Voer- en werktuigherstellers,Plaatwerker carrosserie,0,vacatures_202604_all.xlsx,0.0
274,2026-04-30,2026,4,mei 2025 - april 2026,Apr 2026,Dienstverlenende beroepen,Medewerkers in finance,Underwriter verzekeringen,0,vacatures_202604_all.xlsx,0.0
275,2026-04-30,2026,4,mei 2025 - april 2026,Apr 2026,"Land-, tuin- en bosbouw- en visserijberoepen","Land-, tuin- en bosbouwers en vissers",Medewerker loonwerk,0,vacatures_202604_all.xlsx,0.0
276,2026-04-30,2026,4,mei 2025 - april 2026,Apr 2026,"Land-, tuin- en bosbouw- en visserijberoepen","Land-, tuin- en bosbouwers en vissers",Medewerker landbouw,0,vacatures_202604_all.xlsx,0.0
277,2026-04-30,2026,4,mei 2025 - april 2026,Apr 2026,Industriële beroepen en ambachten,Medewerkers houtindustrie,Operator in de houtzagerij,0,vacatures_202604_all.xlsx,0.0
