period_end,period_year,period_month,period_label,period_short,hoofdberoepsgroep,beroepsgroep,beroep,vacatures,source_file
2017-12-31,2017,12,januari 2017 - december 2017,Dec 2017,Bouwberoepen,Bouwvakkers,Plaatser binnenschrijnwerk,221,vacatures_201712_all.xlsx
2017-12-31,2017,12,januari 2017 - december 2017,Dec 2017,Bouwberoepen,Bouwvakkers,Plaatser buitenschrijnwerk,505,vacatures_201712_all.xlsx
2017-12-31,2017,12,januari 2017 - december 2017,Dec 2017,Bouwberoepen,Bouwvakkers,Plaatser van boven- en ondergrondse leidingen,65,vacatures_201712_all.xlsx
2017-12-31,2017,12,januari 2017 - december 2017,Dec 2017,Bouwberoepen,Bouwvakkers,Plaatser van houten vloerbedekking,26,vacatures_201712_all.xlsx
2017-12-31,2017,12,januari 2017 - december 2017,Dec 2017,Bouwberoepen,Bouwvakkers,Plaatser van soepele vloerbekledingen,15,vacatures_201712_all.xlsx
2017-12-31,2017,12,januari 2017 - december 2017,Dec 2017,Bouwberoepen,Bouwvakkers,Rioollegger,38,vacatures_201712_all.xlsx
2017-12-31,2017,12,januari 2017 - december 2017,Dec 2017,Bouwberoepen,Bouwvakkers,Schilder-decorateur,410,vacatures_201712_all.xlsx
2017-12-31,2017,12,januari 2017 - december 2017,Dec 2017,Bouwberoepen,Bouwvakkers,Schrijnwerker houtbouw,36,vacatures_201712_all.xlsx
2017-12-31,2017,12,januari 2017 - december 2017,Dec 2017,Bouwberoepen,Bouwvakkers,Steigerbouwer,101,vacatures_201712_all.xlsx
2017-12-31,2017,12,januari 2017 - december 2017,Dec 2017,Bouwberoepen,Bouwvakkers,Stukadoor,249,vacatures_201712_all.xlsx
2017-12-31,2017,12,januari 2017 - december 2017,Dec 2017,Bouwberoepen,Bouwvakkers,Technicus hernieuwbare energietechnieken,76,vacatures_201712_all.xlsx
2017-12-31,2017,12,januari 2017 - december 2017,Dec 2017,Bouwberoepen,Bouwvakkers,Technicus installatietechnieken,99,vacatures_201712_all.xlsx
2017-12-31,2017,12,januari 2017 - december 2017,Dec 2017,Bouwberoepen,Bouwvakkers,Vloerder-tegelzetter,277,vacatures_201712_all.xlsx
2017-12-31,2017,12,januari 2017 - december 2017,Dec 2017,Bouwberoepen,Bouwvakkers,Voeger,52,vacatures_201712_all.xlsx
2017-12-31,2017,12,januari 2017 - december 2017,Dec 2017,Bouwberoepen,Bouwvakkers,Wegenwerker,452,vacatures_201712_all.xlsx
2017-12-31,2017,12,januari 2017 - december 2017,Dec 2017,Bouwberoepen,Machinisten en kraanmannen,Bediener grondverzetmachines,207,vacatures_201712_all.xlsx
2017-12-31,2017,12,januari 2017 - december 2017,Dec 2017,Bouwberoepen,Machinisten en kraanmannen,Bediener machines horizontale boringen,9,vacatures_201712_all.xlsx
2017-12-31,2017,12,januari 2017 - december 2017,Dec 2017,Bouwberoepen,Machinisten en kraanmannen,Bediener machines verticale boringen,5,vacatures_201712_all.xlsx
2017-12-31,2017,12,januari 2017 - december 2017,Dec 2017,Bouwberoepen,Machinisten en kraanmannen,Bediener van betonnerings- en asfalteringsmachines,8,vacatures_201712_all.xlsx
2017-12-31,2017,12,januari 2017 - december 2017,Dec 2017,Bouwberoepen,Machinisten en kraanmannen,Kraanbestuurder,181,vacatures_201712_all.xlsx
2017-12-31,2017,12,januari 2017 - december 2017,Dec 2017,Bouwberoepen,Machinisten en kraanmannen,Torenkraanbediener,19,vacatures_201712_all.xlsx
2017-12-31,2017,12,januari 2017 - december 2017,Dec 2017,Dienstverlenende beroepen,Adviesverleners,Arbeidsbemiddelaar-jobcoach,1,vacatures_201712_all.xlsx
2017-12-31,2017,12,januari 2017 - december 2017,Dec 2017,Dienstverlenende beroepen,Experts vastgoed,Rentmeester,1,vacatures_201712_all.xlsx
2017-12-31,2017,12,januari 2017 - december 2017,Dec 2017,Dienstverlenende beroepen,Experts vastgoed,Vastgoedbemiddelaar verkoop en verhuur,12,vacatures_201712_all.xlsx
2017-12-31,2017,12,januari 2017 - december 2017,Dec 2017,Dienstverlenende beroepen,Experts vastgoed,Vastgoedpromotor,18,vacatures_201712_all.xlsx
2017-12-31,2017,12,januari 2017 - december 2017,Dec 2017,Dienstverlenende beroepen,Juridische dienstverleners,Juridisch medewerker,2,vacatures_201712_all.xlsx
2017-12-31,2017,12,januari 2017 - december 2017,Dec 2017,Dienstverlenende beroepen,Juridische dienstverleners,Jurist,2,vacatures_201712_all.xlsx
2017-12-31,2017,12,januari 2017 - december 2017,Dec 2017,Dienstverlenende beroepen,Medewerkers in finance,Accountmanager in de financiële sector,2,vacatures_201712_all.xlsx
2017-12-31,2017,12,januari 2017 - december 2017,Dec 2017,Dienstverlenende beroepen,Medewerkers in finance,Adviseur beleggingen,2,vacatures_201712_all.xlsx
2017-12-31,2017,12,januari 2017 - december 2017,Dec 2017,Dienstverlenende beroepen,Medewerkers in finance,Back-office medewerker in de financiële sector,1,vacatures_201712_all.xlsx
2017-12-31,2017,12,januari 2017 - december 2017,Dec 2017,Dienstverlenende beroepen,Medewerkers in finance,Beheerder verzekeringen,1,vacatures_201712_all.xlsx
2017-12-31,2017,12,januari 2017 - december 2017,Dec 2017,Dienstverlenende beroepen,Medewerkers in finance,Belastingadviseur,1,vacatures_201712_all.xlsx
2017-12-31,2017,12,januari 2017 - december 2017,Dec 2017,Dienstverlenende beroepen,Medewerkers in finance,Financieel analist,1,vacatures_201712_all.xlsx
2017-12-31,2017,12,januari 2017 - december 2017,Dec 2017,Dienstverlenende beroepen,Ordehandhavers en reddingswerkers,Bewakingsagent,1,vacatures_201712_all.xlsx
2017-12-31,2017,12,januari 2017 - december 2017,Dec 2017,Dienstverlenende beroepen,Persoonlijke dienstverleners,Animator,4,vacatures_201712_all.xlsx
2017-12-31,2017,12,januari 2017 - december 2017,Dec 2017,Dienstverlenende beroepen,Persoonlijke dienstverleners,Conciërge,2,vacatures_201712_all.xlsx
2017-12-31,2017,12,januari 2017 - december 2017,Dec 2017,Dienstverlenende beroepen,Persoonlijke dienstverleners,Schoonheidsspecialist,1,vacatures_201712_all.xlsx
2017-12-31,2017,12,januari 2017 - december 2017,Dec 2017,Dienstverlenende beroepen,Schoonmaak- en onderhoudspersoneel,Carwashmedewerker,3,vacatures_201712_all.xlsx
2017-12-31,2017,12,januari 2017 - december 2017,Dec 2017,Dienstverlenende beroepen,Schoonmaak- en onderhoudspersoneel,Huishoudhulp-poetshulp,12,vacatures_201712_all.xlsx
2017-12-31,2017,12,januari 2017 - december 2017,Dec 2017,Dienstverlenende beroepen,Schoonmaak- en onderhoudspersoneel,Industrieel reiniger,25,vacatures_201712_all.xlsx
2017-12-31,2017,12,januari 2017 - december 2017,Dec 2017,Dienstverlenende beroepen,Schoonmaak- en onderhoudspersoneel,Leidinggevende schoonmaak,0,vacatures_201712_all.xlsx
2017-12-31,2017,12,januari 2017 - december 2017,Dec 2017,Dienstverlenende beroepen,Schoonmaak- en onderhoudspersoneel,Onderhoudsmedewerker affichering en straatmeubilair,1,vacatures_201712_all.xlsx
2017-12-31,2017,12,januari 2017 - december 2017,Dec 2017,Dienstverlenende beroepen,Schoonmaak- en onderhoudspersoneel,Ruitenwasser,20,vacatures_201712_all.xlsx
2017-12-31,2017,12,januari 2017 - december 2017,Dec 2017,Dienstverlenende beroepen,Schoonmaak- en onderhoudspersoneel,Schoonmaker van ruimten en lokalen,73,vacatures_201712_all.xlsx
2017-12-31,2017,12,januari 2017 - december 2017,Dec 2017,Handels- en verkoopberoepen,Verkooppersoneel,Assistent winkelmanager,7,vacatures_201712_all.xlsx
