y,r,s,v
2020,4000,U,24
2020,4000,X,26
2021,2000,A,34351
2021,2000,B,67
2021,2000,C,41093
2021,2000,D,900
2021,2000,E,1396
2021,2000,F,112023
2021,2000,G,132501
2021,2000,H,20510
2021,2000,I,49254
2021,2000,J,41096
2021,2000,K,19024
2021,2000,L,38135
2021,2000,M,165156
2021,2000,N,50845
2021,2000,O,477
2021,2000,P,20226
2021,2000,Q,85459
2021,2000,R,38393
2021,2000,S,83686
2021,2000,T,512
2021,2000,U,2
2021,2000,X,127
2021,3000,A,22098
2021,3000,B,158
2021,3000,C,17539
2021,3000,D,376
2021,3000,E,795
2021,3000,F,44309
2021,3000,G,62662
2021,3000,H,6170
2021,3000,I,21962
2021,3000,J,15029
2021,3000,K,7437
2021,3000,L,15255
2021,3000,M,60862
2021,3000,N,22608
2021,3000,O,451
2021,3000,P,10703
2021,3000,Q,57082
2021,3000,R,15703
2021,3000,S,46106
2021,3000,T,141
2021,3000,U,2
2021,3000,X,58
2021,4000,A,435
2021,4000,B,13
2021,4000,C,3996
2021,4000,D,171
2021,4000,E,130
2021,4000,F,16491
2021,4000,G,21281
2021,4000,H,5737
2021,4000,I,10058
2021,4000,J,11331
2021,4000,K,4719
2021,4000,L,9235
2021,4000,M,39037
2021,4000,N,9096
2021,4000,O,435
2021,4000,P,4527
2021,4000,Q,17215
2021,4000,R,6984
2021,4000,S,22661
2021,4000,T,155
2021,4000,U,26
2021,4000,X,39
2022,2000,A,34478
2022,2000,B,73
2022,2000,C,41823
2022,2000,D,932
2022,2000,E,1447
2022,2000,F,117497
2022,2000,G,132322
2022,2000,H,21157
2022,2000,I,50182
2022,2000,J,43384
2022,2000,K,19020
2022,2000,L,38809
2022,2000,M,173020
2022,2000,N,53648
2022,2000,O,540
2022,2000,P,21155
2022,2000,Q,88905
2022,2000,R,40163
2022,2000,S,85186
2022,2000,T,547
2022,2000,U,3
2022,2000,X,239
2022,3000,A,22256
2022,3000,B,160
2022,3000,C,18009
2022,3000,D,376
2022,3000,E,805
2022,3000,F,45499
2022,3000,G,62479
2022,3000,H,6195
2022,3000,I,22410
2022,3000,J,15636
2022,3000,K,7420
2022,3000,L,15770
2022,3000,M,63628
2022,3000,N,23504
2022,3000,O,480
2022,3000,P,11129
2022,3000,Q,59709
2022,3000,R,16415
2022,3000,S,47056
2022,3000,T,139
2022,3000,U,3
2022,3000,X,137
2022,4000,A,416
2022,4000,B,11
