y,q,lvl,nis,type,n,p50,p25,p75,name
2010,1,3,90000,appartementen,99.0,113000.0,90000.0,150000.0,PROVINCIE NAMEN
2010,1,3,90000,huizen_23,422.0,135750.0,100000.0,175000.0,PROVINCIE NAMEN
2010,1,3,90000,huizen_4plus,443.0,180000.0,130000.0,239000.0,PROVINCIE NAMEN
2010,1,5,11001,alle_huizen,29.0,252000.0,225000.0,290000.0,AARTSELAAR
2010,1,5,11001,appartementen,9.0,,,,AARTSELAAR
2010,1,5,11001,huizen_23,25.0,247000.0,220000.0,265000.0,AARTSELAAR
2010,1,5,11001,huizen_4plus,4.0,,,,AARTSELAAR
2010,1,5,11002,alle_huizen,652.0,194000.0,150000.0,248000.0,ANTWERPEN
2010,1,5,11002,appartementen,913.0,127500.0,100000.0,160000.0,ANTWERPEN
2010,1,5,11002,huizen_23,638.0,190000.0,150000.0,241750.0,ANTWERPEN
2010,1,5,11002,huizen_4plus,14.0,,,,ANTWERPEN
2010,1,5,11004,alle_huizen,26.0,270000.0,211000.0,332000.0,BOECHOUT
2010,1,5,11004,appartementen,10.0,,,,BOECHOUT
2010,1,5,11004,huizen_23,22.0,254500.0,200000.0,305000.0,BOECHOUT
2010,1,5,11004,huizen_4plus,4.0,,,,BOECHOUT
2010,1,5,11005,alle_huizen,41.0,145000.0,105000.0,195000.0,BOOM
2010,1,5,11005,appartementen,20.0,110000.0,18000.0,126953.0,BOOM
2010,1,5,11005,huizen_23,41.0,145000.0,105000.0,195000.0,BOOM
2010,1,5,11005,huizen_4plus,0.0,,,,BOOM
2010,1,5,11008,alle_huizen,85.0,300000.0,240000.0,483000.0,BRASSCHAAT
2010,1,5,11008,appartementen,32.0,174000.0,149750.0,225000.0,BRASSCHAAT
2010,1,5,11008,huizen_23,47.0,259000.0,200000.0,300000.0,BRASSCHAAT
2010,1,5,11008,huizen_4plus,38.0,495000.0,375000.0,750000.0,BRASSCHAAT
2010,1,5,11009,alle_huizen,40.0,256000.0,208000.0,300000.0,BRECHT
2010,1,5,11009,appartementen,9.0,,,,BRECHT
2010,1,5,11009,huizen_23,7.0,,,,BRECHT
2010,1,5,11009,huizen_4plus,33.0,261500.0,222500.0,327500.0,BRECHT
2010,1,5,11013,alle_huizen,34.0,254500.0,230000.0,315000.0,EDEGEM
2010,1,5,11013,appartementen,35.0,149000.0,130000.0,165000.0,EDEGEM
2010,1,5,11013,huizen_23,32.0,254500.0,225000.0,300000.0,EDEGEM
2010,1,5,11013,huizen_4plus,2.0,,,,EDEGEM
2010,1,5,11016,alle_huizen,41.0,190000.0,140000.0,250000.0,ESSEN
2010,1,5,11016,appartementen,6.0,,,,ESSEN
2010,1,5,11016,huizen_23,22.0,172000.0,140000.0,225000.0,ESSEN
2010,1,5,11016,huizen_4plus,19.0,249000.0,140000.0,295000.0,ESSEN
2010,1,5,11018,alle_huizen,37.0,160000.0,130000.0,200000.0,HEMIKSEM
2010,1,5,11018,appartementen,8.0,,,,HEMIKSEM
2010,1,5,11018,huizen_23,37.0,160000.0,130000.0,200000.0,HEMIKSEM
2010,1,5,11018,huizen_4plus,0.0,,,,HEMIKSEM
2010,1,5,11021,alle_huizen,10.0,,,,HOVE
2010,1,5,11021,appartementen,1.0,,,,HOVE
2010,1,5,11021,huizen_23,6.0,,,,HOVE
2010,1,5,11021,huizen_4plus,4.0,,,,HOVE
2010,1,5,11022,alle_huizen,38.0,282500.0,257500.0,355000.0,KALMTHOUT
2010,1,5,11022,appartementen,4.0,,,,KALMTHOUT
2010,1,5,11022,huizen_23,14.0,,,,KALMTHOUT
2010,1,5,11022,huizen_4plus,24.0,329500.0,279500.0,361000.0,KALMTHOUT
2010,1,5,11023,alle_huizen,63.0,240000.0,175000.0,370000.0,KAPELLEN
2010,1,5,11023,appartementen,11.0,,,,KAPELLEN
2010,1,5,11023,huizen_23,44.0,207000.0,162250.0,273750.0,KAPELLEN
2010,1,5,11023,huizen_4plus,19.0,410000.0,400000.0,532500.0,KAPELLEN
2010,1,5,11024,alle_huizen,38.0,254500.0,185000.0,310000.0,KONTICH
2010,1,5,11024,appartementen,11.0,,,,KONTICH
2010,1,5,11024,huizen_23,33.0,240000.0,180000.0,285000.0,KONTICH
2010,1,5,11024,huizen_4plus,5.0,,,,KONTICH
2010,1,5,11025,alle_huizen,7.0,,,,LINT
2010,1,5,11025,appartementen,6.0,,,,LINT
2010,1,5,11025,huizen_23,6.0,,,,LINT
2010,1,5,11025,huizen_4plus,1.0,,,,LINT
2010,1,5,11029,alle_huizen,37.0,243000.0,210000.0,295000.0,MORTSEL
2010,1,5,11029,appartementen,25.0,139000.0,117500.0,170000.0,MORTSEL
2010,1,5,11029,huizen_23,36.0,241500.0,210000.0,292000.0,MORTSEL
2010,1,5,11029,huizen_4plus,1.0,,,,MORTSEL
2010,1,5,11030,alle_huizen,18.0,164500.0,135000.0,205000.0,NIEL
2010,1,5,11030,appartementen,7.0,,,,NIEL
2010,1,5,11030,huizen_23,18.0,164500.0,135000.0,205000.0,NIEL
2010,1,5,11030,huizen_4plus,0.0,,,,NIEL
2010,1,5,11035,alle_huizen,24.0,237500.0,200000.0,310000.0,RANST
2010,1,5,11035,appartementen,6.0,,,,RANST
2010,1,5,11035,huizen_23,13.0,,,,RANST
2010,1,5,11035,huizen_4plus,11.0,,,,RANST
2010,1,5,11037,alle_huizen,37.0,200000.0,160000.0,280000.0,RUMST
2010,1,5,11037,appartementen,4.0,,,,RUMST
2010,1,5,11037,huizen_23,31.0,185000.0,145000.0,230000.0,RUMST
2010,1,5,11037,huizen_4plus,6.0,,,,RUMST
2010,1,5,11038,alle_huizen,14.0,,,,SCHELLE
2010,1,5,11038,appartementen,7.0,,,,SCHELLE
2010,1,5,11038,huizen_23,11.0,,,,SCHELLE
2010,1,5,11038,huizen_4plus,3.0,,,,SCHELLE
2010,1,5,11039,alle_huizen,43.0,367500.0,299000.0,695000.0,SCHILDE
2010,1,5,11039,appartementen,4.0,,,,SCHILDE
2010,1,5,11039,huizen_23,10.0,,,,SCHILDE
2010,1,5,11039,huizen_4plus,33.0,460000.0,315000.0,723500.0,SCHILDE
2010,1,5,11040,alle_huizen,76.0,201500.0,165000.0,317500.0,SCHOTEN
2010,1,5,11040,appartementen,51.0,150000.0,115000.0,190000.0,SCHOTEN
2010,1,5,11040,huizen_23,59.0,189000.0,154000.0,225000.0,SCHOTEN
2010,1,5,11040,huizen_4plus,17.0,525000.0,405000.0,710000.0,SCHOTEN
2010,1,5,11044,alle_huizen,27.0,230000.0,175000.0,257500.0,STABROEK
2010,1,5,11044,appartementen,15.0,,,,STABROEK
2010,1,5,11044,huizen_23,25.0,230000.0,175000.0,242500.0,STABROEK
2010,1,5,11044,huizen_4plus,2.0,,,,STABROEK
2010,1,5,11050,alle_huizen,21.0,220000.0,168000.0,300000.0,WIJNEGEM
2010,1,5,11050,appartementen,3.0,,,,WIJNEGEM
2010,1,5,11050,huizen_23,16.0,187000.0,152000.0,294250.0,WIJNEGEM
2010,1,5,11050,huizen_4plus,5.0,,,,WIJNEGEM
2010,1,5,11052,alle_huizen,23.0,247500.0,175000.0,287500.0,WOMMELGEM
2010,1,5,11052,appartementen,4.0,,,,WOMMELGEM
2010,1,5,11052,huizen_23,16.0,191000.0,170000.0,252500.0,WOMMELGEM
2010,1,5,11052,huizen_4plus,7.0,,,,WOMMELGEM
2010,1,5,11053,alle_huizen,33.0,205000.0,140000.0,285000.0,WUUSTWEZEL
2010,1,5,11053,appartementen,8.0,,,,WUUSTWEZEL
2010,1,5,11053,huizen_23,11.0,,,,WUUSTWEZEL
2010,1,5,11053,huizen_4plus,22.0,207500.0,125000.0,330000.0,WUUSTWEZEL
