y,r,p,n1,fr,s1,s2,s3,s4,s5,r1,r2,r3,r4,r5
2008,2000,30000,G,1030,951,850.0,772.0,716.0,662.0,0.9233009709,0.8252427184,0.7495145631,0.6951456311,0.6427184466
2008,2000,30000,H,182,164,158.0,145.0,131.0,124.0,0.9010989011,0.8681318681,0.7967032967,0.7197802198,0.6813186813
2008,2000,30000,I,609,538,479.0,428.0,385.0,346.0,0.8834154351,0.7865353038,0.7027914614,0.632183908,0.5681444992
2008,2000,30000,J,455,367,294.0,257.0,232.0,213.0,0.8065934066,0.6461538462,0.5648351648,0.5098901099,0.4681318681
2008,2000,30000,K,41,39,34.0,29.0,25.0,25.0,0.9512195122,0.8292682927,0.7073170732,0.6097560976,0.6097560976
2008,2000,30000,L,163,157,145.0,139.0,131.0,121.0,0.963190184,0.8895705521,0.8527607362,0.8036809816,0.7423312883
2008,2000,30000,M,987,942,893.0,846.0,794.0,748.0,0.9544072948,0.9047619048,0.8571428571,0.8044579534,0.757852077
2008,2000,30000,N,425,391,370.0,349.0,323.0,306.0,0.92,0.8705882353,0.8211764706,0.76,0.72
2008,2000,30000,O,4,4,4.0,4.0,4.0,4.0,1.0,1.0,1.0,1.0,1.0
2008,2000,30000,P,115,110,99.0,93.0,88.0,81.0,0.9565217391,0.8608695652,0.8086956522,0.7652173913,0.7043478261
2008,2000,30000,Q,79,71,64.0,57.0,55.0,50.0,0.8987341772,0.8101265823,0.7215189873,0.6962025316,0.6329113924
2008,2000,30000,R,243,225,211.0,190.0,175.0,160.0,0.9259259259,0.8683127572,0.7818930041,0.7201646091,0.658436214
2008,2000,30000,S,412,373,340.0,312.0,290.0,267.0,0.9053398058,0.8252427184,0.7572815534,0.7038834951,0.6480582524
2008,2000,30000,T,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2008,2000,40000,A,239,228,222.0,212.0,205.0,192.0,0.9539748954,0.9288702929,0.8870292887,0.8577405858,0.8033472803
2008,2000,40000,C,383,354,331.0,307.0,279.0,261.0,0.9242819843,0.864229765,0.8015665796,0.72845953,0.681462141
2008,2000,40000,D,4,4,4.0,4.0,4.0,3.0,1.0,1.0,1.0,1.0,0.75
2008,2000,40000,E,14,12,11.0,11.0,10.0,10.0,0.8571428571,0.7857142857,0.7857142857,0.7142857143,0.7142857143
2008,2000,40000,F,1038,978,919.0,864.0,795.0,729.0,0.9421965318,0.8853564547,0.8323699422,0.7658959538,0.7023121387
2008,2000,40000,G,1050,928,840.0,763.0,692.0,633.0,0.8838095238,0.8,0.7266666667,0.659047619,0.6028571429
2008,2000,40000,H,196,177,163.0,145.0,131.0,120.0,0.9030612245,0.8316326531,0.7397959184,0.6683673469,0.612244898
2008,2000,40000,I,584,519,470.0,414.0,369.0,331.0,0.8886986301,0.8047945205,0.7089041096,0.6318493151,0.5667808219
2008,2000,40000,J,515,456,395.0,358.0,327.0,302.0,0.8854368932,0.7669902913,0.6951456311,0.6349514563,0.586407767
2008,2000,40000,K,42,40,34.0,33.0,31.0,28.0,0.9523809524,0.8095238095,0.7857142857,0.7380952381,0.6666666667
2008,2000,40000,L,144,131,119.0,109.0,102.0,94.0,0.9097222222,0.8263888889,0.7569444444,0.7083333333,0.6527777778
2008,2000,40000,M,1356,1272,1196.0,1145.0,1064.0,995.0,0.9380530973,0.8820058997,0.8443952802,0.784660767,0.7337758112
2008,2000,40000,N,510,454,416.0,383.0,348.0,319.0,0.8901960784,0.8156862745,0.7509803922,0.6823529412,0.6254901961
2008,2000,40000,O,11,10,9.0,9.0,8.0,8.0,0.9090909091,0.8181818182,0.8181818182,0.7272727273,0.7272727273
2008,2000,40000,P,120,108,95.0,86.0,81.0,76.0,0.9,0.7916666667,0.7166666667,0.675,0.6333333333
2008,2000,40000,Q,98,80,69.0,64.0,56.0,53.0,0.8163265306,0.7040816327,0.6530612245,0.5714285714,0.5408163265
2008,2000,40000,R,306,275,254.0,234.0,214.0,196.0,0.8986928105,0.8300653595,0.7647058824,0.6993464052,0.6405228758
2008,2000,40000,S,506,455,409.0,370.0,337.0,307.0,0.8992094862,0.8083003953,0.7312252964,0.6660079051,0.6067193676
2008,2000,70000,A,167,162,150.0,144.0,138.0,134.0,0.9700598802,0.8982035928,0.8622754491,0.8263473054,0.8023952096
2008,2000,70000,B,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2008,2000,70000,C,256,246,231.0,219.0,195.0,177.0,0.9609375,0.90234375,0.85546875,0.76171875,0.69140625
2008,2000,70000,E,8,8,7.0,7.0,7.0,6.0,1.0,0.875,0.875,0.875,0.75
