year,scheme_order,scheme_code,scheme_label_nl,dispersion_order,dispersion_code,dispersion_label_nl,ratio_order,ratio_code,ratio_label_nl,unit_measure,decimals,value_pu300,value_pu450,difference_pu300_minus_pu450,ratio_pu300_div_pu450
2009,1,C,Volledig,2,dispq2,Mediaan (Q2),8,R008C,8. Kosten van de schulden / Toegevoegde waarde (%),_Z,1,2.46,3.53,-1.0699999999999998,0.6968838526912181
2009,1,C,Volledig,2,dispq2,Mediaan (Q2),10,R009,"9. Nettorendabiliteit van het eigen vermogen, na belasting (%)",_Z,1,7.45,5.61,1.8399999999999999,1.3279857397504455
2009,1,C,Volledig,2,dispq2,Mediaan (Q2),11,R010,10. Cashflow / Eigen vermogen (%),_Z,1,17.93,14.37,3.5600000000000005,1.2477383437717466
2009,1,C,Volledig,2,dispq2,Mediaan (Q2),12,R011C,"11. Brutorendabiliteit van het totaal der activa, vóór belasting en kosten van schulden (%)",_Z,1,6.83,6.69,0.13999999999999968,1.0209267563527653
2009,1,C,Volledig,2,dispq2,Mediaan (Q2),14,R012C,"12. Nettorendabiliteit van het totaal der activa, vóór belasting en kosten van schulden (%)",_Z,1,3.7,3.54,0.16000000000000014,1.0451977401129944
2009,1,C,Volledig,2,dispq2,Mediaan (Q2),16,R013,13. Liquiditeit in ruime zin,_Z,1,1.31,1.33,-0.020000000000000018,0.9849624060150376
2009,1,C,Volledig,2,dispq2,Mediaan (Q2),17,R014,14. Liquiditeit in enge zin,_Z,1,1.05,1.12,-0.07000000000000006,0.9375
2009,1,C,Volledig,2,dispq2,Mediaan (Q2),18,R015,"15.1 Rotatie van de voorraad handelsgoederen, grond- en hulpstoffen (voor alle sectoren uitgezonderd de bouwnijverheid)",_Z,1,,7.57,,
2009,1,C,Volledig,2,dispq2,Mediaan (Q2),19,R016,"15.2 Rotatie van de voorraad handelsgoederen, grond- en hulpstoffen (enkel voor de sector van de bouwnijverheid)",_Z,1,33.03,33.03,0.0,1.0
2009,1,C,Volledig,2,dispq2,Mediaan (Q2),20,R017,16.1 Rotatie van de voorraad goederen in bewerking en gereed product (voor alle sectoren uitgezonderd de bouwnijverheid),_Z,1,,19.8,,
2009,1,C,Volledig,2,dispq2,Mediaan (Q2),21,R018,16.2 Rotatie van de voorraad goederen in bewerking en gereed product (enkel voor de sector van de bouwnijverheid),_Z,1,14.73,14.73,0.0,1.0
2009,1,C,Volledig,2,dispq2,Mediaan (Q2),22,R019,17. Aantal dagen klantenkrediet,_Z,1,66.98,53.93,13.050000000000004,1.241980344891526
2009,1,C,Volledig,2,dispq2,Mediaan (Q2),23,R020,18. Aantal dagen leverancierskrediet,_Z,1,76.2,59.64,16.560000000000002,1.2776659959758552
2009,1,C,Volledig,2,dispq2,Mediaan (Q2),24,R021,19. Financiële onafhankelijkheidsgraad (%),_Z,1,29.65,36.38,-6.730000000000004,0.8150082462891698
2009,1,C,Volledig,2,dispq2,Mediaan (Q2),25,R022,20. Aanschaffingen van materiële vaste activa / Toegevoegde waarde (%),_Z,1,6.34,5.72,0.6200000000000001,1.1083916083916083
2009,1,C,Volledig,2,dispq2,Mediaan (Q2),26,R023,21. Vernieuwingsgraad inzake materiële vaste activa (%),_Z,1,23.45,16.59,6.859999999999999,1.4135021097046414
2009,1,C,Volledig,3,dispnb,Aantal ondernemingen,2,R002,2. Nettoverkoopmarge (%),_Z,1,1303.0,18884.0,-17581.0,0.06900021181952976
2009,1,C,Volledig,3,dispnb,Aantal ondernemingen,3,R003,3. Toegevoegde waarde / Bedrijfsopbrengsten (%),_Z,1,1321.0,18923.0,-17602.0,0.06980922686677588
2009,1,C,Volledig,3,dispnb,Aantal ondernemingen,4,R004,4.Toegevoegde waarde per personeelslid (in EUR),EUR,1,946.0,14162.0,-13216.0,0.0667984747916961
2009,1,C,Volledig,3,dispnb,Aantal ondernemingen,5,R005,5. Toegevoegde waarde / Bruto materiële vaste activa (%),_Z,1,1174.0,16917.0,-15743.0,0.06939764733699828
2009,1,C,Volledig,3,dispnb,Aantal ondernemingen,6,R006,6. Personeelskosten / Toegevoegde waarde (%),_Z,1,951.0,14377.0,-13426.0,0.0661473186339292
2009,1,C,Volledig,3,dispnb,Aantal ondernemingen,7,R007,"7. Afschrijvingen, waardeverminderingen en voorzieningen voor risico's en kosten / Toegevoegde waarde (%)",_Z,1,1097.0,16116.0,-15019.0,0.06806899975179945
2009,1,C,Volledig,3,dispnb,Aantal ondernemingen,8,R008C,8. Kosten van de schulden / Toegevoegde waarde (%),_Z,1,1099.0,15176.0,-14077.0,0.0724169741697417
2009,1,C,Volledig,3,dispnb,Aantal ondernemingen,10,R009,"9. Nettorendabiliteit van het eigen vermogen, na belasting (%)",_Z,1,1276.0,18065.0,-16789.0,0.07063382230833103
2009,1,C,Volledig,3,dispnb,Aantal ondernemingen,11,R010,10. Cashflow / Eigen vermogen (%),_Z,1,1276.0,18066.0,-16790.0,0.07062991254289826
2009,1,C,Volledig,3,dispnb,Aantal ondernemingen,12,R011C,"11. Brutorendabiliteit van het totaal der activa, vóór belasting en kosten van schulden (%)",_Z,1,1417.0,20078.0,-18661.0,0.0705747584420759
2009,1,C,Volledig,3,dispnb,Aantal ondernemingen,14,R012C,"12. Nettorendabiliteit van het totaal der activa, vóór belasting en kosten van schulden (%)",_Z,1,1417.0,20078.0,-18661.0,0.0705747584420759
2009,1,C,Volledig,3,dispnb,Aantal ondernemingen,16,R013,13. Liquiditeit in ruime zin,_Z,1,1450.0,20757.0,-19307.0,0.06985595220889339
2009,1,C,Volledig,3,dispnb,Aantal ondernemingen,17,R014,14. Liquiditeit in enge zin,_Z,1,1440.0,20661.0,-19221.0,0.06969652969362568
2009,1,C,Volledig,3,dispnb,Aantal ondernemingen,18,R015,"15.1 Rotatie van de voorraad handelsgoederen, grond- en hulpstoffen (voor alle sectoren uitgezonderd de bouwnijverheid)",_Z,1,,7124.0,,
2009,1,C,Volledig,3,dispnb,Aantal ondernemingen,19,R016,"15.2 Rotatie van de voorraad handelsgoederen, grond- en hulpstoffen (enkel voor de sector van de bouwnijverheid)",_Z,1,661.0,661.0,0.0,1.0
2009,1,C,Volledig,3,dispnb,Aantal ondernemingen,20,R017,16.1 Rotatie van de voorraad goederen in bewerking en gereed product (voor alle sectoren uitgezonderd de bouwnijverheid),_Z,1,,2190.0,,
2009,1,C,Volledig,3,dispnb,Aantal ondernemingen,21,R018,16.2 Rotatie van de voorraad goederen in bewerking en gereed product (enkel voor de sector van de bouwnijverheid),_Z,1,620.0,620.0,0.0,1.0
2009,1,C,Volledig,3,dispnb,Aantal ondernemingen,22,R019,17. Aantal dagen klantenkrediet,_Z,1,1173.0,16796.0,-15623.0,0.06983805668016195
2009,1,C,Volledig,3,dispnb,Aantal ondernemingen,23,R020,18. Aantal dagen leverancierskrediet,_Z,1,1372.0,19243.0,-17871.0,0.07129865405602037
2009,1,C,Volledig,3,dispnb,Aantal ondernemingen,24,R021,19. Financiële onafhankelijkheidsgraad (%),_Z,1,1456.0,20874.0,-19418.0,0.06975184439973173
2009,1,C,Volledig,3,dispnb,Aantal ondernemingen,25,R022,20. Aanschaffingen van materiële vaste activa / Toegevoegde waarde (%),_Z,1,925.0,13210.0,-12285.0,0.0700227100681302
2009,1,C,Volledig,3,dispnb,Aantal ondernemingen,26,R023,21. Vernieuwingsgraad inzake materiële vaste activa (%),_Z,1,929.0,13182.0,-12253.0,0.07047489000151722
2009,2,A,Verkort,1,dispg,Gewogen gemiddelde,1,R001,1. Brutoverkoopmarge (%),_Z,1,10.12,10.85,-0.7300000000000004,0.9327188940092166
2009,2,A,Verkort,1,dispg,Gewogen gemiddelde,2,R002,2. Nettoverkoopmarge (%),_Z,1,5.06,5.21,-0.15000000000000036,0.9712092130518234
2009,2,A,Verkort,1,dispg,Gewogen gemiddelde,3,R003,3. Toegevoegde waarde / Bedrijfsopbrengsten (%),_Z,1,28.93,25.15,3.780000000000001,1.1502982107355866
2009,2,A,Verkort,1,dispg,Gewogen gemiddelde,4,R004,4.Toegevoegde waarde per personeelslid (in EUR),EUR,1,55421.64,60679.49,-5257.8499999999985,0.9133504582849988
2009,2,A,Verkort,1,dispg,Gewogen gemiddelde,5,R005,5. Toegevoegde waarde / Bruto materiële vaste activa (%),_Z,1,50.1,31.24,18.860000000000003,1.6037131882202307
2009,2,A,Verkort,1,dispg,Gewogen gemiddelde,6,R006,6. Personeelskosten / Toegevoegde waarde (%),_Z,1,67.03,62.05,4.980000000000004,1.0802578565672845
2009,2,A,Verkort,1,dispg,Gewogen gemiddelde,7,R007,"7. Afschrijvingen, waardeverminderingen en voorzieningen voor risico's en kosten / Toegevoegde waarde (%)",_Z,1,17.86,23.61,-5.75,0.7564591274883524
2009,2,A,Verkort,1,dispg,Gewogen gemiddelde,9,R008A,8. Financiële kosten / Toegevoegde waarde (%),_Z,1,8.13,12.25,-4.119999999999999,0.6636734693877552
2009,2,A,Verkort,1,dispg,Gewogen gemiddelde,10,R009,"9. Nettorendabiliteit van het eigen vermogen, na belasting (%)",_Z,1,8.64,6.35,2.290000000000001,1.3606299212598427
2009,2,A,Verkort,1,dispg,Gewogen gemiddelde,11,R010,10. Cashflow / Eigen vermogen (%),_Z,1,24.79,16.41,8.379999999999999,1.5106642291285801
2009,2,A,Verkort,1,dispg,Gewogen gemiddelde,13,R011A,"11. Brutorendabiliteit van het totaal der activa, vóór belasting en financiële kosten (%)",_Z,1,12.07,10.41,1.6600000000000001,1.159462055715658
2009,2,A,Verkort,1,dispg,Gewogen gemiddelde,15,R012A,"12. Nettorendabiliteit van het totaal der activa, vóór belasting en financiële kosten (%)",_Z,1,6.79,6.08,0.71,1.1167763157894737
2009,2,A,Verkort,1,dispg,Gewogen gemiddelde,16,R013,13. Liquiditeit in ruime zin,_Z,1,1.35,1.23,0.1200000000000001,1.0975609756097562
2009,2,A,Verkort,1,dispg,Gewogen gemiddelde,17,R014,14. Liquiditeit in enge zin,_Z,1,0.92,0.98,-0.05999999999999994,0.9387755102040817
2009,2,A,Verkort,1,dispg,Gewogen gemiddelde,22,R019,17. Aantal dagen klantenkrediet,_Z,1,65.92,50.26,15.660000000000004,1.3115797851173896
2009,2,A,Verkort,1,dispg,Gewogen gemiddelde,23,R020,18. Aantal dagen leverancierskrediet,_Z,1,68.66,63.15,5.509999999999998,1.0872525732383214
2009,2,A,Verkort,1,dispg,Gewogen gemiddelde,24,R021,19. Financiële onafhankelijkheidsgraad (%),_Z,1,32.2,43.01,-10.809999999999995,0.7486631016042782
2009,2,A,Verkort,1,dispg,Gewogen gemiddelde,25,R022,20. Aanschaffingen van materiële vaste activa / Toegevoegde waarde (%),_Z,1,28.74,38.46,-9.720000000000002,0.7472698907956318
2009,2,A,Verkort,1,dispg,Gewogen gemiddelde,26,R023,21. Vernieuwingsgraad inzake materiële vaste activa (%),_Z,1,28.5,20.43,8.07,1.395007342143906
2009,2,A,Verkort,2,dispq2,Mediaan (Q2),1,R001,1. Brutoverkoopmarge (%),_Z,1,9.8,11.39,-1.5899999999999999,0.8604038630377524
2009,2,A,Verkort,2,dispq2,Mediaan (Q2),2,R002,2. Nettoverkoopmarge (%),_Z,1,3.76,3.86,-0.10000000000000009,0.9740932642487047
2009,2,A,Verkort,2,dispq2,Mediaan (Q2),3,R003,3. Toegevoegde waarde / Bedrijfsopbrengsten (%),_Z,1,25.02,25.12,-0.10000000000000142,0.9960191082802548
2009,2,A,Verkort,2,dispq2,Mediaan (Q2),4,R004,4.Toegevoegde waarde per personeelslid (in EUR),EUR,1,53828.28,58241.72,-4413.440000000002,0.9242220181684194
2009,2,A,Verkort,2,dispq2,Mediaan (Q2),5,R005,5. Toegevoegde waarde / Bruto materiële vaste activa (%),_Z,1,46.0,28.64,17.36,1.606145251396648
2009,2,A,Verkort,2,dispq2,Mediaan (Q2),6,R006,6. Personeelskosten / Toegevoegde waarde (%),_Z,1,63.72,57.66,6.060000000000002,1.105098855359001
2009,2,A,Verkort,2,dispq2,Mediaan (Q2),7,R007,"7. Afschrijvingen, waardeverminderingen en voorzieningen voor risico's en kosten / Toegevoegde waarde (%)",_Z,1,23.29,28.3,-5.010000000000002,0.8229681978798586
2009,2,A,Verkort,2,dispq2,Mediaan (Q2),9,R008A,8. Financiële kosten / Toegevoegde waarde (%),_Z,1,5.16,7.09,-1.9299999999999997,0.7277856135401976
2009,2,A,Verkort,2,dispq2,Mediaan (Q2),10,R009,"9. Nettorendabiliteit van het eigen vermogen, na belasting (%)",_Z,1,8.7,7.49,1.209999999999999,1.1615487316421895
2009,2,A,Verkort,2,dispq2,Mediaan (Q2),11,R010,10. Cashflow / Eigen vermogen (%),_Z,1,31.55,25.99,5.560000000000002,1.213928434013082
2009,2,A,Verkort,2,dispq2,Mediaan (Q2),13,R011A,"11. Brutorendabiliteit van het totaal der activa, vóór belasting en financiële kosten (%)",_Z,1,14.64,12.2,2.4400000000000013,1.2000000000000002
2009,2,A,Verkort,2,dispq2,Mediaan (Q2),15,R012A,"12. Nettorendabiliteit van het totaal der activa, vóór belasting en financiële kosten (%)",_Z,1,5.96,5.15,0.8099999999999996,1.1572815533980583
2009,2,A,Verkort,2,dispq2,Mediaan (Q2),16,R013,13. Liquiditeit in ruime zin,_Z,1,1.42,1.27,0.1499999999999999,1.1181102362204725
2009,2,A,Verkort,2,dispq2,Mediaan (Q2),17,R014,14. Liquiditeit in enge zin,_Z,1,1.19,1.03,0.15999999999999992,1.1553398058252426
2009,2,A,Verkort,2,dispq2,Mediaan (Q2),22,R019,17. Aantal dagen klantenkrediet,_Z,1,49.82,43.65,6.170000000000002,1.1413516609392897
2009,2,A,Verkort,2,dispq2,Mediaan (Q2),23,R020,18. Aantal dagen leverancierskrediet,_Z,1,43.51,34.64,8.869999999999997,1.2560623556581985
2009,2,A,Verkort,2,dispq2,Mediaan (Q2),24,R021,19. Financiële onafhankelijkheidsgraad (%),_Z,1,33.24,32.61,0.6300000000000026,1.0193192272309108
2009,2,A,Verkort,2,dispq2,Mediaan (Q2),25,R022,20. Aanschaffingen van materiële vaste activa / Toegevoegde waarde (%),_Z,1,18.54,17.52,1.0199999999999996,1.0582191780821917
2009,2,A,Verkort,2,dispq2,Mediaan (Q2),26,R023,21. Vernieuwingsgraad inzake materiële vaste activa (%),_Z,1,25.16,17.4,7.760000000000002,1.445977011494253
2009,2,A,Verkort,3,dispnb,Aantal ondernemingen,1,R001,1. Brutoverkoopmarge (%),_Z,1,6909.0,51203.0,-44294.0,0.13493349999023493
2009,2,A,Verkort,3,dispnb,Aantal ondernemingen,2,R002,2. Nettoverkoopmarge (%),_Z,1,6909.0,51203.0,-44294.0,0.13493349999023493
2009,2,A,Verkort,3,dispnb,Aantal ondernemingen,3,R003,3. Toegevoegde waarde / Bedrijfsopbrengsten (%),_Z,1,7056.0,52810.0,-45754.0,0.1336110585116455
2009,2,A,Verkort,3,dispnb,Aantal ondernemingen,4,R004,4.Toegevoegde waarde per personeelslid (in EUR),EUR,1,18945.0,119403.0,-100458.0,0.1586643551669556
2009,2,A,Verkort,3,dispnb,Aantal ondernemingen,5,R005,5. Toegevoegde waarde / Bruto materiële vaste activa (%),_Z,1,34707.0,285186.0,-250479.0,0.12169952241694894
2009,2,A,Verkort,3,dispnb,Aantal ondernemingen,6,R006,6. Personeelskosten / Toegevoegde waarde (%),_Z,1,21480.0,133669.0,-112189.0,0.16069544920662232
2009,2,A,Verkort,3,dispnb,Aantal ondernemingen,7,R007,"7. Afschrijvingen, waardeverminderingen en voorzieningen voor risico's en kosten / Toegevoegde waarde (%)",_Z,1,33660.0,262734.0,-229074.0,0.12811436662175432
2009,2,A,Verkort,3,dispnb,Aantal ondernemingen,9,R008A,8. Financiële kosten / Toegevoegde waarde (%),_Z,1,34586.0,272983.0,-238397.0,0.1266965342164164
2009,2,A,Verkort,3,dispnb,Aantal ondernemingen,10,R009,"9. Nettorendabiliteit van het eigen vermogen, na belasting (%)",_Z,1,32230.0,254512.0,-222282.0,0.12663450053435593
2009,2,A,Verkort,3,dispnb,Aantal ondernemingen,11,R010,10. Cashflow / Eigen vermogen (%),_Z,1,32229.0,254513.0,-222284.0,0.12663007390585157
2009,2,A,Verkort,3,dispnb,Aantal ondernemingen,13,R011A,"11. Brutorendabiliteit van het totaal der activa, vóór belasting en financiële kosten (%)",_Z,1,36486.0,304512.0,-268026.0,0.11981793820933165
2009,2,A,Verkort,3,dispnb,Aantal ondernemingen,15,R012A,"12. Nettorendabiliteit van het totaal der activa, vóór belasting en financiële kosten (%)",_Z,1,36486.0,304507.0,-268021.0,0.11981990561793325
2009,2,A,Verkort,3,dispnb,Aantal ondernemingen,16,R013,13. Liquiditeit in ruime zin,_Z,1,38919.0,319080.0,-280161.0,0.12197254606995112
