year,ratio_code,ratio_label_nl,sector_code,sector_label_nl,sector_short_label,value
2014,R001,1. Brutoverkoopmarge (%),PU300,PU300 : Bouwnijverheid,Bouwnijverheid,7.81
2015,R001,1. Brutoverkoopmarge (%),PU300,PU300 : Bouwnijverheid,Bouwnijverheid,8.17
2016,R001,1. Brutoverkoopmarge (%),PU300,PU300 : Bouwnijverheid,Bouwnijverheid,7.07
2017,R001,1. Brutoverkoopmarge (%),PU300,PU300 : Bouwnijverheid,Bouwnijverheid,6.77
2018,R001,1. Brutoverkoopmarge (%),PU300,PU300 : Bouwnijverheid,Bouwnijverheid,6.79
2019,R001,1. Brutoverkoopmarge (%),PU300,PU300 : Bouwnijverheid,Bouwnijverheid,6.32
2020,R001,1. Brutoverkoopmarge (%),PU300,PU300 : Bouwnijverheid,Bouwnijverheid,6.46
2021,R001,1. Brutoverkoopmarge (%),PU300,PU300 : Bouwnijverheid,Bouwnijverheid,10.17
2022,R001,1. Brutoverkoopmarge (%),PU300,PU300 : Bouwnijverheid,Bouwnijverheid,7.25
2009,R001,1. Brutoverkoopmarge (%),PU310,PU310 : Handel en reparatie van auto's en consumptieartikelen,Handel en reparatie,3.06
2010,R001,1. Brutoverkoopmarge (%),PU310,PU310 : Handel en reparatie van auto's en consumptieartikelen,Handel en reparatie,3.66
2011,R001,1. Brutoverkoopmarge (%),PU310,PU310 : Handel en reparatie van auto's en consumptieartikelen,Handel en reparatie,3.3
2012,R001,1. Brutoverkoopmarge (%),PU310,PU310 : Handel en reparatie van auto's en consumptieartikelen,Handel en reparatie,3.08
2013,R001,1. Brutoverkoopmarge (%),PU310,PU310 : Handel en reparatie van auto's en consumptieartikelen,Handel en reparatie,3.23
2014,R001,1. Brutoverkoopmarge (%),PU310,PU310 : Handel en reparatie van auto's en consumptieartikelen,Handel en reparatie,3.08
2015,R001,1. Brutoverkoopmarge (%),PU310,PU310 : Handel en reparatie van auto's en consumptieartikelen,Handel en reparatie,3.48
2016,R001,1. Brutoverkoopmarge (%),PU310,PU310 : Handel en reparatie van auto's en consumptieartikelen,Handel en reparatie,3.79
2017,R001,1. Brutoverkoopmarge (%),PU310,PU310 : Handel en reparatie van auto's en consumptieartikelen,Handel en reparatie,3.72
2018,R001,1. Brutoverkoopmarge (%),PU310,PU310 : Handel en reparatie van auto's en consumptieartikelen,Handel en reparatie,3.25
2019,R001,1. Brutoverkoopmarge (%),PU310,PU310 : Handel en reparatie van auto's en consumptieartikelen,Handel en reparatie,3.5
2020,R001,1. Brutoverkoopmarge (%),PU310,PU310 : Handel en reparatie van auto's en consumptieartikelen,Handel en reparatie,3.32
2021,R001,1. Brutoverkoopmarge (%),PU310,PU310 : Handel en reparatie van auto's en consumptieartikelen,Handel en reparatie,3.93
2022,R001,1. Brutoverkoopmarge (%),PU310,PU310 : Handel en reparatie van auto's en consumptieartikelen,Handel en reparatie,4.72
2009,R001,1. Brutoverkoopmarge (%),PU320,"PU320 : Verblijfsaccommodaties, restaurants en cafés",Horeca,8.58
2010,R001,1. Brutoverkoopmarge (%),PU320,"PU320 : Verblijfsaccommodaties, restaurants en cafés",Horeca,9.57
2011,R001,1. Brutoverkoopmarge (%),PU320,"PU320 : Verblijfsaccommodaties, restaurants en cafés",Horeca,9.56
2012,R001,1. Brutoverkoopmarge (%),PU320,"PU320 : Verblijfsaccommodaties, restaurants en cafés",Horeca,8.34
2013,R001,1. Brutoverkoopmarge (%),PU320,"PU320 : Verblijfsaccommodaties, restaurants en cafés",Horeca,8.42
2014,R001,1. Brutoverkoopmarge (%),PU320,"PU320 : Verblijfsaccommodaties, restaurants en cafés",Horeca,8.89
2015,R001,1. Brutoverkoopmarge (%),PU320,"PU320 : Verblijfsaccommodaties, restaurants en cafés",Horeca,9.95
2016,R001,1. Brutoverkoopmarge (%),PU320,"PU320 : Verblijfsaccommodaties, restaurants en cafés",Horeca,9.32
2017,R001,1. Brutoverkoopmarge (%),PU320,"PU320 : Verblijfsaccommodaties, restaurants en cafés",Horeca,9.47
2018,R001,1. Brutoverkoopmarge (%),PU320,"PU320 : Verblijfsaccommodaties, restaurants en cafés",Horeca,10.24
2019,R001,1. Brutoverkoopmarge (%),PU320,"PU320 : Verblijfsaccommodaties, restaurants en cafés",Horeca,11.22
2020,R001,1. Brutoverkoopmarge (%),PU320,"PU320 : Verblijfsaccommodaties, restaurants en cafés",Horeca,-7.1
2021,R001,1. Brutoverkoopmarge (%),PU320,"PU320 : Verblijfsaccommodaties, restaurants en cafés",Horeca,-3.32
2022,R001,1. Brutoverkoopmarge (%),PU320,"PU320 : Verblijfsaccommodaties, restaurants en cafés",Horeca,7.51
2009,R001,1. Brutoverkoopmarge (%),PU330,PU330 : Vervoer en telecommunicatie,Vervoer en telecom,13.26
2010,R001,1. Brutoverkoopmarge (%),PU330,PU330 : Vervoer en telecommunicatie,Vervoer en telecom,14.25
2011,R001,1. Brutoverkoopmarge (%),PU330,PU330 : Vervoer en telecommunicatie,Vervoer en telecom,13.47
2012,R001,1. Brutoverkoopmarge (%),PU330,PU330 : Vervoer en telecommunicatie,Vervoer en telecom,13.54
2013,R001,1. Brutoverkoopmarge (%),PU330,PU330 : Vervoer en telecommunicatie,Vervoer en telecom,12.24
2014,R001,1. Brutoverkoopmarge (%),PU330,PU330 : Vervoer en telecommunicatie,Vervoer en telecom,11.37
2015,R001,1. Brutoverkoopmarge (%),PU330,PU330 : Vervoer en telecommunicatie,Vervoer en telecom,12.59
2016,R001,1. Brutoverkoopmarge (%),PU330,PU330 : Vervoer en telecommunicatie,Vervoer en telecom,13.63
2017,R001,1. Brutoverkoopmarge (%),PU330,PU330 : Vervoer en telecommunicatie,Vervoer en telecom,13.18
2018,R001,1. Brutoverkoopmarge (%),PU330,PU330 : Vervoer en telecommunicatie,Vervoer en telecom,13.57
2019,R001,1. Brutoverkoopmarge (%),PU330,PU330 : Vervoer en telecommunicatie,Vervoer en telecom,13.55
2020,R001,1. Brutoverkoopmarge (%),PU330,PU330 : Vervoer en telecommunicatie,Vervoer en telecom,7.83
2021,R001,1. Brutoverkoopmarge (%),PU330,PU330 : Vervoer en telecommunicatie,Vervoer en telecom,10.01
2022,R001,1. Brutoverkoopmarge (%),PU330,PU330 : Vervoer en telecommunicatie,Vervoer en telecom,9.28
2009,R001,1. Brutoverkoopmarge (%),PU340,PU340 : Diensten aan ondernemingen en particulieren,Diensten,16.26
2010,R001,1. Brutoverkoopmarge (%),PU340,PU340 : Diensten aan ondernemingen en particulieren,Diensten,16.06
