year,ratio_code,ratio_label_nl,sector_code,sector_label_nl,sector_short_label,value
2014,R001,1. Brutoverkoopmarge (%),DE4531,DE4531 : Elektrische installatie,Elektrische installatie,7.37
2015,R001,1. Brutoverkoopmarge (%),DE4531,DE4531 : Elektrische installatie,Elektrische installatie,7.58
2016,R001,1. Brutoverkoopmarge (%),DE4531,DE4531 : Elektrische installatie,Elektrische installatie,6.71
2017,R001,1. Brutoverkoopmarge (%),DE4531,DE4531 : Elektrische installatie,Elektrische installatie,6.3
2018,R001,1. Brutoverkoopmarge (%),DE4531,DE4531 : Elektrische installatie,Elektrische installatie,6.05
2019,R001,1. Brutoverkoopmarge (%),DE4531,DE4531 : Elektrische installatie,Elektrische installatie,6.97
2020,R001,1. Brutoverkoopmarge (%),DE4531,DE4531 : Elektrische installatie,Elektrische installatie,6.83
2021,R001,1. Brutoverkoopmarge (%),DE4531,DE4531 : Elektrische installatie,Elektrische installatie,6.63
2022,R001,1. Brutoverkoopmarge (%),DE4531,DE4531 : Elektrische installatie,Elektrische installatie,6.74
2009,R001,1. Brutoverkoopmarge (%),DE4533,DE4533 : Loodgieterswerk,Loodgieterswerk,4.56
2010,R001,1. Brutoverkoopmarge (%),DE4533,DE4533 : Loodgieterswerk,Loodgieterswerk,5.42
2011,R001,1. Brutoverkoopmarge (%),DE4533,DE4533 : Loodgieterswerk,Loodgieterswerk,5.73
2012,R001,1. Brutoverkoopmarge (%),DE4533,DE4533 : Loodgieterswerk,Loodgieterswerk,5.26
2013,R001,1. Brutoverkoopmarge (%),DE4533,DE4533 : Loodgieterswerk,Loodgieterswerk,5.99
2014,R001,1. Brutoverkoopmarge (%),DE4533,DE4533 : Loodgieterswerk,Loodgieterswerk,5.8
2015,R001,1. Brutoverkoopmarge (%),DE4533,DE4533 : Loodgieterswerk,Loodgieterswerk,4.27
2016,R001,1. Brutoverkoopmarge (%),DE4533,DE4533 : Loodgieterswerk,Loodgieterswerk,5.03
2017,R001,1. Brutoverkoopmarge (%),DE4533,DE4533 : Loodgieterswerk,Loodgieterswerk,4.93
2018,R001,1. Brutoverkoopmarge (%),DE4533,DE4533 : Loodgieterswerk,Loodgieterswerk,4.83
2019,R001,1. Brutoverkoopmarge (%),DE4533,DE4533 : Loodgieterswerk,Loodgieterswerk,4.15
2020,R001,1. Brutoverkoopmarge (%),DE4533,DE4533 : Loodgieterswerk,Loodgieterswerk,4.01
2021,R001,1. Brutoverkoopmarge (%),DE4533,DE4533 : Loodgieterswerk,Loodgieterswerk,4.53
2022,R001,1. Brutoverkoopmarge (%),DE4533,DE4533 : Loodgieterswerk,Loodgieterswerk,4.09
2009,R001,1. Brutoverkoopmarge (%),DE4542,DE4542 : Schrijnwerk,Schrijnwerk,7.81
2010,R001,1. Brutoverkoopmarge (%),DE4542,DE4542 : Schrijnwerk,Schrijnwerk,7.5
2011,R001,1. Brutoverkoopmarge (%),DE4542,DE4542 : Schrijnwerk,Schrijnwerk,7.15
2012,R001,1. Brutoverkoopmarge (%),DE4542,DE4542 : Schrijnwerk,Schrijnwerk,6.54
2013,R001,1. Brutoverkoopmarge (%),DE4542,DE4542 : Schrijnwerk,Schrijnwerk,6.16
2014,R001,1. Brutoverkoopmarge (%),DE4542,DE4542 : Schrijnwerk,Schrijnwerk,5.46
2015,R001,1. Brutoverkoopmarge (%),DE4542,DE4542 : Schrijnwerk,Schrijnwerk,5.49
2016,R001,1. Brutoverkoopmarge (%),DE4542,DE4542 : Schrijnwerk,Schrijnwerk,6.28
2017,R001,1. Brutoverkoopmarge (%),DE4542,DE4542 : Schrijnwerk,Schrijnwerk,6.33
2018,R001,1. Brutoverkoopmarge (%),DE4542,DE4542 : Schrijnwerk,Schrijnwerk,5.69
2019,R001,1. Brutoverkoopmarge (%),DE4542,DE4542 : Schrijnwerk,Schrijnwerk,5.89
2020,R001,1. Brutoverkoopmarge (%),DE4542,DE4542 : Schrijnwerk,Schrijnwerk,6.46
2021,R001,1. Brutoverkoopmarge (%),DE4542,DE4542 : Schrijnwerk,Schrijnwerk,6.97
2022,R001,1. Brutoverkoopmarge (%),DE4542,DE4542 : Schrijnwerk,Schrijnwerk,6.9
2011,R001,1. Brutoverkoopmarge (%),DE4543,DE4543 : Vloerafwerking en wandbekleding,Vloer- en wandafwerking,6.48
2012,R001,1. Brutoverkoopmarge (%),DE4543,DE4543 : Vloerafwerking en wandbekleding,Vloer- en wandafwerking,6.62
2013,R001,1. Brutoverkoopmarge (%),DE4543,DE4543 : Vloerafwerking en wandbekleding,Vloer- en wandafwerking,7.11
2014,R001,1. Brutoverkoopmarge (%),DE4543,DE4543 : Vloerafwerking en wandbekleding,Vloer- en wandafwerking,6.97
2015,R001,1. Brutoverkoopmarge (%),DE4543,DE4543 : Vloerafwerking en wandbekleding,Vloer- en wandafwerking,7.27
2016,R001,1. Brutoverkoopmarge (%),DE4543,DE4543 : Vloerafwerking en wandbekleding,Vloer- en wandafwerking,8.02
2017,R001,1. Brutoverkoopmarge (%),DE4543,DE4543 : Vloerafwerking en wandbekleding,Vloer- en wandafwerking,6.96
2018,R001,1. Brutoverkoopmarge (%),DE4543,DE4543 : Vloerafwerking en wandbekleding,Vloer- en wandafwerking,7.01
2019,R001,1. Brutoverkoopmarge (%),DE4543,DE4543 : Vloerafwerking en wandbekleding,Vloer- en wandafwerking,7.09
2020,R001,1. Brutoverkoopmarge (%),DE4543,DE4543 : Vloerafwerking en wandbekleding,Vloer- en wandafwerking,10.44
2021,R001,1. Brutoverkoopmarge (%),DE4543,DE4543 : Vloerafwerking en wandbekleding,Vloer- en wandafwerking,9.27
2022,R001,1. Brutoverkoopmarge (%),DE4543,DE4543 : Vloerafwerking en wandbekleding,Vloer- en wandafwerking,0.0
2009,R001,1. Brutoverkoopmarge (%),DE4544,DE4544 : Schilderen en glaszetten,Schilderen en glaszetten,10.48
2010,R001,1. Brutoverkoopmarge (%),DE4544,DE4544 : Schilderen en glaszetten,Schilderen en glaszetten,9.15
2011,R001,1. Brutoverkoopmarge (%),DE4544,DE4544 : Schilderen en glaszetten,Schilderen en glaszetten,8.78
2012,R001,1. Brutoverkoopmarge (%),DE4544,DE4544 : Schilderen en glaszetten,Schilderen en glaszetten,7.56
2013,R001,1. Brutoverkoopmarge (%),DE4544,DE4544 : Schilderen en glaszetten,Schilderen en glaszetten,7.78
2014,R001,1. Brutoverkoopmarge (%),DE4544,DE4544 : Schilderen en glaszetten,Schilderen en glaszetten,6.86
2015,R001,1. Brutoverkoopmarge (%),DE4544,DE4544 : Schilderen en glaszetten,Schilderen en glaszetten,7.18
2016,R001,1. Brutoverkoopmarge (%),DE4544,DE4544 : Schilderen en glaszetten,Schilderen en glaszetten,7.56
2017,R001,1. Brutoverkoopmarge (%),DE4544,DE4544 : Schilderen en glaszetten,Schilderen en glaszetten,5.73
2018,R001,1. Brutoverkoopmarge (%),DE4544,DE4544 : Schilderen en glaszetten,Schilderen en glaszetten,6.5
2019,R001,1. Brutoverkoopmarge (%),DE4544,DE4544 : Schilderen en glaszetten,Schilderen en glaszetten,6.03
2020,R001,1. Brutoverkoopmarge (%),DE4544,DE4544 : Schilderen en glaszetten,Schilderen en glaszetten,7.98
2021,R001,1. Brutoverkoopmarge (%),DE4544,DE4544 : Schilderen en glaszetten,Schilderen en glaszetten,7.79
2022,R001,1. Brutoverkoopmarge (%),DE4544,DE4544 : Schilderen en glaszetten,Schilderen en glaszetten,8.11
2009,R002,2. Nettoverkoopmarge (%),DE4521,DE4521 : Burgerlijke en utiliteitsbouw; constructie van bruggen en tunnels; civieltechnische werken ten behoeve van nutsbedirjven,Burgerlijke en utiliteitsbouw,3.7
2010,R002,2. Nettoverkoopmarge (%),DE4521,DE4521 : Burgerlijke en utiliteitsbouw; constructie van bruggen en tunnels; civieltechnische werken ten behoeve van nutsbedirjven,Burgerlijke en utiliteitsbouw,4.13
2011,R002,2. Nettoverkoopmarge (%),DE4521,DE4521 : Burgerlijke en utiliteitsbouw; constructie van bruggen en tunnels; civieltechnische werken ten behoeve van nutsbedirjven,Burgerlijke en utiliteitsbouw,3.14
2012,R002,2. Nettoverkoopmarge (%),DE4521,DE4521 : Burgerlijke en utiliteitsbouw; constructie van bruggen en tunnels; civieltechnische werken ten behoeve van nutsbedirjven,Burgerlijke en utiliteitsbouw,3.18
2013,R002,2. Nettoverkoopmarge (%),DE4521,DE4521 : Burgerlijke en utiliteitsbouw; constructie van bruggen en tunnels; civieltechnische werken ten behoeve van nutsbedirjven,Burgerlijke en utiliteitsbouw,3.44
2014,R002,2. Nettoverkoopmarge (%),DE4521,DE4521 : Burgerlijke en utiliteitsbouw; constructie van bruggen en tunnels; civieltechnische werken ten behoeve van nutsbedirjven,Burgerlijke en utiliteitsbouw,3.9
2015,R002,2. Nettoverkoopmarge (%),DE4521,DE4521 : Burgerlijke en utiliteitsbouw; constructie van bruggen en tunnels; civieltechnische werken ten behoeve van nutsbedirjven,Burgerlijke en utiliteitsbouw,4.18
2016,R002,2. Nettoverkoopmarge (%),DE4521,DE4521 : Burgerlijke en utiliteitsbouw; constructie van bruggen en tunnels; civieltechnische werken ten behoeve van nutsbedirjven,Burgerlijke en utiliteitsbouw,3.66
2017,R002,2. Nettoverkoopmarge (%),DE4521,DE4521 : Burgerlijke en utiliteitsbouw; constructie van bruggen en tunnels; civieltechnische werken ten behoeve van nutsbedirjven,Burgerlijke en utiliteitsbouw,3.06
