nis_code,latitude,longitude,muni
11001,51.13167894237645,4.382431418360815,11001
11002,51.259134962424476,4.37196404772365,11002
11004,51.165869574840265,4.516807313886924,11004
11005,51.09345947606569,4.372829497330653,11005
11007,51.19146438888714,4.487428175196391,11007
11008,51.30944425741178,4.500379583120882,11008
11009,51.33589430020707,4.628641070459341,11009
11013,51.156356711281084,4.432584492548688,11013
11016,51.44963382237295,4.46639057071692,11016
11018,51.143746264804726,4.340238650728453,11018
11021,51.14758134953438,4.482590245119468,11021
11022,51.3988258308855,4.468572092523133,11022
11023,51.33405660569916,4.443824004721994,11023
11024,51.123938645057265,4.444772730623093,11024
11025,51.12768025648352,4.498000495649647,11025
11029,51.17457281682213,4.460879663960708,11029
11030,51.10715578868953,4.335841542811003,11030
11035,51.192904829620794,4.590864908371678,11035
11037,51.093767701439354,4.421031627268131,11037
11038,51.12266329351852,4.342228764288849,11038
11039,51.25605158909732,4.581384214874654,11039
11040,51.26445690524086,4.508409278819119,11040
11044,51.328511580887664,4.377921316238559,11044
11050,51.229649603101535,4.517145291364127,11050
11052,51.20650281264452,4.518280596416733,11052
11053,51.393804848077906,4.600358854678976,11053
11054,51.21101212824236,4.679721969805283,11054
11055,51.257555181013515,4.669411531720727,11055
11056,51.22436514550272,4.323618713675996,11056
11057,51.293228267642554,4.713747748371988,11057
12002,51.10692471196026,4.65598293771666,12002
12005,51.02060905117773,4.570976563266582,12005
12007,51.09533062097741,4.2431744812949095,12007
12009,51.095625877173816,4.513836831435083,12009
12014,51.07156259162034,4.736174282502843,12014
12021,51.11840906023875,4.573741411183951,12021
12025,51.02840623600996,4.450209836136635,12025
12026,51.15065947073522,4.663592260474591,12026
12029,51.05055349872979,4.636192681684741,12029
12035,51.062205045099056,4.53594036306805,12035
12040,51.05410930908081,4.368214047740594,12040
12041,51.06124987018252,4.281880145168399,12041
13001,51.334627691214635,5.0854235894488795,13001
13002,51.41638771974566,4.904168265498,13002
13003,51.158553883549196,5.182899083046307,13003
13004,51.31441654376192,4.823308642285075,13004
13006,51.24160698797812,5.12232912306961,13006
13008,51.166188348148125,4.984604794285867,13008
13010,51.17959045834646,4.7389021856522415,13010
13011,51.164298244678626,4.8274513396123435,13011
13012,51.1391441539207,4.760016559550363,13012
13013,51.04731613764278,4.883072839112899,13013
13014,51.440081006870486,4.7640116788447155,13014
13016,51.06268644530252,4.812610610407141,13016
13017,51.243172820799366,4.9416199748209,13017
13019,51.25579510790577,4.833645469870992,13019
13021,51.12458071305602,5.073752264364183,13021
13023,51.3704321672026,4.870285100675263,13023
13025,51.23378050784577,5.152500519094363,13025
13029,51.16344754022974,4.885264560158744,13029
13031,51.32088211366415,5.004565463291655,13031
13035,51.41489529270724,5.0259830448061145,13035
13036,51.267222343551914,5.077107114868023,13036
24133,50.82116640412933,5.041870340505651,24133
24134,50.998267648694835,4.968361549669917,24134
24135,50.923289603955666,4.896320567795618,24135
24137,50.86710926221912,4.949760739668661,24137
25005,50.7757974039514,4.764112095371448,25005
25014,50.673132594925164,4.35472203815227,25014
25015,50.679569466865644,4.28413637698571,25015
25018,50.686728592646816,4.6908119501413035,25018
25023,50.626504524938866,4.562347727832182,25023
25031,50.61026844409595,4.456104772014278,25031
25037,50.74832958707831,4.688132646886763,25037
25043,50.69933219606038,4.781462315390672,25043
25044,50.64234849058311,4.257594074361079,25044
25048,50.728334787240115,4.860214370031469,25048
25050,50.73648774422823,4.464887587901435,25050
25068,50.637314040776054,4.623329518393972,25068
25072,50.596800212381304,4.332272936257564,25072
25084,50.6342482254747,4.789542659664711,25084
25091,50.72091139409347,4.526098278809163,25091
25105,50.68974115837327,4.190852922270159,25105
25107,50.56232366849575,4.526848994676221,25107
25110,50.7099513937375,4.403528342103422,25110
25112,50.71590748339918,4.593558167715079,25112
25117,50.589786007973856,4.62337700083094,25117
25118,50.74815712095466,4.9822681444341805,25118
25119,50.682587248140045,4.461782692593643,25119
25120,50.689770839059136,4.963234628127151,25120
25121,50.67053450598533,4.5643535965352875,25121
25122,50.65644893338078,4.885717848028563,25122
25123,50.67165996490955,4.130153765263747,25123
25124,50.630888686472936,4.697363818177835,25124
31003,51.15053829734084,3.3367414759685405,31003
31004,51.300467120161954,3.1403351621315654,31004
31005,51.247298720774175,3.214631594297736,31005
31006,51.25218938453498,3.327257001522821,31006
31012,51.18835879391104,3.0961534248084157,31012
31022,51.11927107453297,3.2300435335106,31022
31033,51.062225752757534,3.095589430152431,31033
31040,51.126649548482796,3.1342235595567507,31040
31042,51.25390393541312,3.1311186445545576,31042
31043,51.330999254227606,3.3104993499192465,31043
32003,51.04724564016431,2.8543978955477955,32003
32006,50.96982911104602,2.8967979314772303,32006
32010,51.08924117395624,2.9638720570888855,32010
32011,51.024703598425866,3.00174189823362,32011
32030,50.960639071182,2.775298667995056,32030
33011,50.8543953460157,2.8662142797864067,33011
33016,50.75975300254631,2.898000780001527,33016
33021,50.861028622570366,2.6914555862804055,33021
33029,50.810071242626336,3.0565815757267485,33029
33037,50.866410152517545,3.0036530722773023,33037
33039,50.775425303550634,2.830303630868815,33039
33040,50.91598082178865,2.9294734673432905,33040
33041,50.913272957783605,2.7409080888110657,33041
34002,50.83070493080491,3.4537741846465684,34002
34003,50.77797627681508,3.4541274077753092,34003
34009,50.84227859032587,3.3661193188330354,34009
34013,50.863555864582736,3.307425821871336,34013
34022,50.79977518140439,3.264725513216196,34022
34023,50.859865047623344,3.2720024840769275,34023
34025,50.885845120934746,3.2326127254483956,34025
34027,50.79239610597424,3.1544633596262073,34027
