nis_code,dist_region_border_m,dist_region_border_centroid_m,dist_region_border_km,dist_region_border_centroid_km
11001,21992.920822519685,24300.203856870645,21.992920822519686,24.300203856870645
11002,25724.724004086802,38491.61757953014,25.724724004086802,38.491617579530136
11004,25559.35166083658,29188.62651615612,25.55935166083658,29.18862651615612
11005,18594.677766886616,20115.33527834307,18.594677766886615,20.11533527834307
11007,30244.261650353626,31481.2649331694,30.244261650353625,31.481264933169403
11008,39711.40315972561,44568.27163253596,39.71140315972561,44.56827163253596
11009,41522.89962069026,49570.77174861583,41.52289962069026,49.570771748615826
11013,25846.377840463203,27088.4933464826,25.8463778404632,27.0884933464826
11016,56072.037996421976,59802.60672555629,56.072037996421976,59.80260672555629
11018,24521.23184969158,25970.8201264402,24.52123184969158,25.970820126440202
11021,25074.417961278967,26630.489189940858,25.074417961278968,26.630489189940857
11022,49076.22337530796,54179.46383022066,49.07622337530796,54.179463830220655
11023,42288.61853133397,46865.08339649369,42.28861853133397,46.86508339649369
11024,20387.929016966347,23587.126960881382,20.387929016966346,23.58712696088138
11025,23235.504070950286,24742.32933259778,23.235504070950288,24.74232933259778
11029,27802.99650251691,29320.47683399439,27.802996502516912,29.32047683399439
11030,20666.88312505484,22032.359125127212,20.666883125054838,22.03235912512721
11035,28853.819727643186,33698.991217499184,28.853819727643184,33.698991217499184
11037,17877.210111741726,20085.151774210597,17.877210111741725,20.085151774210598
11038,22371.43865045104,23636.940244678524,22.37143865045104,23.636940244678524
11039,35548.077000010126,40105.68512666963,35.548077000010124,40.105685126669634
11040,36465.59822640205,39732.26632103718,36.46559822640205,39.73226632103718
11044,42823.29922209969,46189.89365495435,42.82329922209969,46.18989365495435
11050,34235.77199544413,36068.05533295383,34.235771995444125,36.06805533295383
11052,31475.677696148672,33582.15955368967,31.475677696148672,33.58215955368967
11053,48160.638289453105,55190.13414889849,48.160638289453104,55.190134148898494
11054,33250.982526733904,38206.54737269944,33.25098252673391,38.20654737269944
11055,37842.553390753594,42484.69722655246,37.842553390753594,42.48469722655246
11056,30640.094981873423,35008.726957665145,30.64009498187342,35.00872695766515
11057,43398.353947741234,47404.868770436166,43.398353947741235,47.40486877043617
12002,24160.77744201545,27627.118675948772,24.160777442015448,27.627118675948772
12005,13881.685716408532,16442.2177343573,13.881685716408532,16.4422177343573
12007,19330.03676664719,22487.77652966753,19.33003676664719,22.48777652966753
12009,18369.99895092127,21673.766179557464,18.369998950921268,21.673766179557465
12014,21727.911817261913,28833.908578306426,21.727911817261912,28.833908578306424
12021,20997.631506379,25632.834590973074,20.997631506378998,25.632834590973076
12025,9240.53682904412,13205.81946192474,9.240536829044121,13.20581946192474
12026,28185.235624606878,31886.576496120713,28.18523562460688,31.886576496120714
12029,17476.714767302736,22016.16331448062,17.476714767302735,22.016163314480618
12035,15504.411903416916,18857.215459591214,15.504411903416916,18.857215459591213
12040,11913.686718801608,15813.18543085187,11.913686718801607,15.81318543085187
12041,13770.118021361626,18162.762114594756,13.770118021361625,18.162762114594756
13001,58205.326658282254,63058.11839396908,58.20532665828225,63.05811839396908
13002,63481.238544448264,65841.9196374773,63.48123854444827,65.8419196374773
13003,39958.6512208312,45452.0243592289,39.9586512208312,45.4520243592289
13004,47603.362150923764,53240.24380447467,47.603362150923765,53.240243804474666
13006,50238.76514447743,53405.792159734985,50.23876514447743,53.405792159734986
13008,34031.87378922711,43040.95310803627,34.031873789227106,43.04095310803627
13010,34248.513567979004,37571.10198892733,34.248513567979,37.57110198892733
13011,33344.656357093474,40103.54097246934,33.34465635709348,40.10354097246934
13012,31861.179510641836,35124.135327104996,31.861179510641836,35.124135327104995
13013,23018.03386791939,28182.346875530697,23.01803386791939,28.182346875530698
13014,55881.331108678394,63723.15433722696,55.881331108678395,63.72315433722696
13016,24855.356438047118,28759.54008892301,24.855356438047117,28.75954008892301
13017,44126.406090986144,50249.34055077688,44.126406090986144,50.24934055077688
13019,43437.60636340517,48326.62669764826,43.437606363405166,48.32662669764826
13021,36860.07176848242,40001.20340608446,36.86007176848242,40.00120340608446
13023,55565.329692877625,60255.41139644443,55.565329692877626,60.25541139644443
13025,43211.435893287024,52970.35442334758,43.211435893287025,52.97035442334758
13029,37218.25360296867,40696.98147397866,37.218253602968666,40.69698147397866
13031,55276.2561361031,59765.861811132985,55.27625613610309,59.765861811132986
13035,62998.79895307864,70226.9480264383,62.99879895307864,70.22694802643831
13036,49782.2681169286,55761.24040591566,49.7822681169286,55.761240405915665
24133,3206.8043931925663,6803.281973832792,3.2068043931925665,6.803281973832791
24134,20623.477349877357,25507.944021144365,20.62347734987736,25.507944021144365
24135,11613.903970386998,15765.314244942741,11.613903970386998,15.765314244942742
24137,7446.729769325593,11120.135249185396,7.446729769325593,11.120135249185395
25005,0.0,3003.509147221156,0.0,3.003509147221156
25014,0.0,4472.661949519028,0.0,4.472661949519028
25015,0.0,1742.2317780594747,0.0,1.7422317780594747
