CD_REFNIS,CD_SUP_REFNIS,TX_REFNIS_NL,Huizen_totaal_2025,Appartementen_2025,Woningen_Nieuwbouw_2019sep-2022aug,Woningen_Nieuwbouw_2022sep-2025aug,Woningen_Nieuwbouw_pct_verschil_36m,Gebouwen_Renovatie_2019sep-2022aug,Gebouwen_Renovatie_2022sep-2025aug,Gebouwen_Renovatie_pct_verschil_36m,HH_available,hh_1_2025,hh_2_2025,hh_3_2025,hh_4+_2025,hh_1_pct_toename,hh_2_pct_toename,hh_3_pct_toename,hh_4+_pct_toename,hh_1_abs_toename,hh_2_abs_toename,hh_3_abs_toename,hh_4+_abs_toename
51004,51000,Aat,11549,3122,281.0,252.0,-10.32,208.0,158.0,-24.04,False,,,,,,,,,,,,
51008,51000,Beloeil,6088,487,56.0,75.0,33.93,134.0,111.0,-17.16,False,,,,,,,,,,,,
51009,51000,Bernissart,5206,324,143.0,104.0,-27.27,117.0,101.0,-13.68,False,,,,,,,,,,,,
51012,51000,Brugelette,1548,183,87.0,36.0,-58.62,33.0,29.0,-12.12,False,,,,,,,,,,,,
51014,51000,Chièvres,2923,184,47.0,75.0,59.57,63.0,49.0,-22.22,False,,,,,,,,,,,,
51017,51000,Elzele,2685,128,67.0,38.0,-43.28,57.0,65.0,14.04,False,,,,,,,,,,,,
51019,51000,Vloesberg,1487,136,31.0,29.0,-6.45,41.0,23.0,-43.9,False,,,,,,,,,,,,
51065,51000,Frasnes-lez-Anvaing,5173,357,129.0,95.0,-26.36,111.0,96.0,-13.51,False,,,,,,,,,,,,
51067,51000,Edingen,4633,1801,134.0,55.0,-58.96,108.0,80.0,-25.93,False,,,,,,,,,,,,
51068,51000,Opzullik,3408,145,84.0,53.0,-36.9,109.0,70.0,-35.78,False,,,,,,,,,,,,
51069,51000,Lessen,7791,854,131.0,97.0,-25.95,130.0,91.0,-30.0,False,,,,,,,,,,,,
21001,21000,Anderlecht,21569,29511,2462.0,2250.0,-8.61,442.0,271.0,-38.69,False,,,,,,,,,,,,
21002,21000,Oudergem,7480,9976,446.0,86.0,-80.72,381.0,327.0,-14.17,False,,,,,,,,,,,,
21003,21000,Sint-Agatha-Berchem,3917,6491,77.0,148.0,92.21,138.0,92.0,-33.33,False,,,,,,,,,,,,
21004,21000,Brussel,25861,64545,2200.0,1491.0,-32.23,566.0,512.0,-9.54,False,,,,,,,,,,,,
21005,21000,Etterbeek,8168,17463,45.0,68.0,51.11,339.0,233.0,-31.27,False,,,,,,,,,,,,
21006,21000,Evere,5020,14387,973.0,479.0,-50.77,171.0,96.0,-43.86,False,,,,,,,,,,,,
21007,21000,Vorst (Brussel-Hoofdstad),8579,17930,388.0,242.0,-37.63,264.0,223.0,-15.53,False,,,,,,,,,,,,
21008,21000,Ganshoren,2716,8892,53.0,158.0,198.11,102.0,74.0,-27.45,False,,,,,,,,,,,,
21009,21000,Elsene,15696,33518,139.0,392.0,182.01,437.0,450.0,2.97,False,,,,,,,,,,,,
21010,21000,Jette,7507,16053,71.0,261.0,267.61,248.0,173.0,-30.24,False,,,,,,,,,,,,
21011,21000,Koekelberg,2655,6779,176.0,33.0,-81.25,90.0,44.0,-51.11,False,,,,,,,,,,,,
21012,21000,Sint-Jans-Molenbeek,11490,26404,1069.0,262.0,-75.49,253.0,137.0,-45.85,False,,,,,,,,,,,,
21013,21000,Sint-Gillis,10869,13310,21.0,66.0,214.29,301.0,243.0,-19.27,False,,,,,,,,,,,,
21014,21000,Sint-Joost-ten-Node,3912,5508,0.0,107.0,,84.0,74.0,-11.9,False,,,,,,,,,,,,
